,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
KIF21A,0.0,0.025861237,0.0,0.0,0.0,0.69460577,0.020352468,0.0,0.0,0.0,0.0,0.0663748,0.49104717,0.0,0.2967058,0.10978243,0.0,0.0,0.0,0.0,0.0,0.0,0.63033164,0.0,0.3181327,0.0,0.0,0.0,0.87777686,0.020361463,0.47603333,0.0,0.0,0.08717934,0.70704347,0.51367414,0.0,0.0,0.0,0.72568464,0.038236655,0.0,1.0122122,0.0,0.46320733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22572872,0.0,0.0,0.0,0.7936267,0.0,0.0,0.42379314,0.0,0.0,0.4913988,0.0,0.0,0.17580116,0.22606403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01182723,0.4854535,0.45699775,0.0,0.0,0.53108424,0.0,0.4850084,0.0,0.0,0.0,0.951959,1.1048799,0.0,0.0,0.33916175,0.03733702,0.322124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15155523,0.0,0.0,0.0,0.0,0.0,0.0,0.7573298,0.017580435,0.44921708,0.0,0.0,0.0,0.0,0.0,0.39752823,0.647499,0.28176147,0.0,0.0,0.0,0.0,0.0,0.44167942,0.0,0.2117746,0.70240283,0.34993917,0.0
DPH2,0.0,0.03536539,0.0,0.0,0.0,0.43930435,0.0,0.0,0.0,0.0,0.0,0.04973036,0.28172505,0.0,0.20684777,0.09240806,0.0,0.0,0.0,0.0,0.0,0.0,0.44939747,0.0,0.2178376,0.0,0.0,0.0,0.5807948,0.014211396,0.3442114,0.0,0.0,0.008350752,0.5346915,0.3166612,0.0,0.0,0.0,0.51391894,0.07353031,0.0,0.72295713,0.0,0.273192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14826873,0.0,0.0,0.0,0.55441713,0.0,0.0,0.2836465,0.0,0.0,0.3184474,0.0,0.0,0.10101166,0.16045949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06587068,0.3746174,0.28399128,0.0,0.0,0.3220275,0.0,0.36226383,0.0,0.0,0.0,0.61050785,0.7555691,0.0,0.0,0.21773846,0.04974716,0.24826287,0.0009992346,0.0,0.0,0.0,0.0,0.0,0.0,0.124454275,0.0,0.0,0.0,0.0,0.0,0.0,0.4895866,0.0354665,0.24997865,0.0,0.0,0.0,0.0,0.0,0.2638693,0.4417075,0.2178157,0.0,0.0,0.0,0.0,0.0,0.34671795,0.0,0.13392706,0.4816145,0.25214377,0.0
FUS,0.0,0.0,1.3205873,0.0,0.0,1.4656637,0.5233755,0.0,0.0,0.8664968,0.0,1.4186332,0.47158474,0.0,0.44870365,0.0,0.038087785,0.0,1.2338505,0.0,0.0,1.5027354,0.0,0.0,0.0,0.0,0.0,0.0,0.12182647,0.5806216,0.0,0.6266248,0.0,0.94466674,0.5815556,0.0,0.0,0.0,1.6015146,0.0,0.0,0.0,0.3729513,0.0,0.23799604,0.3608709,0.0,0.0,0.0,0.097619705,0.0,0.80958134,0.0,0.0,0.0,0.0,0.06866753,0.0,0.0,0.0,1.6547068,0.09210679,0.0,0.0,0.0,0.40918434,0.0,0.0,0.0,0.0,0.75003386,0.0,0.0023501813,0.0,0.0,0.0,1.4246227,0.0,0.0,0.0,0.5776704,0.0,0.0,0.0,0.0,0.66679394,0.4462157,0.0,0.6873344,0.0,0.0,0.0,0.0,1.3062541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9062334,0.0,0.51762426,1.2284161,0.0,0.25867736,1.0705357,0.0,0.547271,0.15053411,0.23675111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2990526,0.0
NKX3-1,0.0,0.0,1.0526577,0.0,0.0,1.3965816,0.19865689,0.0,0.0,0.6326613,0.0,1.3970914,0.57067716,0.0,0.3056031,0.0,0.0,0.0,1.3013269,0.0,0.0,1.3923063,0.0,0.018947572,0.0,0.0,0.0,0.0,0.07172288,0.59477264,0.0,0.80014014,0.0,1.0761654,0.1825282,0.0,0.0,0.0,1.5891238,0.0,0.0,0.0,0.22498941,0.0,0.41708645,0.27135253,0.0,0.0,0.0,0.23462023,0.0,0.84127903,0.0,0.0,0.0,0.0,0.22437006,0.0,0.0,0.0,1.4797843,0.1331532,0.0,0.0,0.0,0.3300714,0.0,0.0,0.0,0.0,0.7398339,0.0,0.19128758,0.0,0.0,0.055821657,1.2815391,0.0,0.0,0.0,0.4842137,0.0,0.0,0.0,0.0,0.8586427,0.5584107,0.0,0.73761255,0.0,0.0,0.0,0.0,1.387831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85307,0.0,0.44494796,1.126766,0.0,0.25950775,0.92361087,0.0,0.3058884,0.06176704,0.20677695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2512656,0.0
TRIM33,0.0,0.0,1.371849,0.0,0.0,1.5481244,0.5100036,0.0,0.0,0.96806234,0.0,1.4738106,0.39426416,0.0,0.4604246,0.0,0.046831876,0.0,1.201385,0.0,0.0,1.549378,0.0,0.0,0.0,0.0,0.0,0.0,0.062354848,0.55499035,0.0,0.5754946,0.0,1.0484382,0.5298823,0.0,0.0,0.0,1.4846591,0.0,0.0,0.0,0.43616498,0.0,0.2641958,0.25076324,0.0,0.0,0.0,0.14689033,0.0,0.8274151,0.0,0.0,0.0,0.0,0.023237914,0.0,0.0,0.0,1.6276705,0.0039726496,0.0,0.0,0.0,0.42598683,0.0,0.0,0.0,0.0,0.80634,0.0,0.0,0.0,0.0,0.0,1.4733256,0.0,0.0,0.0,0.5741116,0.0,0.0,0.0,0.0,0.74886537,0.45556012,0.0,0.6935334,0.0,0.0,0.0,0.0,1.3952827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7378416,0.0,0.4769311,1.1570452,0.0,0.22147194,1.018528,0.0,0.58929074,0.22191253,0.3089065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2411493,0.0
HOXB4,0.0,0.0,1.0754572,0.0,0.0,1.4494483,0.11607841,0.0,0.0,0.62579775,0.0,1.4934319,0.7615912,0.0,0.3296901,0.0,0.0,0.0,1.4690808,0.0,0.0,1.457007,0.0,0.04616037,0.0,0.0,0.0,0.0,0.116631776,0.6550105,0.0,0.9939554,0.0,1.1713527,0.091576815,0.0,0.0,0.0,1.837008,0.0,0.0,0.0,0.16835445,0.0,0.49858785,0.39780453,0.0,0.0,0.0,0.18166918,0.0,1.0201463,0.0,0.0,0.0,0.0,0.31294712,0.0,0.0,0.0,1.6465933,0.25137913,0.0,0.0,0.0,0.37301165,0.0,0.0,0.0,0.0,0.74789923,0.0,0.20431578,0.0,0.0,0.2931307,1.4198008,0.0,0.0,0.0,0.4820299,0.0,0.0,0.0,0.0,0.93905455,0.699342,0.0,0.8359597,0.0,0.0,0.0,0.0,1.4842764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2411647,0.0056421757,0.5073525,1.3651748,0.0,0.30848694,1.0196495,0.0,0.15421045,0.031102344,0.1864815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5021608,0.0
NONO,0.0,0.0,1.2820508,0.0,0.0,1.5505967,0.5322046,0.0,0.0,0.9242829,0.0,1.3588148,0.3954968,0.0,0.4968923,0.0,0.004545629,0.0,1.1392661,0.0,0.0,1.4763933,0.0,0.0,0.0,0.0,0.0,0.0,0.121322826,0.5516171,0.0,0.5182122,0.0,0.9688071,0.5894966,0.0,0.0,0.0,1.4556129,0.0,0.0,0.0,0.42925924,0.0,0.269596,0.28114477,0.0,0.0,0.0,0.105071686,0.0,0.77891874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5629425,0.06205055,0.0,0.0,0.0,0.44545984,0.0,0.0,0.0,0.0,0.67488754,0.0,0.0,0.0,0.0,0.0,1.4193189,0.0,0.0,0.0,0.55558586,0.0,0.0,0.0,0.0,0.7612928,0.5130087,0.0,0.67263675,0.0,0.0,0.0,0.0,1.2476914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7905002,0.0,0.44108346,1.1772474,0.0,0.18685788,1.0032531,0.0,0.5899934,0.2837606,0.3538359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2222055,0.0
PHLDB2,0.0,0.0812167,0.0,0.0,0.0,0.5748614,0.036617577,0.0,0.0,0.0,0.0,0.08044978,0.42180073,0.0,0.32284755,0.5347296,0.0,0.0,0.0,0.0,0.0,0.0,0.4921957,0.11054562,0.22979492,0.0,0.0,0.0,0.62270826,0.0,0.34066898,0.0,0.0,0.04025591,0.52535594,0.2979971,0.0,0.0,0.0,0.5631616,0.06682557,0.0,0.7540028,0.0,0.30101806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35419166,0.0,0.36186522,0.0,0.48567265,0.0,0.0,0.59411204,0.0,0.0,0.29632035,0.0,0.0,0.08657151,0.14415184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37626514,0.37829256,0.2866283,0.0,0.0,0.41652712,0.0,0.7023931,0.0,0.0,0.0,0.73824847,0.73878586,0.0,0.0,0.2949964,0.25249666,0.30096805,0.119359806,0.0,0.0,0.0,0.0,0.166002,0.0,0.4677499,0.0,0.0,0.0,0.0,0.0,0.0,0.4209214,0.17753565,0.2575885,0.0,0.061149985,0.0,0.0,0.0,0.21133037,0.50499004,0.07067469,0.0,0.0,0.0,0.0,0.0,0.712606,0.0,0.31953532,0.47828412,0.24846122,0.0
SMARCD1,0.0,0.0,1.0647948,0.0,0.0,1.2170388,0.3269217,0.0,0.0,0.674615,0.0,1.1975362,0.48059797,0.0,0.395423,0.0,0.0,0.0,1.2601004,0.058786273,0.0,1.2591404,0.0,0.033049136,0.0,0.0,0.0,0.0,0.06971117,0.51649463,0.0,0.56831646,0.0,0.9551852,0.33232257,0.0,0.0,0.0,1.5345082,0.0,0.0,0.0,0.1707842,0.0,0.17127776,0.4523242,0.0,0.0,0.0,0.15491584,0.0,0.8344435,0.0,0.0,0.0,0.0,0.114500135,0.0,0.0,0.0,1.5175076,0.1743944,0.0,0.0,0.0,0.34616077,0.0,0.0,0.0,0.0,0.53294873,0.0,0.014575452,0.0,0.0,0.08934516,1.2966844,0.0,0.0,0.0,0.5729563,0.0,0.0,0.0,0.0,0.61575454,0.45006227,0.0,0.6371511,0.0,0.0,0.0,0.0,1.2651385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8400693,0.0,0.3522732,1.1812497,0.0,0.33350605,1.0315591,0.0,0.33146644,0.064825356,0.11423661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.293868,0.0
CHEK2,0.0,0.12624097,0.0,0.0,0.0,0.20526955,0.0,0.0,0.0,0.0,0.0,0.035463884,0.08658524,0.0,0.111045286,0.463699,0.0,0.0,0.0,0.0,0.0,0.0,0.13701649,0.18250403,0.1422549,0.0,0.0,0.0,0.18184912,0.0,0.10615703,0.0,0.0,0.0,0.1548501,0.03951277,0.0,0.090456985,0.0,0.21388762,0.048642095,0.0465786,0.19546878,0.0,0.07986678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28983834,0.0,0.25399172,0.0,0.14780787,0.0,0.0,0.35140407,0.0,0.0,0.14964311,0.0,0.0,0.0,0.03245479,0.0,0.0,0.0,0.0,0.0,0.024285033,0.0,0.465189,0.059818853,0.027700245,0.0,0.0,0.21527718,0.015253808,0.4242538,0.0,0.0,0.0,0.23658326,0.16176756,0.0,0.0,0.15802595,0.22209904,0.1462954,0.17894499,0.0,0.0,0.0,0.0,0.19596009,0.0,0.44011658,0.0,0.0,0.05612399,0.0,0.0,0.0,0.014723197,0.15567343,0.028877676,0.0,0.1686251,0.0,0.0,0.0,0.03384243,0.18127288,0.0,0.0,0.0,0.0,0.0,0.0,0.6064709,0.0,0.31531343,0.1179358,0.029215055,0.0
