,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
KIF21A,0.09724591,0.039187133,-0.032825846,0.11920979,-0.11701675,-0.08609259,0.10118653,0.081436194,-0.004589997,0.054795314,0.13064083,-0.06505316,-0.044696156,-0.05964206,-0.047192525,0.025438698,-0.049773872,0.06135282,0.045940578,0.040066607,-0.10245931,-0.031392884,-0.091709465,0.09303954,-0.0067592748,0.020480221,0.0027106628,-0.085500985,-0.041768115,-0.004171928,-0.021605618,-0.09731771,0.045482107,-0.028446231,-0.05959911,0.09766086,0.04639732,0.08756238,-0.20216076,0.047833424,-0.07138852,-0.08365124,-0.04104749,-0.06963037,-0.10385542,0.059772436,0.07319353,0.053756908,0.075174466,-0.11043605,0.12904839,0.03053907,0.07935649,0.076157674,-0.081772484,0.011476614,-0.021904297,0.054972358,0.08675171,-0.08715507,-0.049352057,-0.05375076,-0.09063236,-0.11599775
DPH2,0.0187932,0.016694784,-0.018329632,0.04400272,-0.04310618,-0.033621304,0.045754712,0.022016482,-0.021475893,0.02043074,0.0687036,-0.025195442,-0.0135466615,-0.030177854,-0.008134771,0.021574829,-0.012992427,0.023013307,0.007336732,0.022896565,-0.050469227,-0.043281563,-0.034479335,0.074905664,-0.024112705,0.0039034113,-0.013074428,-0.049818806,-0.018245503,-0.006352303,-0.00021947175,-0.0518876,0.0038477918,-0.016994655,-0.03934012,0.03752966,0.02865038,0.059003234,-0.114188075,0.03700851,-0.01832039,-0.027395217,-0.027172072,-0.04473444,-0.04102328,0.009733181,0.030442674,0.024380807,0.026071114,-0.061772898,0.049202096,-0.0017418899,0.030001843,0.043487586,-0.04474203,0.038162246,-0.027615989,0.0072751343,0.038842436,-0.05624,-0.046104047,-0.044133272,-0.026506476,-0.030651938
FUS,0.005143867,0.16630195,-0.17948554,0.13595863,-0.12678297,-0.16030872,0.19807279,0.12942572,-0.20263252,0.2367348,0.149923,-0.1771625,-0.20468737,-0.18509504,-0.16212365,0.08686388,-0.14220752,0.030244693,0.10848113,0.13320462,-0.22916156,-0.21642697,-0.12445043,0.26831996,-0.19451216,0.14697145,-0.100975394,-0.19107455,-0.1820316,-0.21577744,-0.16095307,-0.17668161,0.112107396,-0.17657118,-0.21358512,0.16227342,0.13456365,0.17850304,-0.20446008,0.19047065,-0.18938982,-0.13147938,-0.12257242,-0.23527122,-0.1305479,0.15485838,0.19211338,0.23086499,0.2283018,-0.15447348,0.19620588,0.1855792,0.13989413,0.22473282,-0.16742831,0.0708964,-0.09404979,0.15878096,0.20887443,-0.17139275,-0.05221639,-0.19428921,-0.15989918,-0.20358999
NKX3-1,0.009284143,0.14818905,-0.19315661,0.1232756,-0.1214377,-0.15629616,0.18864843,0.12803842,-0.19215071,0.21707289,0.14792782,-0.17770651,-0.20045611,-0.18107408,-0.18142465,0.075389914,-0.13280071,0.036777675,0.13725692,0.14136438,-0.23631573,-0.1988876,-0.13542213,0.26962548,-0.18485731,0.12763242,-0.10397734,-0.1875076,-0.18342727,-0.20529148,-0.13847813,-0.16579914,0.10173933,-0.17709757,-0.23287463,0.1669554,0.1507888,0.1777007,-0.21866247,0.20092708,-0.18856141,-0.14355403,-0.09857091,-0.21196318,-0.1561775,0.14728083,0.1875042,0.23887365,0.22554341,-0.15062726,0.18533283,0.20021096,0.15328622,0.20788217,-0.15289016,0.067573205,-0.076687425,0.150727,0.1974084,-0.18800177,-0.055715665,-0.19381933,-0.15253305,-0.21251011
TRIM33,-0.007096297,0.1646096,-0.17035584,0.12830593,-0.14152665,-0.1692344,0.2050229,0.14148512,-0.20411107,0.23089229,0.13464522,-0.1635924,-0.21107583,-0.19657347,-0.14985311,0.06949662,-0.13893707,0.025608763,0.106602676,0.15082034,-0.23567623,-0.23007551,-0.13692582,0.27167028,-0.19521621,0.16862758,-0.114835344,-0.18573204,-0.19409129,-0.21169928,-0.1598599,-0.1918709,0.12788007,-0.1948082,-0.21882598,0.17286725,0.13521259,0.17994031,-0.20124257,0.1923792,-0.19592041,-0.12420234,-0.10680705,-0.24296969,-0.14592543,0.14507596,0.19830358,0.23467131,0.24095598,-0.14682108,0.19287008,0.20627698,0.15701398,0.21751747,-0.16036111,0.06270922,-0.102561176,0.1666216,0.20440254,-0.18015538,-0.043201335,-0.19333011,-0.16202563,-0.20084879
HOXB4,0.037281495,0.16361426,-0.22466792,0.16205086,-0.13693382,-0.1737049,0.20923123,0.1437051,-0.20545039,0.24789216,0.19734746,-0.22045521,-0.22317873,-0.19085124,-0.2345602,0.10659356,-0.16675334,0.060299356,0.16906738,0.12989356,-0.26146024,-0.19039047,-0.16503297,0.29474372,-0.20270443,0.11378099,-0.09514326,-0.21319394,-0.1988325,-0.23098685,-0.14996041,-0.17799067,0.10813293,-0.16601123,-0.25830445,0.1895692,0.17594032,0.19143605,-0.26928353,0.22754312,-0.2257959,-0.18572584,-0.118428394,-0.22200817,-0.17875259,0.19364206,0.20908578,0.26448062,0.24954447,-0.19634995,0.229621,0.21488523,0.1765605,0.24690229,-0.18293375,0.068235435,-0.07495545,0.17825963,0.23512492,-0.19667922,-0.06295536,-0.22374846,-0.19081554,-0.25817242
NONO,-0.00040799286,0.16030106,-0.1645878,0.1403153,-0.13454315,-0.16211861,0.19364408,0.12820387,-0.19126156,0.22896935,0.1399044,-0.16189563,-0.20418541,-0.18491125,-0.14710519,0.077227674,-0.14051853,0.028600495,0.0958593,0.13781297,-0.22959006,-0.21862063,-0.12880695,0.26361465,-0.19061232,0.1530993,-0.10433231,-0.1825049,-0.18293297,-0.21011952,-0.15620326,-0.18478084,0.1136643,-0.18176928,-0.21451205,0.16771667,0.12543036,0.17892642,-0.20242338,0.18415904,-0.1918633,-0.11882343,-0.10929808,-0.23492372,-0.13327235,0.14715113,0.18829758,0.22172958,0.22936577,-0.14750156,0.19670513,0.18703279,0.14162524,0.21366635,-0.1579658,0.06603095,-0.106346846,0.16228986,0.2056126,-0.16875134,-0.05061114,-0.18437847,-0.1629959,-0.1963242
PHLDB2,-0.004120837,0.006427817,-0.0066302903,-0.0048210155,-0.048178505,-0.00789246,0.016899392,-0.011436801,-0.009329643,-0.014778722,0.023595907,0.0056660473,-0.004841881,-0.00040053576,0.014573149,0.024606304,0.025746651,-0.013813882,-0.019257696,0.0033196956,-0.022508057,-0.031820253,-0.010615949,0.048910893,-0.006853711,0.011120554,-0.010036904,-0.015476558,-0.005246915,0.003932428,0.017730083,-0.038325183,-0.008457303,-0.0057971254,-0.017326817,0.013706362,0.008804249,0.0014536381,-0.05136811,0.024194062,0.014838975,0.013089379,0.021039348,-0.026338607,-0.0124828,-0.00016828999,0.018226752,-0.0047714207,0.0062097386,-0.04172341,0.03442678,-0.020111296,0.016442554,0.0009994879,-0.025830634,0.021336261,-0.03416087,-0.011960253,0.009959629,-0.010124404,-0.04366781,-0.02006201,0.011509754,0.01544801
SMARCD1,0.006900088,0.14302506,-0.18087034,0.1213868,-0.095771566,-0.13757263,0.1647181,0.0953412,-0.1878244,0.23078747,0.16090453,-0.17562112,-0.18464142,-0.16249907,-0.17333117,0.099848814,-0.13640897,0.033068232,0.11361239,0.106900714,-0.20451632,-0.19013819,-0.09661959,0.25716907,-0.19379526,0.08386697,-0.07210545,-0.18649358,-0.16157444,-0.20420662,-0.13858859,-0.13558176,0.06508446,-0.13399714,-0.21033922,0.1363834,0.12453672,0.1674163,-0.19572873,0.17445864,-0.1676141,-0.12474719,-0.119045004,-0.20079625,-0.10399281,0.15731777,0.15407427,0.207277,0.19044852,-0.15165624,0.17090791,0.15397738,0.11747046,0.21154994,-0.15301585,0.083423525,-0.0722686,0.13032694,0.18914546,-0.15078269,-0.055636533,-0.20014714,-0.14026362,-0.194509
CHEK2,-0.13398719,-0.038842406,0.014879476,-0.13538775,0.067320675,0.082306795,-0.06884639,-0.10804312,-0.040584173,-0.07079345,-0.09029689,0.076427996,0.037734643,0.051794536,0.095126316,0.012170088,0.07895557,-0.07056086,-0.07232895,-0.0154834315,0.054655608,-0.06178366,0.10002045,0.017391443,-0.031450838,-0.013757857,-0.036012884,0.05021888,0.021240026,-0.0035288823,0.052007876,0.038022965,-0.07380338,0.0030754171,0.012644518,-0.0751484,-0.018371638,-0.042285904,0.09219864,0.009864815,0.096556336,0.110641666,0.05861642,0.011671297,0.085290514,-0.092076,-0.052460033,-0.05202444,-0.07464115,0.046029825,-0.10222451,-0.06523193,-0.06962754,-0.056977518,0.04998836,0.065178454,-0.04677707,-0.086915955,-0.06912791,0.027882,-0.026475227,-0.0010232404,0.123264186,0.15320335
