TF_gene,Target_gene
TFAP2A,ALCAM
SOX17,ALCAM
FOXP1,ALCAM
OTX2,ALCAM
EGR1,ALCAM
JUND,ALCAM
TEAD4,ALCAM
GATA4,ALCAM
EOMES,ALCAM
TEAD4,SERPINE2
OTX2,SERPINE2
TRIM28,SERPINE2
GATA6,SERPINE2
JUND,SERPINE2
SMAD2,SERPINE2
GATA3,SERPINE2
TFAP2A,SERPINE2
EZH2,SERPINE2
MXI1,MFN2
NANOG,MFN2
JUND,MFN2
TEAD4,MFN2
ZFP42,MFN2
FOXP1,MFN2
EGR1,MFN2
OTX2,MFN2
TFAP2A,MFN2
GATA3,MFN2
EGR1,SOX2
TFAP2A,SOX2
NANOG,SOX2
SOX2,SOX2
EZH2,SOX2
MXI1,SOX2
OTX2,SOX2
FOXH1,SOX2
SOX2,KIF2C
TEAD4,KIF2C
PRDM1,KIF2C
NANOG,KIF2C
TFAP2A,KIF2C
OTX2,KIF2C
EOMES,KIF2C
GATA4,KIF2C
SMAD2,KIF2C
EZH2,ETV7
FOXP1,ETV7
SMAD2,ETV7
TFAP2A,ETV7
SOX2,ETV7
EOMES,ETV7
TEAD4,ETV7
TP53,ETV7
NANOG,C1orf9
TEAD4,C1orf9
TFAP2A,C1orf9
FOXP1,C1orf9
FOXH1,GYPA
TFAP2A,GYPA
EOMES,GYPA
OTX2,GYPA
EGR1,GYPA
MXI1,GYPA
NANOG,GYPA
SOX2,CAPN2
FOXP1,CAPN2
NANOG,CAPN2
JUND,CAPN2
TFAP2A,CAPN2
EZH2,CAPN2
OTX2,CAPN2
GATA4,CAPN2
JUND,CEBPZ
NANOG,CEBPZ
PRDM1,CEBPZ
FOXP1,CEBPZ
OTX2,CEBPZ
TP53,CEBPZ
TFAP2A,CEBPZ
STAT3,ELMO1
SNAI2,ELMO1
OTX2,ELMO1
TRIM28,ELMO1
SOX2,ELMO1
GATA3,ELMO1
JUND,ELMO1
TEAD4,ELMO1
TFAP2A,ELMO1
SMAD2,ELMO1
TEAD4,GABRB3
FOXH1,GABRB3
JUND,GABRB3
NANOG,GABRB3
EOMES,GABRB3
SMAD2,GABRB3
EGR1,GABRB3
TFAP2A,GABRB3
MXI1,GABRB3
GATA4,SRSF1
TFAP2A,SRSF1
OTX2,SRSF1
EOMES,SRSF1
TEAD4,SRSF1
FOXP1,SRSF1
SOX2,SRSF1
JUND,SRSF1
NANOG,SRSF1
EGR1,FNDC3B
OTX2,FNDC3B
MXI1,FNDC3B
SMAD2,FNDC3B
FOXP1,FNDC3B
TFAP2A,FNDC3B
ZFP42,FNDC3B
NANOG,FNDC3B
TEAD4,FNDC3B
EOMES,FNDC3B
TFAP2A,DNAJC2
ZFP42,DNAJC2
EGR1,DNAJC2
POU5F1,DNAJC2
SMAD2,DNAJC2
MXI1,DNAJC2
OTX2,DNAJC2
JUND,DNAJC2
NANOG,DNAJC2
GATA3,DNAJC2
TFAP2A,BOD1
FOXH1,BOD1
FOXP1,BOD1
NANOG,BOD1
EOMES,BOD1
JUND,BOD1
ZFP42,BOD1
SOX2,BOD1
EGR1,BOD1
MXI1,BOD1
TFAP2A,DACH1
EZH2,DACH1
NANOG,DACH1
TRIM28,DACH1
FOXP1,DACH1
MXI1,DACH1
BCL11A,DACH1
POU5F1,DACH1
JUND,CRIM1
SOX2,CRIM1
STAT3,CRIM1
TFAP2A,CRIM1
SMAD2,CRIM1
POU5F1,RRAS2
FOXP1,RRAS2
TFAP2A,RRAS2
OTX2,RRAS2
EGR1,RRAS2
SMAD2,RRAS2
JUND,RRAS2
TEAD4,RRAS2
NANOG,RRAS2
TFAP2A,TTC4
OTX2,TTC4
FOXP1,TTC4
CTNNB1,TTC4
EGR1,TTC4
JUND,TTC4
TEAD4,TTC4
MXI1,TTC4
SMAD2,CCDC80
FOXP1,CCDC80
OTX2,CCDC80
NANOG,CCDC80
MXI1,CCDC80
EGR1,CCDC80
TFAP2A,C8orf42
SNAI2,C8orf42
JUND,C8orf42
