,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
PDCD2,0.5188052,0.5234676,0.5203821,0.4521367,0.4949883,0.45502135,0.41036326,0.5092109,0.50904113,0.5281764,0.38908765,0.4806214,0.41831025,0.45214352,0.56322443,0.44129536,0.4733053,0.4559943,0.48561597,0.47784266,0.49743125,0.5035573,0.49143612,0.5100151,0.56806695,0.47845435,0.46691033,0.5001887,0.49025843,0.4976935,0.4844661,0.47704765,0.4503638,0.45742396,0.43848568,0.46939138,0.4088786,0.42513674,0.404872,0.53258777,0.4990628,0.53547174,0.47350463,0.5066153,0.42220047,0.4432297,0.56081593,0.4234113,0.547015,0.4790033,0.5412413,0.4510624,0.54412574,0.48878303,0.46000466,0.4799887,0.4790548,0.4715046,0.43400818,0.4364567,0.54630065,0.47512126,0.49405247,0.53595054,0.44617292,0.45519724,0.45933905,0.5037776,0.46284872,0.5225815,0.5726732,0.5000845,0.5257914,0.51886374,0.5054435,0.42022383,0.48365238,0.54565215,0.51804537,0.5300994,0.46873736,0.3865956,0.40335757,0.5290441,0.47465757,0.50898504,0.50854015,0.5430114,0.45457137,0.51129067,0.50371385,0.52933455,0.44533274,0.44358614,0.41974315,0.44783902,0.49128246,0.5351309,0.5184584,0.48028985,0.4838582,0.49715018,0.43315518,0.39021355,0.5066611,0.45450836,0.475379,0.5053961,0.49301773,0.4904374,0.45405254,0.47590488,0.490455,0.52296543,0.4905232,0.5435807,0.5459253,0.49767113,0.49990752,0.4535875,0.5100037,0.46837407,0.5574834,0.4620226,0.42331785,0.4703037,0.47140142,0.49969172
MBTD1,0.50717896,0.51451576,0.52135515,0.46916303,0.5057478,0.46796793,0.41210523,0.50626177,0.50493646,0.5043661,0.40522242,0.4766288,0.44275957,0.47181743,0.53335553,0.45152953,0.46695742,0.43676868,0.49583536,0.47806585,0.5030454,0.4925017,0.49585998,0.49672276,0.54967684,0.48833427,0.47616076,0.49897808,0.49530053,0.48104954,0.49324352,0.46956754,0.46572682,0.4502017,0.46335307,0.4558824,0.44978687,0.44963923,0.42772245,0.5200559,0.5046452,0.51919997,0.48362526,0.49379918,0.43947467,0.44974333,0.5165347,0.46013162,0.532282,0.47871897,0.5270388,0.47458377,0.5181434,0.49000883,0.4759232,0.46622193,0.49047858,0.48931575,0.4441119,0.4365716,0.5171838,0.4769642,0.47535145,0.5252738,0.4596965,0.4704894,0.46995893,0.5025346,0.479008,0.50950396,0.53511554,0.48817238,0.51480645,0.50925666,0.4989208,0.42989358,0.4883908,0.52776045,0.5151032,0.50803447,0.46870905,0.4194753,0.40562135,0.5221068,0.4844276,0.5089338,0.5016758,0.52081805,0.4740146,0.5103118,0.5044773,0.515898,0.45514598,0.45395023,0.41790438,0.46454188,0.4760478,0.5075543,0.5137525,0.497522,0.47991452,0.4772125,0.45061105,0.41810912,0.4914709,0.464837,0.4977072,0.49153373,0.48697284,0.49729082,0.4716556,0.47962195,0.4586357,0.51338446,0.47701076,0.5189133,0.51714665,0.48917788,0.49146307,0.459822,0.48718095,0.4535793,0.54899013,0.48963213,0.4501595,0.47826275,0.47240695,0.49929053
SMAD2,0.47089815,0.4882556,0.5524469,0.48330718,0.47586742,0.43410498,0.38999155,0.52066654,0.51442385,0.45730913,0.34005094,0.50634617,0.3454758,0.43674788,0.5504136,0.43921086,0.46273693,0.4285664,0.4845579,0.49507,0.5123408,0.45805067,0.47530356,0.45422187,0.53699315,0.49039662,0.41318908,0.54640347,0.49908045,0.41344696,0.49798244,0.42698887,0.42148653,0.4325779,0.4982671,0.41701597,0.41539204,0.43070993,0.42982706,0.55235684,0.50841624,0.5359667,0.46034816,0.45210385,0.456398,0.38115463,0.54223377,0.3975354,0.5377226,0.42034733,0.4994925,0.47014147,0.5171936,0.5035445,0.48517793,0.45229453,0.4350416,0.4927938,0.34966287,0.4281926,0.5280332,0.48529935,0.48620075,0.51641667,0.4790571,0.44698468,0.46636355,0.4649842,0.51296043,0.5003909,0.5443263,0.5136122,0.535,0.5321338,0.52532154,0.42041662,0.47495264,0.45038402,0.4516617,0.47120106,0.42979178,0.36439052,0.374521,0.514933,0.48128003,0.50077236,0.53510696,0.5152448,0.49071798,0.5565079,0.46720845,0.48603454,0.4639367,0.44129202,0.4074453,0.46506372,0.49634197,0.52496725,0.5075884,0.4808646,0.4525275,0.45323494,0.4108366,0.35955217,0.4873062,0.44044897,0.49376836,0.50410086,0.5123742,0.45907542,0.46938482,0.44877085,0.38974485,0.4965566,0.46939874,0.5376916,0.49214965,0.5272005,0.52980506,0.46840012,0.47493362,0.44203088,0.5733183,0.46890295,0.45555222,0.4850681,0.4478016,0.47878182
ARID3B,0.5166878,0.52869576,0.5249345,0.46471843,0.50806355,0.46428147,0.41425818,0.509228,0.51167774,0.5233237,0.40414476,0.4806422,0.44329885,0.47050303,0.5481457,0.44948918,0.4740549,0.44256243,0.49952742,0.47806725,0.505561,0.49739072,0.50051165,0.5064807,0.55750066,0.49102154,0.47860712,0.50336385,0.497517,0.49670756,0.4895611,0.4772814,0.46515602,0.454414,0.45433742,0.47446093,0.43658695,0.43986768,0.41635796,0.527701,0.5022468,0.5274024,0.48534608,0.49894634,0.4357322,0.45709333,0.5360083,0.44300255,0.5407219,0.4825936,0.5336608,0.46680525,0.52828497,0.4952809,0.47343257,0.47856736,0.49078667,0.4829176,0.44206437,0.44067398,0.5308032,0.47980756,0.48200363,0.53606933,0.45666122,0.46904054,0.46368736,0.5124909,0.47828478,0.518995,0.549573,0.5011872,0.52048284,0.5188633,0.50415415,0.42570516,0.4921297,0.5442967,0.518432,0.52269757,0.47225547,0.40798596,0.40533397,0.5234988,0.48439923,0.5085891,0.5070792,0.5308526,0.47164217,0.50828964,0.50732154,0.52207774,0.45493844,0.4463302,0.4252191,0.45609605,0.48058492,0.52168196,0.5155668,0.494366,0.48384497,0.48265025,0.4477081,0.40966272,0.4964477,0.46731803,0.49678552,0.49787462,0.48888695,0.4994002,0.47207987,0.48019505,0.4754761,0.52041376,0.4861498,0.53179866,0.52823186,0.49632606,0.49619564,0.46086538,0.49865514,0.45795768,0.5517398,0.47929457,0.44222695,0.4805816,0.4686835,0.5000021
HOMER1,0.51999646,0.52976894,0.52504194,0.46726435,0.51431566,0.46462235,0.4138266,0.5122607,0.50918156,0.5202753,0.41055706,0.48071766,0.44872677,0.4753806,0.54528326,0.4541409,0.46750855,0.4378952,0.5031951,0.478075,0.50597006,0.4945944,0.4980262,0.5054305,0.55406094,0.49506435,0.48176998,0.50005805,0.49450818,0.49181002,0.49474055,0.4767531,0.46622607,0.4528114,0.458229,0.47395235,0.43788254,0.44098142,0.42182535,0.5276595,0.5029273,0.52547616,0.48771974,0.4961293,0.44135162,0.45764434,0.531692,0.4482815,0.5411691,0.48124772,0.5326576,0.4649756,0.52233315,0.49716544,0.47321865,0.47674704,0.48661613,0.48746684,0.44778123,0.43998054,0.52715445,0.480682,0.47637385,0.5365742,0.45955488,0.46890956,0.462875,0.5130197,0.4791707,0.5152733,0.54292464,0.4996894,0.5205558,0.5181337,0.49887043,0.430366,0.49570742,0.5441342,0.51181054,0.51890546,0.47184804,0.41296697,0.4058569,0.52209663,0.48606429,0.51071495,0.50735134,0.5283761,0.47373572,0.5054522,0.5061139,0.52589,0.45994684,0.4492894,0.42676157,0.45674655,0.47763202,0.51898557,0.5086553,0.49624178,0.4839199,0.47906137,0.45049328,0.41328812,0.49354044,0.47091147,0.5003608,0.49697813,0.48785874,0.49977112,0.4727162,0.48179778,0.47288632,0.51910067,0.4853165,0.53302264,0.52586657,0.49354333,0.4938818,0.4602522,0.49724466,0.45533106,0.54988027,0.48339546,0.44715232,0.48277035,0.46982673,0.49908948
GYPE,0.5286101,0.5496964,0.55901617,0.49995852,0.5162389,0.45627227,0.36952606,0.50525284,0.52113515,0.49725217,0.39111787,0.4685343,0.45964974,0.47911173,0.54565823,0.4517035,0.4676771,0.40796742,0.5190215,0.4724457,0.52049774,0.46079323,0.50037783,0.47347608,0.5376942,0.5078286,0.47655472,0.49661228,0.49609563,0.4592722,0.49756292,0.47173178,0.46455133,0.4218099,0.4659808,0.43392128,0.47607565,0.4512876,0.41908255,0.53434825,0.5078065,0.5115257,0.495055,0.47993624,0.43508637,0.4332993,0.513338,0.47386122,0.53876543,0.47510424,0.5358142,0.47804308,0.49818912,0.49959323,0.4983445,0.45075023,0.5167906,0.5102918,0.45285973,0.40676796,0.49600175,0.49587235,0.46033075,0.56174713,0.46382007,0.48389935,0.4629395,0.518884,0.49557465,0.50152767,0.5372819,0.4748277,0.5079676,0.5300261,0.51541823,0.3936967,0.4952981,0.52903265,0.5075591,0.47957167,0.4793699,0.42367545,0.362939,0.51821387,0.5213351,0.5089114,0.5340321,0.51479024,0.4934712,0.54464346,0.50160503,0.5074794,0.4643148,0.4504035,0.40832025,0.4647865,0.4347649,0.49716526,0.48292416,0.53232294,0.45465267,0.45812532,0.45899478,0.4037839,0.45150146,0.47234792,0.53259796,0.45727873,0.47018924,0.5120975,0.4695917,0.4773739,0.42020735,0.51413393,0.49416158,0.53112656,0.47972053,0.4872384,0.47136572,0.4502217,0.47496712,0.41764796,0.5804877,0.51719695,0.4894706,0.48233664,0.47144747,0.51736176
ZBTB2,0.50936246,0.5123218,0.5370735,0.48758674,0.51307875,0.4683131,0.38420904,0.5035794,0.5098922,0.48616812,0.39690322,0.46955603,0.44145793,0.47542134,0.52664334,0.45388788,0.46800733,0.40786418,0.50649494,0.46657142,0.5059446,0.46532628,0.4850363,0.48126054,0.54790616,0.499504,0.47297922,0.49956965,0.48926917,0.45808157,0.5081552,0.46366805,0.4597712,0.42921877,0.46187672,0.43392974,0.47217298,0.44829974,0.42108253,0.5118422,0.5014982,0.5202987,0.48209056,0.4721009,0.43646252,0.43943664,0.4950734,0.47072765,0.53339446,0.48047888,0.5210675,0.4826363,0.5069207,0.49601942,0.48656443,0.45117188,0.48928183,0.5093241,0.44425708,0.42322785,0.49415493,0.48547083,0.44669747,0.5268587,0.45784566,0.46983063,0.46085307,0.4987159,0.48433688,0.50553864,0.5300092,0.47434643,0.50732267,0.5082276,0.49186864,0.42094317,0.49790773,0.5145493,0.5122771,0.48327637,0.47068605,0.4262503,0.3768085,0.52157116,0.5012454,0.509149,0.50368637,0.50210196,0.48455638,0.52850467,0.50505495,0.50463796,0.45680588,0.45762905,0.39541617,0.46642816,0.4560433,0.48598993,0.49947625,0.5154517,0.46529278,0.45306104,0.45592502,0.4246666,0.4630503,0.4682297,0.50919133,0.46910846,0.47735548,0.50923747,0.4742057,0.46654105,0.42942256,0.5086473,0.47131523,0.5192352,0.49525616,0.48051462,0.48093817,0.44826165,0.4643646,0.43563583,0.5614195,0.50947756,0.46434003,0.47021893,0.47606614,0.4998059
MRS2,0.51752925,0.56591636,0.5905889,0.54572535,0.5517019,0.42936495,0.27566198,0.5063279,0.53102785,0.44292888,0.34792438,0.43264627,0.40387273,0.49527347,0.52162594,0.4310825,0.4514306,0.35217562,0.55784976,0.3999459,0.52579236,0.38700652,0.47526306,0.4155569,0.5810327,0.55991054,0.4582018,0.48057508,0.46656126,0.39105335,0.555623,0.48196718,0.43892214,0.34610927,0.42805654,0.38029563,0.49042615,0.41634777,0.36742818,0.5406877,0.50045455,0.5515474,0.46028754,0.41652,0.36758006,0.37343615,0.45189178,0.46382505,0.55392164,0.47545108,0.5018032,0.4701635,0.48673132,0.5270481,0.50868666,0.39086613,0.5214067,0.57556105,0.4338553,0.3580474,0.43240047,0.48984802,0.39116573,0.57832015,0.46023998,0.4333018,0.39922756,0.49709693,0.5271939,0.5276938,0.5722059,0.44361708,0.50686264,0.5272872,0.48844385,0.37301978,0.55168086,0.49059677,0.5045737,0.41969505,0.49708185,0.4036903,0.2694182,0.53762674,0.5598497,0.536927,0.5283372,0.46006152,0.49235138,0.59907126,0.48712716,0.508043,0.44488958,0.46899363,0.31431758,0.4560868,0.40261015,0.45187527,0.43715367,0.57687044,0.39599314,0.38616985,0.44617242,0.39967838,0.4041784,0.46846277,0.5692775,0.39295763,0.45121586,0.5711682,0.46758428,0.45230824,0.36518428,0.5205234,0.47085395,0.5428046,0.4647812,0.463948,0.44144118,0.41091275,0.44964787,0.368392,0.6093621,0.56114256,0.51853526,0.44768158,0.48515347,0.51976645
ISCA1,0.51726794,0.53077555,0.527211,0.46093917,0.50458854,0.45817816,0.41207284,0.51217735,0.5141699,0.53096694,0.39683712,0.47843862,0.43453833,0.46301773,0.55617267,0.44591555,0.47324488,0.4520356,0.49536723,0.48198512,0.50411594,0.5006053,0.5033931,0.51030385,0.5636952,0.48822263,0.47483087,0.5041159,0.49724743,0.50097364,0.48734716,0.47697127,0.46004108,0.45384976,0.4509281,0.47867745,0.42246002,0.43410507,0.41174865,0.5356047,0.5024987,0.5323722,0.4847377,0.5050675,0.4309778,0.45566136,0.54973817,0.42989126,0.54662114,0.48233488,0.5360652,0.46091765,0.53483045,0.49859503,0.47003856,0.4844359,0.4934148,0.47829846,0.43640834,0.43998528,0.54454786,0.47664145,0.49201235,0.5419906,0.45205727,0.4679704,0.46206653,0.5179582,0.4743884,0.52631986,0.5600674,0.5010476,0.5225012,0.5213412,0.508127,0.42269185,0.48976737,0.5461616,0.51540464,0.52972233,0.47455382,0.39675367,0.40715474,0.5265032,0.48514026,0.50992954,0.5099537,0.53682107,0.46411452,0.511221,0.5034801,0.52920246,0.45418406,0.44552857,0.42500615,0.45800835,0.4851243,0.5358068,0.51751685,0.48837966,0.48502156,0.49000463,0.44443333,0.39796007,0.50242627,0.4667575,0.4893612,0.50473356,0.49316323,0.50359017,0.4656477,0.47973666,0.48518062,0.52491677,0.4883453,0.54127645,0.5368952,0.50294554,0.50010145,0.4582103,0.5050809,0.46060508,0.5572925,0.47045395,0.4360532,0.48096132,0.46953243,0.50323886
AMN1,0.5222979,0.5157968,0.5213942,0.4682672,0.5033493,0.46829733,0.39951771,0.50294626,0.49976397,0.5078542,0.40674603,0.47851187,0.43260387,0.46502963,0.541113,0.4520093,0.46079546,0.44791377,0.4833261,0.48400912,0.5025428,0.4949697,0.49172378,0.5071535,0.5470948,0.48667908,0.48008484,0.50023705,0.47318786,0.48614404,0.47739944,0.46769786,0.46601132,0.44742718,0.44300243,0.45722842,0.42684144,0.44808584,0.42326647,0.52087075,0.50853676,0.5220679,0.47102305,0.5007741,0.44012997,0.4383309,0.5273881,0.45447788,0.5327922,0.4791682,0.52234906,0.45513952,0.52506256,0.48629847,0.4660229,0.47070158,0.4769194,0.4795534,0.4559154,0.4375308,0.530146,0.4677476,0.48771307,0.52156514,0.45554322,0.46261144,0.4692328,0.5074515,0.4641097,0.5055346,0.54373896,0.49435785,0.50730616,0.51000357,0.49223846,0.42821327,0.48126605,0.5255132,0.50275683,0.5106137,0.4635486,0.40614742,0.40939182,0.524734,0.48146915,0.503065,0.49574065,0.52594084,0.45267045,0.5080723,0.49421963,0.5162711,0.4531203,0.45105246,0.43361887,0.4649957,0.47945073,0.51908886,0.49853903,0.48632658,0.4849309,0.4849799,0.44082552,0.40791377,0.4960305,0.46451214,0.49124265,0.48900026,0.4870812,0.48759302,0.46154463,0.48110056,0.47270367,0.5137401,0.4873831,0.52948815,0.52614796,0.49544024,0.48869023,0.46632922,0.5010142,0.46331346,0.5495581,0.47862038,0.44078,0.47790015,0.47527245,0.508191
