,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
PDCD2,0.07610559,0.0,0.36758313,0.14105673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02860209,0.2811913,0.017948072,0.029983174,0.0,0.1657248,0.0,0.26279858,0.0,0.0,0.0713086,0.1420141,0.0,0.1562101,0.0,0.07943543,0.0,0.0,0.18169905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26725784,0.0,0.43405715,0.07249558,0.21898772,0.0,0.0,0.23726901,0.0,0.01246696,0.0,0.0,0.0,0.16883707,0.44886234,0.0,0.0,0.06708908,0.0,0.45735747,0.0,0.0,0.0,0.46879873,0.38817096,0.0,0.0,0.0,0.18860734,0.0,0.32298452,0.26183233,0.0,0.0,0.42594752,0.45949706,0.0,0.095169224,0.0,0.0,0.0,0.0,0.0,0.0,0.24255803,0.0,0.0,0.0,0.0,0.0,0.24053602,0.0,0.012002874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09458239,0.2063831,0.0,0.0,0.4028526,0.0,0.0,0.0,0.1454957,0.0,0.03365771,0.0,0.4493186,0.0,0.0,0.27407616,0.0,0.0,0.0,0.0008850023,0.0,0.0,0.0,0.0,0.39024338
MBTD1,0.14780435,0.0,0.11017545,0.011152111,0.0,0.0,0.0026809871,0.0,0.0,0.0,0.0,0.0,0.0,0.07548163,0.15627699,0.0,0.06497459,0.0,0.0,0.0,0.11946887,0.05138864,0.0,0.12501922,0.058095146,0.0,0.16176929,0.0,0.07269949,0.0,0.0,0.1066069,0.0,0.0,0.06630613,0.0,0.0,0.0,0.0,0.12692717,0.0,0.16966781,0.102162585,0.04245681,0.0,0.0,0.06494382,0.0,0.0010971352,0.0,0.013102652,0.0,0.01620952,0.2705212,0.0,0.0,0.0,0.0,0.19270512,0.0,0.0,0.0,0.23256716,0.16966385,0.0,0.0,0.0,0.058411695,0.0,0.11627111,0.09464127,0.052132547,0.0,0.17181194,0.18957466,0.0,0.064329416,0.0,0.0,0.0,0.032356307,0.0,0.0,0.05648394,0.0,0.0,0.041944616,0.0,0.0141362585,0.102612406,0.0,0.0,0.12913828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12061357,0.11084315,0.0,0.0,0.20034659,0.0,0.0,0.0,0.00088750944,0.0,0.03244037,0.019148253,0.18917488,0.0,0.03766156,0.117071696,0.0,0.050194737,0.0,0.0038688704,0.0,0.0,0.10086802,0.0,0.13714957
SMAD2,0.48251987,0.0,0.3617815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33072573,0.31103638,0.579368,0.19460455,0.36743882,0.0,0.21918565,0.21184313,0.0,0.0,0.0,0.05404878,0.0,0.1292369,0.15269288,0.0,0.0,0.68346834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014513522,0.0,0.2041538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6145069,0.0,0.0,0.0,0.0,1.0049875,0.0,0.0,0.0,0.0,0.59764373,0.0,0.0,0.0,0.0,0.0,0.010330021,0.50761074,0.2301121,0.0,0.08137552,0.77623844,0.0,0.0,0.0,0.0,0.0,0.108943515,0.0,0.0,0.0,0.0,0.0,0.05749178,0.0,0.42459476,0.047172662,0.0,0.12558389,0.03694075,0.0,0.7068027,0.05862605,0.0,0.0,0.39156532,0.0,0.0,0.0,0.0,0.36168328,0.0,0.0,0.0,0.2849297,0.0636172,0.0,0.0,0.0,0.0,0.25899702,0.4743027,0.29056737,0.0,0.0,0.20578754,0.0,0.0,0.0,0.0,0.0,0.2996419,0.3824198,0.0,0.8077654
ARID3B,0.16495052,0.0,0.22879833,0.050913945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07211429,0.16739213,0.022546504,0.0447291,0.0013699513,0.0,0.0,0.17604943,0.0,0.0,0.02341314,0.1338747,0.0,0.19543494,0.024181299,0.10892494,0.0,0.0,0.06860863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17876019,0.0,0.25630528,0.01521631,0.046109196,0.0,0.0,0.17449279,0.0,0.006106384,0.0,0.08126563,0.0,0.0993019,0.27060685,0.0,0.0,0.0,0.0,0.27446458,0.0,0.0,0.0,0.34625795,0.23531866,0.0,0.0,0.0,0.031623024,0.0,0.21159332,0.20159133,0.017588343,0.0,0.29177082,0.31068614,0.0,0.010900013,0.0,0.0,0.0,0.0,0.0,0.0,0.1880168,0.0,0.0,0.029780418,0.0,0.0,0.18765025,0.0,0.0,0.11823599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18404344,0.09805152,0.0,0.0,0.27087158,0.0,0.0,0.0,0.05938972,0.0,0.058344528,0.0,0.24123129,0.0,0.050888177,0.1543158,0.0,0.024649255,0.0,0.019465808,0.0,0.0,0.0,0.0,0.26158142
HOMER1,0.15551972,0.0,0.23301786,0.046541218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11220473,0.18231523,0.019801006,0.03300289,0.0,0.0,0.0,0.11781981,0.01661375,0.0,0.034961678,0.12033233,0.0,0.23315804,0.03128939,0.13641411,0.0,0.0,0.0906508,0.0,0.0,0.02102672,0.0,0.0,0.0,0.0,0.1470933,0.0,0.25946376,0.0,0.045396965,0.0,0.0,0.1832044,0.0065256897,0.04225284,0.0,0.086885065,0.0,0.08813914,0.21972896,0.0,0.0,0.016456641,0.0,0.22595656,0.0,0.0,0.0,0.24743536,0.2534976,0.0,0.0,0.0,0.04378106,0.0,0.2023476,0.20050627,0.0135721415,0.0,0.28750572,0.22060588,0.0,0.0,0.0,0.0,0.0,0.03281045,0.0,0.0,0.15516433,0.0,0.0,0.0099925175,0.0,0.0,0.11855976,0.0,0.0,0.1298366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16318019,0.028667722,0.0,0.0,0.17472568,0.0,0.0,0.0,0.0,0.0,0.024777886,0.0,0.14729095,0.0,0.0025819317,0.113525055,0.0,0.08433816,0.0,0.02156917,0.0,0.0,0.0,0.0,0.23972349
GYPE,0.2652485,0.0,0.0,0.0,0.0,0.0,0.043449298,0.0,0.0,0.042575605,0.0,0.0,0.0,0.27639642,0.018415552,0.33557928,0.07868209,0.066435784,0.0,0.15080559,0.0,0.1807781,0.15118891,0.21939173,0.10597134,0.0,0.3055276,0.021448515,0.24000105,0.29861787,0.0,0.044743203,0.0,0.058713716,0.0,0.063231245,0.0,0.0,0.0,0.0,0.14230257,0.0,0.0,0.0,0.047891818,0.0,0.0,0.0,0.0,0.36006922,0.2377496,0.008476179,0.031075992,0.07419856,0.0,0.10401292,0.0,0.0,0.0,0.0,0.14949621,0.0,0.23370846,0.0,0.0,0.0,0.13531816,0.0,0.0,0.0,0.0,0.34055895,0.13123453,0.0,0.21417262,0.0,0.0,0.0,0.0,0.0,0.020040937,0.0,0.11341675,0.013692901,0.0,0.0,0.11459443,0.07776536,0.14065923,0.0,0.0,0.0,0.40729865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3717602,0.0,0.0,0.0,0.0,0.0,0.0,0.17945981,0.0,0.0,0.15817215,0.0,0.0,0.0,0.20801526,0.0,0.0,0.15370151,0.0,0.040093627,0.0,0.05982518,0.31031072,0.0,0.13443932
ZBTB2,0.14345413,0.0,0.0,0.0,0.0,0.0,0.13203512,0.0,0.0,0.050264366,0.0,0.0,0.0,0.14634427,0.070211254,0.07735193,0.14425656,0.0,0.0,0.010321945,0.118735,0.07383057,0.0,0.2224454,0.0,0.0,0.19115627,0.0,0.20051548,0.050735947,0.0,0.0,0.0,0.01913312,0.17390372,0.1326605,0.0,0.0,0.0,0.085874245,0.0,0.06784526,0.14535517,0.06227285,0.0029566586,0.0,0.005888316,0.0,0.0,0.055248454,0.16111664,0.0,0.0,0.12053775,0.0,0.0,0.0,0.0,0.18078095,0.0,0.0,0.011544468,0.13612653,0.02460584,0.0,0.0,0.041910827,0.052184924,0.0,0.0,0.0,0.029676631,0.0,0.10621556,0.089769706,0.025992587,0.0,0.0,0.0,0.0,0.12213413,0.0,0.15706821,0.0736514,0.0,0.0,0.14637308,0.07119916,0.07477424,0.0,0.0,0.044545945,0.20452595,0.0,0.00073801726,0.0,0.0,0.0,0.112068035,0.0,0.0,0.07788552,0.0,0.15897109,0.051390212,0.0,0.0,0.07228119,0.0,0.0,0.05533656,0.0,0.08340597,0.0,0.014599305,0.034795642,0.0,0.14105761,0.023563351,0.0,0.09843526,0.0,0.0,0.0,0.0,0.20174903,0.0,0.021989603
MRS2,0.56311095,0.0,0.0,0.0,0.0,0.0,0.44177848,0.0,0.0,0.27432644,0.0,0.0,0.3024465,0.25226533,0.027954705,0.2249722,0.10985131,0.07560379,0.0,0.17973651,0.01697263,0.15653746,0.0,0.3696498,0.0,0.0,0.35852978,0.08054299,0.45429078,0.40527236,0.0,0.0,0.0,0.14376062,0.27709353,0.55580324,0.0,0.0,0.0,0.0,0.050445832,0.07924014,0.27313367,0.0,0.22212535,0.082009204,0.0374343,0.0,0.0,0.29499668,0.6105293,0.0,0.0,0.0,0.0,0.036787078,0.0,0.0,0.20573367,0.0,0.10517931,0.18469775,0.0,0.0,0.0,0.0,0.22154915,0.0,0.0,0.0,0.0,0.013139311,0.038213536,0.0,0.0,0.26039168,0.0,0.33606285,0.0,0.23142308,0.3235986,0.0,0.46732342,0.08239341,0.0,0.0,0.20859155,0.28851697,0.21194775,0.0,0.0,0.1670943,0.62625027,0.0,0.0,0.0,0.0,0.0,0.3011444,0.0,0.14076751,0.35221365,0.0,0.314263,0.0,0.0,0.0,0.0,0.0,0.0,0.11880745,0.0,0.3942368,0.0,0.05981882,0.0,0.0,0.39041078,0.0,0.0,0.17332084,0.0,0.0,0.0,0.0,0.39139536,0.0,0.0
ISCA1,0.19345126,0.0,0.28522918,0.14693406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07189615,0.26619256,0.10575318,0.005942285,0.033746682,0.0,0.0,0.2119726,0.0,0.0,0.049356073,0.18506923,0.0,0.20021933,0.017744265,0.037237875,0.0,0.0,0.07452752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1964769,0.0,0.39531946,0.048828393,0.054652836,0.0,0.0,0.18172285,0.0,0.0,0.0,0.011284975,0.0,0.16474494,0.35977957,0.0,0.0,0.0,0.0,0.33605593,0.0,0.0,0.0,0.46811548,0.3315882,0.0,0.0,0.0,0.041872554,0.0,0.20959787,0.26913607,0.0387609,0.0,0.35421872,0.41556808,0.0,0.039724577,0.0,0.0,0.0,0.0,0.0,0.0,0.2050226,0.0,0.0,0.0,0.0,0.0,0.2320431,0.0,0.0022267364,0.11778243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17844422,0.17213196,0.0,0.0,0.30196637,0.0,0.0,0.0,0.06504816,0.0,0.09369995,1.5635043e-05,0.29765248,0.0,0.01709437,0.18979141,0.0,0.0,0.0,0.042816713,0.0,0.0,0.0,0.0,0.3762478
AMN1,0.0630047,0.0,0.25300094,0.22728546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.120128,0.15538467,0.021473616,0.07164836,0.05758267,0.15392745,0.0,0.11605163,0.0017691641,0.0,0.104283065,0.17271644,0.0,0.02385691,0.0,0.05553458,0.0,0.0,0.2329548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19260097,0.0,0.19922316,0.062119365,0.072011866,0.0,0.0,0.14794643,0.04878526,0.05004111,0.0698266,0.03082179,0.0,0.09994464,0.25335208,0.0,0.0,0.10365428,0.0,0.06079631,0.0,0.0,0.0,0.25204167,0.2782074,0.0,0.0,0.0,0.081480585,0.0,0.24178405,0.15570386,0.06605834,0.0,0.28096634,0.27254644,0.0,0.13472128,0.0,0.0074617006,0.0,0.0,0.0,0.0,0.118453935,0.0,0.0,0.0032332689,0.0,0.0,0.1948083,0.0,0.0,0.06457168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050051793,0.015959885,0.0,0.0,0.17744188,0.0,0.0,0.0,0.036339212,0.0,0.0,0.0,0.19181925,0.0,0.028387714,0.059574477,0.0,0.022723258,0.0747813,0.07372725,0.0,0.0,0.032274924,0.0,0.26822707
