,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
PDCD2,-0.023887768,0.07042101,0.05635491,-0.07915501,0.07632465,0.021476375,-0.07855243,-0.05482734,0.07807081,0.100016855,0.07894696,-0.0650182,0.08985883,0.049116436,0.05942711,0.0722194,-0.04250411,-0.064913034,0.11270197,-0.07745904,-0.0430773,0.04518811,0.050287783,0.022278294,-0.07035969,-0.071856946,-0.055295803,-0.0073288046,-0.08245962,0.081331156,-0.07820036,0.09919228,0.07824465,0.073609866,0.06292412,0.09680498,-0.07159835,-0.070565924,0.06174866,0.08901371,0.048054576,-0.06334072,0.04219588,-0.049442574,0.054759145,-0.070616424,0.07377167,0.034618475,-0.062146775,0.07839484,-0.07127526,-0.045590658,0.062863566,0.05294488,0.057951376,0.063529186,0.021964086,-0.038199827,-0.107135676,0.08570509,0.087651476,0.07118094,-0.003468318,-0.07529605
MBTD1,0.02535583,-0.010946579,-0.020032734,0.029116286,0.001351878,-0.036471542,0.0023361593,0.026468296,-0.013401378,0.011717896,-0.016095974,0.019918341,0.009368276,-0.017588586,0.006694343,-0.011446636,0.01671812,0.01605685,0.01695507,0.021121137,-0.038851555,0.036753032,-0.020913254,0.033938482,-0.012695443,0.01616066,0.024615359,-0.0065682232,0.014590748,0.009650042,-0.036880612,0.0046580285,2.5480986e-05,-0.016783386,0.011912316,0.0083993655,-0.006211467,0.02432857,7.270463e-05,-0.0037585255,0.05169337,0.020445436,-0.032622457,0.012907015,-0.016414385,0.0049158856,-0.019300014,-0.023195975,0.014304368,-0.0028880984,0.018741628,0.016805135,-0.03308043,-0.019646903,-0.017288193,-0.013222235,-0.04681833,0.007286465,-0.016704658,0.02245747,0.0123561835,0.012543185,0.04943303,0.0058823507
SMAD2,0.057920106,-0.00058273226,-0.061563373,0.070329815,0.10401086,-0.13880071,-0.07919776,0.03829458,0.07710369,0.105684884,-0.028244518,-0.07528641,0.0010686144,0.01567017,0.09428844,-0.027342292,0.06338522,0.07927545,0.058830462,0.04793086,-0.18849483,0.12328397,-0.036071707,0.17409647,0.0002993606,-0.0070701167,0.057106394,-0.0867306,-0.025403123,0.05957231,-0.18449502,0.07127166,0.11854512,-0.034276437,0.17597699,0.14809382,-0.024716923,0.06517127,0.012888435,0.006308358,0.084743805,-0.092515156,-0.09068463,-0.00037872232,0.010094054,-0.098265365,-0.03248927,-0.060238384,-0.019003991,-0.049928762,0.07370462,0.10364568,-0.10318375,-0.006323736,-0.066544056,-0.12358613,-0.13531722,0.0727862,-0.14351958,0.09191347,0.07881282,0.05139083,0.11080676,-0.08343053
ARID3B,0.006501615,0.013085015,0.0056084394,-0.0075697526,0.019913815,-0.00985878,-0.025720425,0.0019723587,0.00972997,0.038266923,0.014006248,-0.005674474,0.030949324,-0.0007218197,0.021168295,0.021867437,-0.005821809,-0.010411583,0.042030286,-0.012464814,-0.034617763,0.038068302,0.010699246,0.028835218,-0.02622448,-0.013689261,-0.008560957,-0.0017701611,-0.01103539,0.029752411,-0.043351553,0.03510413,0.02176825,0.013716038,0.027962334,0.03688817,-0.03194753,-0.01085709,0.017607767,0.02364758,0.04722287,-0.0048442036,-0.008092718,-0.010303646,0.0045654178,-0.016901698,0.009216815,-0.006398022,-0.0062531084,0.023250088,-0.0071144495,-0.009395564,0.0022957623,0.0035294034,0.000519678,0.0063380934,-0.020073062,-0.008009857,-0.03951536,0.03842487,0.036768377,0.029250756,0.03119331,-0.019239571
HOMER1,0.016203478,0.007005211,-0.0052787364,0.004265234,0.014646274,-0.012820821,-0.021358132,0.016126838,-0.0024696875,0.022745658,0.004812114,0.0031166598,0.025103025,-0.0097889565,0.015911255,0.012682785,0.0042685196,0.0027408525,0.034748595,-0.0002978295,-0.037845206,0.04265947,-0.0029665567,0.034580827,-0.014701512,-0.0030511394,0.008788787,-0.001962375,0.004042741,0.025194822,-0.043246515,0.030868772,0.014109336,-0.0019655628,0.026700411,0.02745158,-0.023196071,0.002745062,0.010568144,0.012249551,0.048457127,0.001829125,-0.025778735,0.0005593728,-0.003975928,-0.009997595,-0.0041817576,-0.011186074,0.003598433,0.010965005,0.0029656086,0.00095589086,-0.009438496,-0.006772209,-0.0054774433,-0.0099448105,-0.029050486,0.0055650454,-0.034776933,0.03332615,0.029655997,0.025871418,0.034959987,-0.005684074
GYPE,0.07488526,-0.15162465,-0.10242036,0.17509064,-0.1486979,-0.081158906,0.13247752,0.12941717,-0.15521565,-0.14341445,-0.13951841,0.13613784,-0.15090428,-0.07042936,-0.06903,-0.16427861,0.12179558,0.13598162,-0.1547809,0.14844185,0.03167327,-0.033683278,-0.093073756,0.0024696141,0.09958838,0.13102582,0.119088754,0.002801314,0.13903967,-0.13188988,0.09394875,-0.16331619,-0.1423721,-0.1378907,-0.077404,-0.1540726,0.10884176,0.15510735,-0.10077644,-0.15192308,-0.03698194,0.11145212,-0.102151796,0.11114182,-0.1247756,0.11798619,-0.15313962,-0.08484467,0.12626737,-0.13667792,0.14370602,0.116267875,-0.14840513,-0.13618298,-0.12842534,-0.12901989,-0.08889205,0.05790791,0.15391122,-0.12317437,-0.13521144,-0.11261515,0.057067208,0.11445351
ZBTB2,0.06503313,-0.100898184,-0.09247981,0.11782062,-0.08774559,-0.08426422,0.09729573,0.0966353,-0.10426636,-0.08309786,-0.09684347,0.108230256,-0.07530497,-0.076926954,-0.05849514,-0.10814578,0.071844175,0.08955502,-0.08329046,0.117719404,-0.0012665093,0.013815122,-0.06434484,0.02258802,0.06357063,0.097190075,0.106870666,-0.001285702,0.103538804,-0.06889446,0.04103323,-0.09632681,-0.08452874,-0.103948206,-0.052202992,-0.09014005,0.07229903,0.09487568,-0.076822646,-0.10999365,0.023255274,0.08529258,-0.08867872,0.06751979,-0.08374987,0.0922039,-0.10213669,-0.07456597,0.08774924,-0.081954606,0.102889396,0.088952824,-0.1159842,-0.083168164,-0.07185286,-0.0743215,-0.08528977,0.028078271,0.0934921,-0.06242936,-0.071776666,-0.052787453,0.07647732,0.104413286
MRS2,0.1943948,-0.3284626,-0.2985891,0.32945013,-0.32896066,-0.23465444,0.32246086,0.28854564,-0.34196576,-0.3023011,-0.28699538,0.31910244,-0.30512553,-0.23000714,-0.21037608,-0.34569362,0.21287939,0.32098028,-0.33720613,0.3766564,0.0528935,-0.031230355,-0.20238675,-0.0037316047,0.28800637,0.32619748,0.29912087,-0.0113378465,0.34151974,-0.27618212,0.21713886,-0.33768418,-0.28434825,-0.33012646,-0.19088611,-0.3072834,0.27286592,0.28761375,-0.25873935,-0.34240508,-0.030087098,0.26821774,-0.23808171,0.19183291,-0.27517167,0.29490304,-0.3355416,-0.23364785,0.29682565,-0.27681565,0.2914502,0.27098435,-0.30633378,-0.24028182,-0.2565456,-0.21095431,-0.17733586,0.115121976,0.38750884,-0.2612879,-0.25697926,-0.1623559,0.13220514,0.3281055
ISCA1,-0.008023359,0.03379503,0.023862652,-0.031135075,0.040860884,-0.00529724,-0.045191094,-0.017968072,0.035058897,0.062815845,0.028948206,-0.03518992,0.049683023,0.023746151,0.03512824,0.042064562,-0.017154634,-0.030750882,0.069130994,-0.03528826,-0.04008541,0.045935795,0.026038721,0.035159096,-0.042005703,-0.033773422,-0.029353885,-0.00064535066,-0.039777584,0.046124857,-0.055029087,0.05598916,0.041515864,0.038280107,0.04565401,0.06397758,-0.04528662,-0.03383561,0.03948133,0.051858366,0.044916958,-0.024806738,0.0143645145,-0.021172779,0.022156611,-0.034674536,0.034852024,0.0069030374,-0.029878527,0.04097911,-0.033403896,-0.021932824,0.021760682,0.023037221,0.019678257,0.030122591,-0.008810544,-0.01889236,-0.06475471,0.056878015,0.05245895,0.042323105,0.018774668,-0.046626948
AMN1,-0.019488834,0.036898308,0.041414507,-0.023570467,0.028694917,0.01895601,-0.030278109,-0.017647976,0.018194767,0.038985096,0.028342493,-0.014272094,0.051398367,0.012667138,0.018907096,0.031047985,-0.026947323,-0.0279418,0.0648072,-0.022573903,-0.015898589,0.011156156,0.023934588,0.008345833,-0.046987157,-0.029361386,-0.023139922,0.009262487,-0.028957218,0.041451767,-0.032044023,0.037120573,0.014260776,0.035677835,0.009122483,0.023047952,-0.03969909,-0.02580199,0.0316276,0.03214686,0.022144295,-0.021014191,0.015391589,-0.016946416,0.021329261,-0.023602296,0.04008358,0.038747277,-0.026070528,0.03330578,-0.018334808,-0.029578872,0.032065082,0.028273564,0.02279795,0.025238479,0.009960784,-0.019408919,-0.043563172,0.03934351,0.026554067,0.022186998,0.011138178,-0.034160025
