TF_gene,Target_gene
FOXA2,AKR1D1
MYBL2,AKR1D1
CREB1,AKR1D1
FOSL2,AKR1D1
SMARCC1,AKR1D1
MAZ,AKR1D1
JUND,AKR1D1
EPAS1,DOT1L
MYBL2,DOT1L
CREB1,DOT1L
MYC,DOT1L
HDAC2,DOT1L
FOXA2,DOT1L
RFX5,DOT1L
ELF1,DOT1L
CEBPD,MAPK1
JUND,MAPK1
FOXA1,MAPK1
FOSL2,MAPK1
NR2F2,MAPK1
MYBL2,MAPK1
HNF4A,MAPK1
ATF3,MAPK1
MYC,MAPK1
SMARCC1,MAPK1
CREB1,BCOR
HNF4A,BCOR
MYC,BCOR
MYBL2,BCOR
CEBPD,BCOR
ELF1,BCOR
REST,BCOR
FOSL2,ESYT1
SMARCC1,ESYT1
NR2F2,ESYT1
FOXA2,ESYT1
CEBPD,ESYT1
JUN,ESYT1
MYBL2,ESYT1
MAFF,ESYT1
ATF3,DNAJB9
ELF1,DNAJB9
CEBPD,DNAJB9
MAZ,DNAJB9
FOSL2,DNAJB9
JUND,DNAJB9
SMARCC1,DNAJB9
FOXA2,DNAJB9
CREB1,DNAJB9
SRF,DNAJB9
REST,UGT2B11
SMARCC1,UGT2B11
FOSL2,UGT2B11
MAFF,UGT2B11
CREB1,UGT2B11
MYBL2,UGT2B11
MAZ,UGT2B11
NR2F2,UGT2B11
ELF1,SEC11C
JUND,SEC11C
CREB1,SEC11C
MAZ,SEC11C
FOSL2,SEC11C
HDAC2,SEC11C
CEBPZ,SEC11C
RFX5,SEC11C
FOXA2,KLF3
CEBPD,KLF3
CREB1,KLF3
SMARCC1,KLF3
MYBL2,KLF3
REST,KLF3
JUND,KLF3
MYC,KLF3
FOXA2,DPH5
HDAC2,DPH5
MYC,DPH5
ATF3,DPH5
ELF1,DPH5
CREB1,DPH5
MYBL2,DPH5
JUND,DPH5
MYC,PEX19
FOXA1,PEX19
ELF1,PEX19
HNF4A,PEX19
NR2F2,PEX19
MYBL2,PEX19
CREB1,PEX19
SMARCC1,PEX19
FOXA2,PEX19
FOXA2,TRIT1
CREB1,TRIT1
NR2F2,TRIT1
HDAC2,TRIT1
SMARCC1,TRIT1
FOXA1,COPS7B
SMARCC1,COPS7B
HDAC2,COPS7B
HNF4A,COPS7B
CREB1,COPS7B
MYC,COPS7B
SRF,COPS7B
NR2F2,COPS7B
MAZ,COPS7B
REST,COPS7B
CREB1,PTGR1
HDAC2,PTGR1
JUND,PTGR1
MYC,PTGR1
SRF,PTGR1
CEBPD,PTGR1
MYBL2,PTGR1
ELF1,PTGR1
SMARCC1,PSMD10
ELF1,PSMD10
FOSL2,PSMD10
FOXA1,PSMD10
MCRS1,PSMD10
MAZ,PSMD10
FOXA2,PSMD10
MAFF,PSMD10
RFX5,PSMD10
JUND,TGIF2
REST,TGIF2
FOXA1,TGIF2
SMARCA4,TGIF2
CEBPD,TGIF2
HNF4A,TGIF2
NR2F2,TGIF2
FOXA2,TGIF2
JUN,TGIF2
MYC,TGIF2
MYC,BBS9
HDAC2,BBS9
FOSL2,BBS9
JUND,BBS9
CEBPD,BBS9
MYBL2,BBS9
FOXA1,BBS9
HNF4A,BBS9
SMARCC1,BBS9
MAZ,PRPS2
FOXA2,PRPS2
FOXA1,PRPS2
CREB1,PRPS2
SMARCC1,PRPS2
MYC,PRPS2
FOSL2,PRPS2
JUND,PRPS2
HDAC2,PRPS2
JUND,SLC25A20
FOXA1,SLC25A20
CREB1,SLC25A20
FOXA2,SLC25A20
MAFF,SLC25A20
HDAC2,SLC25A20
CEBPD,SLC25A20
MYC,SLC25A20
JUND,SLC25A4
FOXA1,SLC25A4
MAFF,SLC25A4
EPAS1,SLC25A4
HNF4A,SLC25A4
MAZ,SLC25A4
MYBL2,SLC25A4
FOXA2,SLC25A4
CEBPD,SLC25A4
MYBL2,RBBP4
HNF4A,RBBP4
FOXA1,RBBP4
SMARCA4,RBBP4
NR2F2,RBBP4
JUND,RBBP4
SRF,RBBP4
MYC,RBBP4
SMARCC1,RBBP4
HDAC2,RBBP4
HDAC2,NTPCR
CEBPD,NTPCR
CREB1,NTPCR
JUND,NTPCR
REST,NTPCR
MAZ,NTPCR
SRF,NTPCR
FOSL2,NTPCR
FOXA2,NTPCR
JUND,SMARCD2
FOXA2,SMARCD2
MAFF,SMARCD2
FOXA1,SMARCD2
SMARCC1,SMARCD2
JUN,SMARCD2
REST,SMARCD2
EPAS1,SMARCD2
NR3C1,SMARCD2
MYC,SMARCD2
REST,ZNF91
MAZ,ZNF91
CEBPD,ZNF91
SRF,ZNF91
HNF4A,ZNF91
CEBPZ,ZNF91
SMARCC1,ZNF91
MYC,ZNF91
CREB1,ZNF91
NR2F2,SSB
ELF1,SSB
HNF4A,SSB
MAZ,SSB
FOXA2,SSB
MYC,SSB
MYBL2,SSB
CEBPD,SSB
CREB1,SSB
REST,SMARCC1
RFX5,SMARCC1
JUN,SMARCC1
MAZ,SMARCC1
CREB1,SMARCC1
HNF4A,SMARCC1
EPAS1,SMARCC1
FOXA2,SMARCC1
SMARCA4,SMARCC1
MYBL2,SMARCC1
MAZ,KNSTRN
MYC,KNSTRN
CEBPD,KNSTRN
REST,KNSTRN
JUND,KNSTRN
MYBL2,KNSTRN
RFX5,KNSTRN
FOSL2,KNSTRN
SMARCC1,KNSTRN
HDAC2,KNSTRN
FOXA2,CRBN
ELF1,CRBN
CEBPZ,CRBN
MAZ,CRBN
RFX5,CRBN
NR2F2,CRBN
ATF3,CRBN
CREB1,CRBN
FOXA1,CRBN
MYC,CRBN
CREB1,SERPINB1
HDAC2,SERPINB1
FOXA2,SERPINB1
ELF1,SERPINB1
MYC,SERPINB1
FOSL2,SERPINB1
SMARCC1,SERPINB1
JUND,SERPINB1
NR2F2,TBPL1
CREB1,TBPL1
REST,TBPL1
MAFF,TBPL1
SMARCC1,TBPL1
HDAC2,TBPL1
ELF1,TBPL1
RFX5,TBPL1
MAZ,TBPL1
FOXA2,TBPL1
CEBPD,STAT2
REST,STAT2
MAZ,STAT2
FOXA2,STAT2
CEBPZ,STAT2
CREB1,STAT2
JUND,STAT2
MYBL2,STAT2
ELF1,STAT2
MAFF,STAT2
NR2F2,TBCB
REST,TBCB
JUND,TBCB
SMARCC1,TBCB
ATF3,TBCB
FOSL2,TBCB
CEBPD,TBCB
RFX5,TBCB
ELF1,TBCB
FOXA2,TBCB
SMARCC1,GXYLT2
HNF4A,GXYLT2
FOXA1,GXYLT2
EPAS1,GXYLT2
JUND,GXYLT2
FOXA2,GXYLT2
TEAD4,GXYLT2
NR2F2,F2RL1
MYC,F2RL1
MYBL2,F2RL1
ELF1,F2RL1
REST,F2RL1
SMARCC1,F2RL1
MAZ,F2RL1
CREB1,F2RL1
SRF,ANP32E
MAZ,ANP32E
