,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
EGR1,0.0,0.06585669,0.01658525,0.0,0.0,0.0,0.22792858,0.0,0.0,0.050622568,0.15436858,0.0,0.087212965,0.11246611,0.0,0.0,0.049450465,0.0,0.0,0.20149696,0.0,0.0,0.06206002,0.0,0.10058804,0.18134497,0.0,0.0,0.067036524,0.064576894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39996338,0.045482606,0.17737071,0.0,0.0,0.09036072,0.0,0.030712694,0.0,0.0034014937,0.0,0.2603307,0.0,0.0,0.033506203,0.0,0.0,0.011284187,0.0,0.12923819,0.11995949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053755186,0.0,0.0,0.0,0.11706443,0.0,0.0,0.0,0.0,0.0,0.13164328,0.061136503,0.29054013,0.0,0.0,0.0,0.0,0.0,0.0,0.09878421,0.02374465,0.093590885,0.0,0.0,0.15049395,0.0,0.1759704,0.0,0.0,0.0,0.0,0.0,0.0,0.06877279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02877231,0.0,0.06829338,0.02385265,0.0,0.025117517,0.0,0.07344913,0.20481509,0.06076412,0.28808644,0.0,0.0,0.0,0.112367734,0.025190752,0.0,0.0,0.0,0.0,0.09808203
PPIL1,0.0,0.6450819,0.19493441,0.0,0.0,0.12635091,0.062352255,0.137894,0.0,0.09773298,0.0,0.0,0.23563704,0.5996589,0.21071601,0.0,0.0,0.0,0.0,0.0,0.061357573,0.0,0.036043596,0.0,0.0,0.8213231,0.40942267,0.0,0.21117353,0.45444006,0.0,0.0,0.0,0.0,0.0,0.16851857,0.0,0.08027169,0.38624474,0.0,0.0,0.39473525,0.0,0.0,0.37377852,0.2881707,0.49456167,0.0,0.12695958,0.0,0.0,0.0,0.0663245,0.0,0.0,0.0,0.5993182,0.0,0.0,0.030895174,0.0,0.0,0.24745907,0.16293634,0.0,0.26185825,0.0,0.0,0.0,0.60425514,0.0,0.0,0.0,0.20929572,0.0,0.28066695,0.009227883,0.0,0.0,0.0,0.0,0.0,0.0,0.07278133,0.5547154,0.0,0.6351901,0.0,0.0,0.5845022,0.0,0.0,0.0,0.09059578,0.19806208,0.18118869,0.0,0.0,0.0,0.0,0.18975756,0.0,0.0,0.0,0.0,0.0,0.086239204,0.4242227,0.0,0.14728557,0.0,0.0,0.4246161,0.38713014,0.0,0.16827226,0.0,0.0,0.03808555,0.0,0.17831069,0.62995017,0.0,0.0,0.0,0.12740527,0.0,0.42504928
CXCR4,0.0,0.0,0.0,0.0,0.0,0.0,0.12181145,0.0,0.05634066,0.0,0.049252763,0.0,0.0,0.0,0.0,0.0,0.15512934,0.0,0.118361235,0.17945865,0.0,0.0,0.0,0.0,0.49469918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010475843,0.74160177,0.0,0.3941929,0.32887885,0.0,0.0,0.0,0.0,0.0,0.0,0.12082303,0.6259205,0.15356524,0.0,0.19778612,0.0,0.0,0.30509138,0.0,0.0,0.07716667,0.0,0.016851246,0.0,0.048660118,0.0,0.0,0.25625193,0.0,0.0,0.3419131,0.030804835,0.0,0.0,0.18146464,0.0,0.0,0.0,0.0,0.07091597,0.48018885,0.0,0.28110942,0.0,0.0,0.0,0.0,0.0,0.053421073,0.0,0.0,0.0,0.0,0.074893594,0.28641808,0.0,0.0,0.0,0.0,0.21291338,0.0,0.13500184,0.0,0.0,0.0,0.14436495,0.0,0.0,0.0,0.0,0.0,0.24739727,0.0,0.1465306,0.0,0.050422885,0.0,0.43995285,0.2076172,0.3782436,0.49597523,0.0,0.0,0.0,0.0,0.05722793,0.0,0.0,0.0,0.0,0.0
ZSWIM8,0.0,0.1296362,0.0,0.0,0.0,0.0,0.13604446,0.0,0.0,0.065610796,0.0802599,0.0,0.08215727,0.14570472,0.0,0.0,0.0,0.0,0.0,0.13483775,0.0,0.0,0.0,0.0,0.0,0.1889201,0.0,0.0,0.09301248,0.08442128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2557773,0.056575313,0.08456383,0.0,0.02916754,0.010732553,0.0,0.10389911,0.0,0.08163618,0.0,0.15339215,0.0,0.0,0.026273923,0.0,0.0,0.0,0.0,0.11561599,0.029608477,0.0,0.006332144,0.0,0.0,0.008115981,0.0,0.0,0.029789977,0.0,0.0,0.0,0.10316539,0.0,0.0,0.0,0.0,0.0,0.06514751,0.059272677,0.17901623,0.0,0.0,0.0,0.0,0.0,0.0,0.114405766,0.0,0.16505754,0.0,0.0,0.16724092,0.0,0.13701114,0.0,0.0,0.0,0.0,0.0,0.0,0.017657652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06555486,0.0,0.0,0.0005123466,0.0,0.13236046,0.03847714,0.04215835,0.14015241,0.0,0.20323396,0.0,0.0,0.020277523,0.1155725,0.0,0.0,0.0,0.0,0.005123861,0.10936226
ASXL1,0.0,0.35092857,0.12580712,0.0,0.0,0.017492339,0.006620871,0.10591338,0.0,0.04523092,0.0,0.0,0.19379145,0.33022076,0.08108931,0.0,0.0,0.0077620298,0.0,0.07163777,0.05946862,0.0,0.0,0.0,0.0,0.4531442,0.16902141,0.0,0.14807855,0.24043813,0.0,0.0,0.0,0.0,0.0,0.0897177,0.0,0.0,0.17424983,0.07051977,0.0,0.24050488,0.0042264713,0.0,0.18914026,0.18722937,0.22259162,0.0,0.020106424,0.0,0.0,0.0,0.013927236,0.0026924014,0.0,0.0,0.2825489,0.0,0.028869383,0.0,0.0,0.0,0.051165435,0.13453926,0.0,0.08686256,0.0,0.0,0.0,0.2773767,0.0,0.0,0.0,0.09789504,0.0,0.13191131,0.07334092,0.027554598,0.0,0.0,0.0,0.0,0.0,0.07393056,0.33886507,0.0,0.3649477,0.0,0.0,0.3464318,0.0,0.0,0.0,0.036141016,0.030197365,0.12839243,0.0,0.0,0.0,0.0,0.10883231,0.0,0.0,0.0,0.0,0.0,0.040667642,0.33572084,0.0,0.012660138,0.0,0.0,0.25974965,0.18727884,0.0,0.09889272,0.0,0.0025746375,0.0,0.0,0.15787733,0.37681392,0.0,0.035651,0.0,0.1131551,0.0,0.21607146
GLUD1,0.0,0.36459607,0.108252466,0.0,0.0,0.0,0.15625757,0.0,0.0,0.16417754,0.044149555,0.0,0.12494975,0.23344651,0.023331366,0.0,0.0,0.0,0.0,0.14565971,0.0,0.0,0.049213354,0.0,0.0,0.39165354,0.12074451,0.0,0.1208235,0.22253582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27451926,0.17079896,0.025900278,0.0,0.18288417,0.009096737,0.0,0.16793993,0.10126312,0.25017548,0.0,0.20822415,0.0,0.0,0.0,0.047645427,0.0,0.0,0.0,0.30336124,0.0,0.0,0.0,0.0,0.0,0.062161397,0.0,0.0,0.09471465,0.0,0.0,0.0,0.26281047,0.0,0.0,0.0,0.038424365,0.0,0.07742602,0.13246207,0.21079656,0.0,0.0,0.0,0.0,0.0,0.0,0.23552763,0.0,0.43371883,0.0,0.0,0.41569424,0.0,0.115286574,0.0,0.03099513,0.024416959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27174,0.0,0.05825676,0.0,0.0,0.30554643,0.14769216,0.01959399,0.13415124,0.0,0.21483803,0.0,0.0,0.06918748,0.32212457,0.0,0.0,0.0,0.0,0.0,0.18794248
PIM2,0.0,0.1271978,0.0,0.0,0.0,0.0,0.20676345,0.0,0.0,0.013712617,0.0,0.0,0.1280526,0.17094097,0.0,0.0,0.0,0.0080570225,0.0,0.15020758,0.0,0.0,0.008111846,0.0,0.0,0.30359527,0.098359704,0.0,0.03285267,0.090195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43600267,0.14515242,0.21092808,0.0,0.0,0.11798555,0.0,0.08429304,0.083296955,0.14036696,0.0,0.33407032,0.0,0.0,0.0,0.03790337,0.0,0.0,0.0,0.22775419,0.04230273,0.0,0.032995984,0.0,0.0,0.021049771,0.0,0.0,0.056424476,0.0,0.0,0.0,0.19421683,0.0,0.0,0.0,0.0,0.0,0.14440687,0.042080116,0.23142214,0.0,0.0,0.0,0.0,0.0,0.002556011,0.12983057,0.0,0.204418,0.0,0.0,0.20561221,0.0,0.1206812,0.0,0.0,0.0,0.0,0.0,0.0,0.00644885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07282688,0.12190133,0.0,0.022574559,0.0,0.0,0.10166009,0.06576784,0.07918182,0.25905883,0.0,0.22680981,0.0,0.0,0.057712294,0.28141227,0.0,0.0,0.0,0.0,0.0,0.21915337
CHAF1A,0.0,0.12369986,0.031054722,0.0,0.0,0.04596995,0.061763473,0.028223775,0.0,0.050270706,0.018788092,0.0,0.110388175,0.20161533,0.028544337,0.0,0.0,0.0,0.0,0.05461058,0.0,0.0,0.0,0.0,0.0,0.22026913,0.04981533,0.0,0.0642211,0.05451778,0.0,0.0,0.0,0.0,0.0,0.049198773,0.0,0.15477972,0.11413148,0.07530684,0.0,0.05860263,0.0,0.0,0.0936507,0.03822408,0.115711056,0.0,0.115178525,0.0,0.0,0.0,0.016016431,0.0,0.0,0.0,0.14838952,0.021468665,0.008798562,0.06274967,0.0,0.0,0.064469874,0.0,0.0,0.029537506,0.0,0.0,0.0,0.1432987,0.0,0.0,0.0,0.0,0.0,0.038376227,0.0,0.074940935,0.024491493,0.0,0.0,0.0,0.0,0.036946096,0.17641091,0.0,0.16080877,0.0,0.0,0.10813222,0.0,0.03114548,0.0,0.0,0.013696011,0.0,0.0,0.0,0.03866678,0.0,0.022395037,0.0,0.0,0.0,0.0,0.0,0.09268896,0.09717412,0.0,0.073635206,0.0,0.0,0.14601022,0.03439833,0.015465064,0.13607116,0.0,0.10369256,0.014608737,0.0,0.04691735,0.22964981,0.0,0.0,0.0,0.020219084,0.0,0.15812406
CD37,0.0,0.0,0.0,0.0,0.0,0.0,0.14187323,0.0,0.10376254,0.0,0.12583676,0.0,0.0,0.0,0.0,0.0,0.116386704,0.015899556,0.2576988,0.24805358,0.0,0.0,0.0,0.0,0.39063263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7450708,0.0,0.41069472,0.2760676,0.0,0.027877104,0.0,0.0,0.0,0.0,0.052419372,0.6049624,0.21467042,0.0,0.16136152,0.004825875,0.0,0.28815886,0.0,0.0,0.07707746,0.0,0.0,0.0,0.07608782,0.0,0.0,0.37933204,0.0,0.0,0.342328,0.14263065,0.0,0.0,0.1511428,0.0,0.0,0.0,0.0,0.112614706,0.5407266,0.0,0.24590003,0.0,0.0,0.0,0.0,0.0,0.07446006,0.0,0.0,0.0,0.0,0.12834021,0.28851366,0.0,0.0,0.0,0.0,0.30444565,0.0,0.16814628,0.038932886,0.0,0.0,0.108704574,0.0,0.0,0.0,0.0,0.0,0.27359056,0.0,0.15208535,0.0,0.017694749,0.0,0.42194384,0.24554199,0.34803063,0.46944928,0.0,0.0,0.0,0.0,0.038264718,0.0,0.0,0.0,0.0,0.0
EHMT1,0.0,0.13310534,0.0,0.0,0.0,0.0,0.18885313,0.0,0.0,0.070357114,0.11550225,0.0,0.04433102,0.09482602,0.0,0.0,0.0041910047,0.0,0.0,0.19881546,0.0,0.0,0.0,0.0,0.106156714,0.17591093,0.0,0.0,0.039904132,0.11171764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46354377,0.098815024,0.17989534,0.018989239,0.0,0.07039857,0.0,0.08420684,0.0,0.09954792,0.0,0.3381739,0.0,0.0,0.014758164,0.019156769,0.0,0.074309185,0.0,0.13628246,0.034956496,0.0,0.0,0.0,0.0073156245,0.033004183,0.0,0.019682439,0.020275697,0.0,0.0,0.034722306,0.07555276,0.0,0.0,0.0,0.0,0.0,0.032626975,0.07790618,0.28365868,0.0,0.0069347247,0.0,0.0,0.0,0.0,0.11762241,0.0,0.09511942,0.0,0.0,0.17448017,0.0,0.17295481,0.0,0.0,0.0,0.0,0.04710262,0.0,0.035165764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035832644,0.06740397,0.009360161,0.044167235,0.0,0.0,0.0962928,0.0,0.10331058,0.22980994,0.09084654,0.37327364,0.0,0.0,0.0,0.17064908,0.0,0.0,0.0,0.0,0.0,0.1307197
