,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
EGR1,0.06826242,0.050175086,0.07329808,-0.058325034,0.016039506,-0.0288819,0.014454383,-0.052611593,-0.048844334,-0.04679642,-0.055284873,-0.05262372,-0.03916476,-0.029279066,0.03551572,-0.052410763,0.0484741,0.04277772,0.05374901,0.05328253,-0.023686387,0.041524142,-0.046428353,0.035953432,-0.048179194,-0.054803357,0.04032743,-0.050236005,0.05421954,-0.044902984,-0.061621115,0.035187673,0.044244308,-0.06573698,0.066089176,0.05629024,-0.028996332,-0.052968964,0.005127825,-0.0405994,-0.06927003,0.039288968,0.037049256,-0.04076666,-0.03496487,-0.05350904,0.045847118,-0.06301355,-0.039542116,0.036318913,0.057175107,0.060525283,0.04576302,-0.052000463,0.02789548,0.06929188,0.065667324,0.04894066,-0.03461628,-0.043985136,-0.061958663,-0.060953006,-0.04963783,-0.037601568
PPIL1,-0.15756749,-0.15308511,-0.19319044,0.15401718,-0.06226077,0.11402222,-0.07549194,0.15198228,0.13396297,0.14588991,0.12838936,0.15730059,0.13671294,0.06651257,-0.15630698,0.14505753,-0.16118957,-0.13804078,-0.13596839,-0.11190855,0.084918246,-0.14884472,0.08303927,-0.09831252,0.13236153,0.1837125,-0.12423037,0.11847794,-0.15375598,0.175222,0.1797419,-0.13040864,-0.12498537,0.120204955,-0.17650607,-0.16711284,0.0815863,0.21282464,-0.028429762,0.08049711,0.1539821,-0.12085944,-0.13145918,0.12666783,0.15508227,0.16048831,-0.1445477,0.15763305,0.14135146,-0.114178084,-0.12616947,-0.16908526,-0.15253116,0.09783443,-0.14003706,-0.16431928,-0.18329218,-0.13605604,0.108119845,0.1051171,0.11654203,0.16460086,0.1494243,0.119963825
CXCR4,0.17899078,0.14304759,0.17354377,-0.14581215,0.060344428,-0.13234973,0.0794248,-0.19224139,-0.17055961,-0.16540879,-0.17053102,-0.17507029,-0.15609764,-0.07798035,0.15015015,-0.17414676,0.15561554,0.16392198,0.17815429,0.12633285,-0.11120424,0.14353076,-0.11372124,0.09688165,-0.152805,-0.18246765,0.1359457,-0.16058052,0.18393862,-0.17149015,-0.22117434,0.14578584,0.14171878,-0.13602482,0.141823,0.16746767,-0.09280263,-0.20448753,0.00018796697,-0.10505395,-0.16221316,0.106313795,0.11720357,-0.14369527,-0.13751583,-0.18173388,0.14929104,-0.16871335,-0.16190103,0.09892312,0.15306738,0.17015187,0.17296262,-0.13451329,0.14128518,0.15727559,0.17697243,0.14258428,-0.12788977,-0.09969309,-0.15124074,-0.15249091,-0.15086427,-0.14324373
ZSWIM8,0.042202726,0.01957868,0.032078598,-0.020977005,0.0038064122,0.0032994524,-0.0010338202,-0.01597838,-0.025117904,-0.00711431,-0.032438923,-0.018002955,-0.016794378,-0.028178578,0.010108009,-0.029796155,0.024203163,0.01992964,0.030058287,0.03312899,-0.005039215,0.02481997,-0.03584298,0.012722373,-0.03455077,-0.022086807,0.013213273,-0.016460346,0.021238752,-0.019699935,-0.028009767,0.007985942,0.02416258,-0.037136897,0.03566545,0.01787329,0.0019293986,-0.012581572,0.004292149,-0.029570147,-0.032646038,0.013073235,0.010720931,-0.019234557,-0.010234326,-0.022478249,0.018140428,-0.029464453,-0.01325549,0.008449689,0.029443946,0.022696733,0.010178812,-0.035303712,0.011254231,0.0403573,0.039901786,0.020252543,-0.013216067,-0.020101301,-0.041684017,-0.023271976,-0.023693299,-0.024085846
ASXL1,-0.058674425,-0.06799395,-0.083284855,0.0712484,-0.029715199,0.07037624,-0.03845323,0.060675878,0.0661809,0.08472866,0.060919933,0.077833354,0.059305355,0.018911589,-0.0742874,0.056243874,-0.07281828,-0.06583398,-0.05386503,-0.042458758,0.050571516,-0.060483165,0.024211034,-0.046884127,0.045076985,0.08171347,-0.059768517,0.056669828,-0.06993878,0.079539984,0.08951001,-0.06744589,-0.052721076,0.051973455,-0.06593523,-0.0850614,0.051410433,0.111035064,-0.013504911,0.02330006,0.070869714,-0.054155648,-0.062010944,0.059904706,0.07491505,0.0731182,-0.07638029,0.073463455,0.06338085,-0.050081335,-0.0543733,-0.083466396,-0.0755942,0.035036795,-0.05777704,-0.061103534,-0.06962979,-0.06586557,0.048454758,0.042548425,0.045983367,0.079623975,0.06691514,0.047552384
GLUD1,-0.013013413,-0.033193186,-0.028452205,0.02793125,-0.01757501,0.029803813,-0.016904913,0.024701484,0.02198968,0.026879845,0.0150934085,0.036241718,0.024638258,-0.0006648246,-0.03883928,0.017755004,-0.02248325,-0.02301684,-0.02451919,-0.009529619,0.027255667,-0.03070328,0.0058337376,-0.01808285,0.020374805,0.040585276,-0.0180492,0.021344282,-0.024824735,0.029552631,0.024243107,-0.035649553,-0.023982741,0.014472425,-0.029881833,-0.021569684,0.015850283,0.04520662,0.003970716,0.0029545948,0.015715014,-0.024994396,-0.02237413,0.030249331,0.036184505,0.027620034,-0.030294642,0.03147934,0.035374347,-0.02786465,-0.013539422,-0.03452859,-0.03351323,0.011088736,-0.02391972,-0.018031988,-0.029186832,-0.02179325,0.023605872,0.0041119307,0.012010656,0.029375726,0.025200762,0.021687683
PIM2,0.031300835,0.018302388,0.030576792,-0.025030427,-0.0019639432,-0.0140858125,0.016657565,-0.021011649,-0.019116715,-0.010155447,-0.025792059,-0.017454708,-0.016334826,-0.0138614755,0.0055227093,-0.01843959,0.020697318,0.0112854615,0.020433992,0.0154797025,-0.004307367,0.007003911,-0.027385224,0.020538883,-0.007680787,-0.009917945,0.021446478,-0.026248008,0.025761884,-0.0045877956,-0.021364598,0.0021174587,0.011303823,-0.029171465,0.021937562,0.030866414,-0.022955123,-0.011881217,0.0034657381,-0.027294237,-0.04335516,0.016458139,0.014333963,-0.0006064526,-0.008632764,-0.027787955,0.005646862,-0.023757339,-0.01067842,0.01327204,0.022327052,0.03286673,0.015205387,-0.018535785,0.00817926,0.03491677,0.029266352,0.019511575,-0.021885987,-0.029336661,-0.028461348,-0.026462108,-0.013051562,-0.0150017515
CHAF1A,0.020035613,-0.008596871,-0.0070647933,-0.00011310354,-0.0009317845,0.025424752,-0.020629413,0.015117742,-0.0054884106,0.021965848,-0.014568154,0.014082499,0.0013341717,-0.014744582,-0.023890894,-0.004585512,-0.009991188,-0.007154705,0.0141750015,0.016090851,-0.0015390366,0.009417683,-0.025913551,-0.010858573,-0.01759591,0.00405588,-0.014663372,0.011286009,-0.0037720539,0.013038807,0.0039079706,-0.0075900815,0.005876884,-0.024084458,0.010427828,-0.020141907,0.023007851,0.027529586,-0.005764276,-0.01949627,-0.00097538903,-0.009407471,-0.008829646,-0.0038108001,0.021234848,-0.00077186525,-0.0065324083,-0.0076121837,0.0008705966,-0.011155296,0.010877069,-0.0065648407,-0.014283731,-0.022710357,-0.013363457,0.0069676675,0.018491395,-0.009015078,5.343929e-05,0.0017070472,-0.020429928,2.4770387e-05,0.003936706,-0.012434315
CD37,0.19046642,0.15040283,0.18006243,-0.16743594,0.06544258,-0.15373892,0.09396094,-0.2042465,-0.17618802,-0.17976567,-0.18992049,-0.19131896,-0.15483291,-0.08630257,0.16633606,-0.1890843,0.16736753,0.1766522,0.19151781,0.14857091,-0.12921588,0.1633662,-0.12324348,0.104066074,-0.17445625,-0.19413616,0.14540628,-0.17559305,0.19458628,-0.17717312,-0.2315486,0.15974502,0.14714722,-0.14539497,0.16153672,0.17636703,-0.106519684,-0.20919964,-0.0076133795,-0.10933531,-0.17566563,0.12871866,0.111199684,-0.15414011,-0.14125575,-0.19328701,0.17209426,-0.17786537,-0.18145156,0.10842614,0.16893692,0.17121121,0.17572609,-0.15830317,0.1564648,0.1652084,0.18730529,0.15021431,-0.14230625,-0.110115275,-0.16829364,-0.17042385,-0.16267085,-0.15509686
EHMT1,0.07074735,0.045189813,0.06206617,-0.048420172,0.017688535,-0.03013613,0.019526858,-0.046925552,-0.050547987,-0.043752797,-0.056329537,-0.048073523,-0.042722233,-0.03638406,0.033143856,-0.049432043,0.04666437,0.046737093,0.059277836,0.055827796,-0.026217103,0.043370605,-0.04784864,0.024506308,-0.047694575,-0.04649946,0.038843747,-0.04009076,0.048367284,-0.04993021,-0.068053976,0.03629454,0.049354885,-0.05938132,0.05642722,0.051791437,-0.028933175,-0.053347915,0.012248937,-0.04567395,-0.061671626,0.030863278,0.03420704,-0.039890077,-0.03622883,-0.057810977,0.048915856,-0.055922747,-0.036063418,0.02727633,0.052092887,0.057829052,0.04589777,-0.051640514,0.029437508,0.059578784,0.066084355,0.043823257,-0.0327243,-0.041019697,-0.062880725,-0.050014153,-0.04573784,-0.04086473
