,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
CPSF3,0.4771075,0.5432078,0.47621408,0.53260916,0.5322138,0.43109205,0.40872148,0.4559053,0.4599202,0.47483274,0.5191762,0.50028235,0.4210483,0.50382805,0.50129366,0.53261876,0.53435266,0.46596456,0.5423217,0.45356977,0.45908517,0.5196356,0.39538902,0.5357314,0.5416565,0.43327594,0.477269,0.45666063,0.49766585,0.44547293,0.48309803,0.47088605,0.45428663,0.4915396,0.52641004,0.50625074,0.44897127,0.482445,0.5059908,0.547681,0.52880406,0.44946736,0.4889809,0.56940734,0.4615709,0.49586114,0.45993605,0.5498793,0.5403929,0.5046015,0.5393825,0.5246862,0.5004496,0.4394906,0.46043378,0.4450073,0.4563815,0.5000934,0.5578277,0.55468214,0.4493255,0.50448203,0.5665591,0.46645203,0.4821798,0.49974144,0.41618854,0.43332925,0.55187976,0.49287093,0.4259452,0.48528233,0.48042408,0.49009493,0.47064686,0.48031846,0.5168633,0.47468668,0.4867397,0.50112313,0.5566313,0.4682695,0.44962844,0.50579625,0.4356124,0.5181201,0.47693032,0.4384603,0.510352,0.4941115,0.48769093,0.5190687,0.50193304,0.49096635,0.47941545,0.45980072,0.4913471,0.52405167,0.45753303,0.5874511,0.46387315,0.5495577,0.4848445,0.5417282,0.586608,0.42861274,0.48166642,0.5024854,0.48510092,0.45747417,0.53652835,0.51936483,0.47902587,0.4566163,0.5170591,0.4843637,0.45699722,0.5147311,0.48696628,0.3887874,0.4916549,0.49251148,0.44827947,0.5319156,0.47397935,0.5787308,0.48201388,0.4653224
LGALS3,0.5347112,0.49745598,0.527447,0.5393518,0.51604176,0.41706994,0.47632563,0.45420924,0.5011769,0.5217635,0.4952003,0.51768404,0.4930708,0.54617697,0.5442359,0.49262485,0.48477653,0.45507318,0.49712902,0.46420142,0.49042743,0.4512208,0.40590245,0.49091348,0.49879235,0.48503867,0.52204007,0.4527597,0.45868555,0.47687548,0.48406687,0.41281983,0.48642796,0.5154443,0.5292798,0.5149102,0.4499922,0.48098135,0.5109318,0.48757964,0.49108306,0.48184177,0.4804614,0.5770441,0.4636109,0.47532704,0.4718975,0.5420579,0.52019787,0.50933117,0.45796135,0.4681625,0.45709056,0.45480785,0.5074298,0.46630824,0.449115,0.5544708,0.54120946,0.52398205,0.43993065,0.5306471,0.5648756,0.51773244,0.4888868,0.5465366,0.4989339,0.48424962,0.45671266,0.50588363,0.49082386,0.47961876,0.49760085,0.5139765,0.48153636,0.52252835,0.45367506,0.5095556,0.5015451,0.47967148,0.50726426,0.44378674,0.47641996,0.47278878,0.48014608,0.4786316,0.51530045,0.5214721,0.46166965,0.51807374,0.4767973,0.51024115,0.47275072,0.55460864,0.524981,0.44525832,0.5140892,0.56485856,0.455564,0.5274199,0.46899983,0.54078,0.44973546,0.52443427,0.51191235,0.5010643,0.50200385,0.48820302,0.49284926,0.5157027,0.5635806,0.5286338,0.5305368,0.510273,0.513558,0.47167972,0.47239643,0.48686823,0.5147401,0.43568558,0.43185744,0.4586767,0.45885897,0.46300685,0.5377278,0.52308184,0.453164,0.46705776
PPARA,0.56002563,0.45629814,0.45690334,0.44254655,0.5274967,0.4926978,0.4085227,0.5157539,0.55639184,0.47246423,0.6072392,0.46393585,0.5341012,0.6249705,0.5003022,0.6256841,0.36350557,0.5114753,0.6482422,0.35420653,0.53898615,0.474949,0.34848022,0.5237065,0.60128385,0.4711409,0.524832,0.5611808,0.5069877,0.38588566,0.6100374,0.42629957,0.5872985,0.45766982,0.5579998,0.5429262,0.56306267,0.5862766,0.52701217,0.44921353,0.55770653,0.4681568,0.4654532,0.6000082,0.433299,0.42145398,0.5003188,0.6405697,0.60185415,0.43128586,0.5315071,0.4696631,0.40360692,0.48631147,0.54833484,0.44981742,0.4152966,0.48676348,0.58964163,0.529869,0.49733824,0.5684502,0.7755203,0.36392844,0.50890243,0.58096087,0.57954454,0.4792252,0.4659741,0.43486875,0.5114854,0.48242074,0.5627404,0.5289872,0.44000402,0.5869095,0.535334,0.44812778,0.5469468,0.39435428,0.63141763,0.4081417,0.48846075,0.43789685,0.32582355,0.6004903,0.6136142,0.45327705,0.51030123,0.54020756,0.49073493,0.61776495,0.37545103,0.5776083,0.49164683,0.6480895,0.5882913,0.6902976,0.58258706,0.47435716,0.5166979,0.62358105,0.44549146,0.6823208,0.5300921,0.4985521,0.55333304,0.6127355,0.513274,0.47155666,0.62701976,0.5599049,0.526497,0.5706063,0.4952976,0.6007642,0.47061336,0.61574,0.515552,0.32738018,0.53499603,0.57697475,0.4237537,0.5826761,0.54859316,0.51466185,0.45563558,0.614672
HMGA1,0.5757335,0.48265803,0.4500043,0.4554712,0.49554735,0.5089699,0.39424047,0.5547983,0.5623051,0.4297935,0.5848824,0.45465794,0.5126669,0.6362753,0.47931737,0.6132896,0.35457993,0.5092907,0.65148455,0.33636916,0.5540428,0.5102546,0.32947078,0.4927715,0.6176702,0.4724199,0.534167,0.58017594,0.4965127,0.39932385,0.6216997,0.40836644,0.58388823,0.4555768,0.5394328,0.5789743,0.54538155,0.59941095,0.5189135,0.40229625,0.5691616,0.4906718,0.46688616,0.5891663,0.41681558,0.4381526,0.50889295,0.61021835,0.5873514,0.3979436,0.54178727,0.49711025,0.4153151,0.45727354,0.54884887,0.45607105,0.42443636,0.48275223,0.65944266,0.52459824,0.47608045,0.54885346,0.75045615,0.3647103,0.48074126,0.57395303,0.577205,0.46081778,0.45871192,0.44923288,0.51291865,0.49255052,0.56525326,0.49654275,0.409562,0.62141144,0.5142722,0.48641166,0.5390622,0.37156293,0.6220077,0.42415142,0.5118538,0.45728624,0.32042718,0.5924031,0.55379003,0.39687034,0.4932586,0.5572867,0.5273875,0.6009133,0.36480248,0.5893722,0.4837405,0.64480233,0.5902476,0.7142602,0.60788363,0.46477023,0.5368326,0.6172486,0.43262348,0.6352828,0.55938154,0.5067182,0.5518272,0.6445619,0.49999553,0.4538539,0.634696,0.5336636,0.536018,0.56254214,0.49244943,0.5777563,0.48121765,0.59788615,0.5124975,0.32914674,0.5433983,0.56251985,0.40159732,0.59574896,0.5264213,0.53394943,0.45349827,0.6213247
TAF5,0.55452985,0.4566629,0.4593008,0.44143292,0.53314096,0.4904851,0.41336107,0.50662684,0.5551797,0.48143467,0.6109334,0.46425465,0.536465,0.6193023,0.504276,0.6248537,0.36942473,0.5116441,0.6504619,0.3622226,0.5371166,0.4659916,0.34671152,0.52941513,0.59727126,0.4747013,0.52356803,0.5553986,0.5066472,0.38533965,0.60622376,0.424979,0.5809512,0.4595862,0.56283915,0.5413636,0.5633244,0.5869535,0.5267754,0.45499223,0.55542636,0.46417636,0.45594385,0.6012267,0.43578306,0.41753063,0.49801975,0.64444005,0.6011826,0.43360522,0.52800584,0.46752343,0.40002725,0.4888579,0.5463788,0.44780943,0.41115803,0.49082133,0.5804335,0.5310985,0.4998234,0.56622756,0.7752199,0.3707721,0.5161862,0.5837761,0.58271164,0.4808623,0.46334085,0.43573943,0.5128314,0.4842683,0.5622161,0.5332603,0.44520524,0.581409,0.5380426,0.44536313,0.54826105,0.39996558,0.6336407,0.40728277,0.48802802,0.43421513,0.3297342,0.60082114,0.6216198,0.46230963,0.5183574,0.53855,0.48361737,0.61844784,0.37669107,0.57592964,0.49462613,0.6432047,0.5913854,0.6849088,0.57910526,0.4806566,0.5119588,0.62396735,0.44854704,0.6887748,0.5299403,0.49952635,0.55378383,0.609171,0.5158365,0.4774061,0.6217785,0.5659416,0.52430236,0.56987995,0.49357608,0.6024056,0.47183833,0.61214256,0.5114165,0.3277252,0.5288468,0.5788028,0.4275495,0.5750449,0.55568033,0.5136402,0.4510403,0.616506
WFDC2,0.48939872,0.5302429,0.4888039,0.5317898,0.52963674,0.42638543,0.41778874,0.46094516,0.46975085,0.48796272,0.51428556,0.50022066,0.4334491,0.5116181,0.5086764,0.5254198,0.5305767,0.4616279,0.5378258,0.45528165,0.46950802,0.51189023,0.39960083,0.5286172,0.53765243,0.44209212,0.4863255,0.45429775,0.49018198,0.45164186,0.4815217,0.46070775,0.45522645,0.4953979,0.52837205,0.5025836,0.4504261,0.4849582,0.5078627,0.5372467,0.52153164,0.4551384,0.48417798,0.5724535,0.46328413,0.4961637,0.46201354,0.5449633,0.54047835,0.50276047,0.5227104,0.5155126,0.49468285,0.4407659,0.46605423,0.45039076,0.4514365,0.50810665,0.5566657,0.5559446,0.44818002,0.5068317,0.567251,0.47841147,0.4813909,0.5103615,0.42422044,0.44171864,0.53573185,0.49451837,0.4366367,0.48729846,0.481996,0.4951276,0.47180086,0.49174494,0.51074725,0.48216885,0.48845348,0.50137186,0.5517575,0.46241054,0.45406973,0.5046938,0.4449142,0.513045,0.48158854,0.4509062,0.49829197,0.49927312,0.48333827,0.5165789,0.4993635,0.5016346,0.48683324,0.46155214,0.49535552,0.52927125,0.4584282,0.5750184,0.46637106,0.55230224,0.47868204,0.5394728,0.576839,0.43559915,0.49081728,0.49521235,0.48519248,0.4677053,0.5474431,0.51952755,0.48927784,0.46654645,0.519014,0.48317432,0.45836434,0.5124378,0.4919565,0.39998192,0.478537,0.48479614,0.44889632,0.52411735,0.4788357,0.5673849,0.47792116,0.46338856
ZNF397,0.5589248,0.46619907,0.45646256,0.45141795,0.51877147,0.48707226,0.40829068,0.5283718,0.55379725,0.4606502,0.58954257,0.47128886,0.5284028,0.62004995,0.4958884,0.60837483,0.37702104,0.50940955,0.6244408,0.3560192,0.53530633,0.48515075,0.36296365,0.5072523,0.5949615,0.47227436,0.5185693,0.5521228,0.5049652,0.39725688,0.6015725,0.42920002,0.5842658,0.46412647,0.54410404,0.5395029,0.55092543,0.57177734,0.53035456,0.4379522,0.55788875,0.4785892,0.47189355,0.58849764,0.43078583,0.44097364,0.50585514,0.6132341,0.58293587,0.42787609,0.52990395,0.47952554,0.41716543,0.47300097,0.5389173,0.4586011,0.4230489,0.4821171,0.60200995,0.52476156,0.4933021,0.5574424,0.7478116,0.38071758,0.4926978,0.57007706,0.56111443,0.4777878,0.46790478,0.44753143,0.50340384,0.47994477,0.5537933,0.51461214,0.438327,0.5945692,0.5180727,0.46420908,0.5365884,0.4026428,0.61192495,0.42261386,0.4960021,0.45050827,0.33965546,0.5821658,0.5800544,0.437177,0.4952967,0.5417088,0.50209486,0.5997103,0.39015505,0.57601064,0.49221322,0.63188034,0.5826548,0.67784643,0.56864715,0.476936,0.5251218,0.6135133,0.44552052,0.64607596,0.53273076,0.5048583,0.5466741,0.60552144,0.50678474,0.47467563,0.6259445,0.54603964,0.53706056,0.5646515,0.5065896,0.57366365,0.474164,0.6018592,0.5184624,0.344707,0.53289884,0.5541493,0.42366907,0.5807145,0.52890694,0.5196442,0.46617654,0.5943066
SMOX,0.51957643,0.50152713,0.50668395,0.5127374,0.51918787,0.42825752,0.4719291,0.47250223,0.49641106,0.50830835,0.5191187,0.51249605,0.5011698,0.52470624,0.53621095,0.5037135,0.48641527,0.47845772,0.4982302,0.4678465,0.4869396,0.46664545,0.42449933,0.48642582,0.50466275,0.47561705,0.5110628,0.4572969,0.47001427,0.46518663,0.48444024,0.43089283,0.50592417,0.51399153,0.52022207,0.507169,0.4688671,0.4818776,0.5007474,0.48411766,0.5149717,0.4817686,0.48727322,0.5602844,0.46660677,0.47287503,0.48495522,0.533837,0.52241236,0.4993965,0.4742008,0.4888087,0.46581227,0.4531186,0.49894875,0.47561002,0.45421723,0.5251059,0.5337555,0.52132463,0.45872417,0.5182647,0.56362516,0.5049184,0.48096475,0.5393749,0.4883751,0.4759604,0.46494788,0.50267684,0.4898035,0.47408265,0.505443,0.50026286,0.48530582,0.5185105,0.4635174,0.50602823,0.49169755,0.48922402,0.5253956,0.45197865,0.4820895,0.47077072,0.46943673,0.47948933,0.51130354,0.4932174,0.471987,0.5163786,0.47445026,0.51636857,0.47756752,0.5343956,0.5030525,0.46776262,0.51834315,0.54819345,0.45794106,0.5405149,0.47791353,0.5399268,0.469124,0.52111036,0.511486,0.4996355,0.49374664,0.49923834,0.50548506,0.5161863,0.556455,0.5276273,0.53315574,0.5072749,0.51838195,0.47611752,0.48616654,0.5018228,0.5093686,0.43660894,0.44999987,0.470336,0.46413255,0.4729948,0.5275378,0.52389634,0.4696117,0.48348847
CHD8,0.5514202,0.47234854,0.46113113,0.45746973,0.516498,0.48133963,0.4151769,0.52401406,0.5492367,0.46309006,0.5811783,0.47571176,0.5262665,0.60527265,0.501002,0.5937853,0.3937183,0.50545245,0.60670453,0.3703219,0.52916557,0.48605853,0.37167552,0.5018221,0.58585286,0.47313416,0.5164499,0.53776556,0.49999666,0.40366486,0.5841522,0.4305481,0.5743449,0.47239462,0.5372968,0.5374509,0.54057443,0.5590064,0.5289126,0.43923286,0.5540321,0.48116884,0.47419044,0.5831229,0.43962926,0.44801334,0.5040741,0.5951893,0.57154816,0.4355075,0.5229267,0.48246413,0.4289701,0.4655187,0.53035265,0.4640876,0.42861572,0.48644355,0.5918705,0.52114314,0.4888194,0.54672486,0.72336054,0.39823577,0.48702052,0.5661512,0.5503754,0.47633132,0.468175,0.4554978,0.50319004,0.47691014,0.5477868,0.5091112,0.44373518,0.5878083,0.5124519,0.47180638,0.5285327,0.41583526,0.6011795,0.42647925,0.49759176,0.45334965,0.35627374,0.5689649,0.56765246,0.44115573,0.49332345,0.53973573,0.49945903,0.58937174,0.40314457,0.5691858,0.4932547,0.6104129,0.5747403,0.65973324,0.55294687,0.48339,0.5210077,0.6029258,0.4521534,0.62712795,0.52827764,0.5070824,0.53820366,0.5928864,0.50662553,0.4776609,0.61713797,0.5414965,0.53809613,0.5545686,0.50760955,0.5589232,0.47447792,0.5903627,0.51891804,0.35846338,0.52464694,0.5419175,0.43212074,0.5670921,0.525129,0.51773775,0.46921316,0.5792343
HIST1H1C,0.5517453,0.46898547,0.45410067,0.45717058,0.5148779,0.48994425,0.4114704,0.52842355,0.5540762,0.4566357,0.58384144,0.4748734,0.5278039,0.6171389,0.49982435,0.60219157,0.37837142,0.50493723,0.61409926,0.36255535,0.53216267,0.48409134,0.36335585,0.5004955,0.5900296,0.469466,0.5196014,0.5499111,0.5016772,0.39962682,0.5919653,0.42792812,0.58441544,0.46807438,0.54408747,0.54114753,0.544116,0.5639527,0.5291518,0.4394824,0.55783284,0.48129693,0.4739477,0.58538616,0.43649825,0.4390574,0.5034597,0.600336,0.5751407,0.4302409,0.5275804,0.4841163,0.4245583,0.46448055,0.5372995,0.46234265,0.42848697,0.4853568,0.6005924,0.51946056,0.4902073,0.5537626,0.73523104,0.38293844,0.48736188,0.56773835,0.5596421,0.4796915,0.4640222,0.4532869,0.50732857,0.47552252,0.55253136,0.51012754,0.4418992,0.59331334,0.5156287,0.47303644,0.53248054,0.40273753,0.6095004,0.42200345,0.5010372,0.45447418,0.34686616,0.5732982,0.57215106,0.4372683,0.49900237,0.5403464,0.5054388,0.5957933,0.39399472,0.57240516,0.49434,0.62133646,0.57953805,0.67522454,0.5656781,0.47676036,0.5221881,0.60746896,0.44640547,0.6330228,0.5257112,0.50659037,0.5432588,0.60229903,0.5068545,0.47901794,0.6208396,0.5459184,0.53493863,0.55791754,0.50150555,0.56625247,0.47341344,0.5977903,0.5204366,0.3491324,0.52945006,0.549806,0.42599347,0.57701457,0.52840817,0.51594776,0.46464047,0.5909483
