,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
STAT1,0.4411728,0.5050975,0.5067908,0.52502733,0.4860893,0.50343543,0.46616483,0.48136172,0.47022852,0.49959776,0.4146653,0.4738206,0.46803614,0.39485154,0.54611117,0.470655,0.47924474,0.48195058,0.5242462,0.45123172,0.43190774,0.34525043,0.49620783,0.38576832,0.46487382,0.5370715,0.4711347,0.37942418,0.3068699,0.4465811,0.3197572,0.42091274,0.418246,0.41751572,0.5202261,0.53585184,0.49651617,0.45894462,0.46753696,0.49708608,0.51410866,0.45615953,0.47807598,0.38399363,0.4785537,0.4565851,0.47799295,0.50258857,0.32519865,0.4597742,0.5054928,0.5320001,0.46215984,0.5019241,0.4089087,0.4902765,0.52917093,0.48311913,0.398273,0.4811978,0.4552459,0.4916711,0.49573943,0.4650907,0.48961562,0.49056527,0.5025025,0.39298096,0.52699894,0.3511668,0.48391867,0.42761207,0.4169707,0.4513243,0.49165708,0.38114917,0.51332384,0.5208837,0.48394802,0.4702027,0.46484986,0.50599366,0.50344175,0.47829732,0.5239266,0.57970524,0.52763784,0.50386024,0.50912523,0.46718356,0.5479514,0.44959292,0.4589359,0.43520755,0.4490606,0.47066242,0.5460005,0.43359938,0.46151057,0.39747772,0.47654477,0.4223315,0.48680803,0.4200474,0.5298147,0.33087274,0.60090953,0.52240103,0.5508729,0.4771602,0.4902596,0.46776733,0.44035047,0.34046492,0.53672814,0.2839836,0.49757814,0.54197115,0.44960088,0.46551085,0.50790906,0.592248,0.40486297,0.46274439,0.41796055,0.5092708,0.34083915,0.46135026
CYBA,0.4481005,0.50690174,0.5126725,0.51579744,0.47837833,0.49652117,0.46857658,0.5071856,0.46174875,0.51368517,0.4339443,0.48608783,0.48752394,0.43616265,0.5397706,0.45514178,0.4909643,0.47302648,0.5357688,0.48563588,0.4659352,0.4190323,0.4937193,0.47357172,0.486179,0.53559387,0.48927054,0.43806663,0.3985311,0.45813963,0.41419196,0.41930893,0.43762785,0.4422025,0.52540106,0.5058192,0.5030072,0.48314852,0.4956249,0.5072401,0.50979334,0.50668156,0.4861951,0.44532168,0.49068722,0.4842824,0.50563926,0.5036485,0.3367262,0.4503994,0.51049966,0.5155545,0.46691272,0.4814019,0.42193973,0.48920953,0.5505308,0.47189653,0.4303478,0.5070182,0.47788948,0.5184515,0.4921165,0.47639382,0.5046017,0.4961563,0.5159571,0.46993276,0.51611567,0.41435373,0.49101126,0.48156577,0.4937063,0.46086916,0.50413775,0.42348853,0.5001894,0.5471216,0.4885684,0.4963012,0.46657696,0.49847,0.50851715,0.5183824,0.49250066,0.564274,0.5093369,0.496524,0.4835752,0.45271456,0.5097017,0.47137275,0.44877294,0.43554404,0.47016376,0.49109456,0.5122344,0.4530646,0.45295456,0.45334113,0.46697146,0.44979846,0.4828903,0.50946283,0.5092594,0.37392512,0.54782116,0.4978806,0.5296396,0.49935663,0.4910762,0.49700022,0.47219738,0.4204972,0.4987328,0.35881817,0.5059082,0.536425,0.47241613,0.4736567,0.4961353,0.53494155,0.45788595,0.48746967,0.4181954,0.5057761,0.416318,0.47918183
ATP5L,0.44119796,0.50345975,0.5124196,0.5178283,0.47547722,0.4957055,0.4691016,0.5106655,0.45743343,0.50512475,0.42743123,0.48902634,0.48325437,0.44043428,0.53275204,0.44802994,0.4900844,0.47728768,0.53053933,0.4827645,0.46334577,0.4188181,0.49253947,0.47046545,0.4892742,0.5341637,0.4858223,0.4388988,0.40105554,0.45958096,0.41605383,0.4160739,0.43589476,0.4411315,0.52292037,0.5028324,0.50159746,0.48039487,0.49955288,0.49899197,0.50573754,0.50532985,0.48524103,0.4455024,0.4834314,0.4874995,0.5025231,0.49729908,0.34123084,0.44726744,0.5093867,0.5177221,0.4632277,0.47827965,0.42530704,0.48750162,0.54506636,0.46558744,0.42382345,0.50287074,0.47594723,0.5162935,0.48574162,0.46948344,0.50074637,0.49227014,0.5138851,0.46928072,0.5195038,0.41646293,0.4848478,0.48054698,0.501991,0.45896795,0.49893048,0.41722015,0.49596217,0.54664576,0.4871727,0.4981421,0.46392745,0.4959526,0.5063315,0.5114326,0.4947286,0.56325215,0.504323,0.49310467,0.47955954,0.4535273,0.50681454,0.46841457,0.45044866,0.43194196,0.474028,0.49156293,0.5085638,0.44839138,0.447181,0.4526215,0.4693308,0.44658563,0.4812918,0.5087917,0.5102449,0.3642609,0.55379605,0.4976093,0.5262834,0.49583524,0.4948312,0.4986132,0.46570742,0.42002872,0.4982967,0.36256856,0.5068982,0.53349525,0.464858,0.47011673,0.49662918,0.52946365,0.4599193,0.48390415,0.42241928,0.5041543,0.41566637,0.4774021
RLIM,0.49304718,0.4939338,0.4235419,0.4622158,0.4772637,0.4542288,0.48760113,0.5454527,0.5194882,0.5439658,0.41567478,0.42388433,0.49868494,0.36851257,0.52884334,0.5310089,0.49547923,0.38566047,0.5780933,0.44134054,0.49178416,0.44098935,0.5081432,0.47183654,0.44415244,0.51499295,0.5718534,0.4431115,0.3278877,0.46815985,0.4727058,0.40738797,0.3924327,0.4134943,0.5593388,0.5022399,0.54969484,0.51219696,0.44307312,0.5571304,0.51386195,0.47313607,0.43101647,0.40973148,0.541059,0.4115833,0.5492407,0.5122809,0.28665704,0.459473,0.4653014,0.47351843,0.52062696,0.5328719,0.3666508,0.44382563,0.52126503,0.46782014,0.44293526,0.5425656,0.5393979,0.5349318,0.46871284,0.51187533,0.45052564,0.52787465,0.5218411,0.49597222,0.5432651,0.43495563,0.5384496,0.49336007,0.45928058,0.44538674,0.5776569,0.43010396,0.51667535,0.47356376,0.45242396,0.47032034,0.47462836,0.51778615,0.5503927,0.5476144,0.4317033,0.53322405,0.48863545,0.44851595,0.46573642,0.42472854,0.47396752,0.3914132,0.37615848,0.41494426,0.42259625,0.424719,0.52006686,0.4233469,0.453762,0.50963545,0.40724525,0.5249531,0.4361531,0.5706343,0.47065815,0.37445,0.44474548,0.43817252,0.4644052,0.5344983,0.4233473,0.40257528,0.50642425,0.46788368,0.46269003,0.30285645,0.5192708,0.55651075,0.4530763,0.46077207,0.4416061,0.5177193,0.42976338,0.5422689,0.3399132,0.44333914,0.46142593,0.4929365
MYD88,0.44185555,0.50016433,0.501023,0.50905246,0.47374842,0.49052286,0.46754634,0.50720894,0.46445122,0.5003547,0.41977486,0.48161995,0.47921672,0.4345772,0.52008814,0.45672104,0.4881367,0.47100762,0.5229177,0.46885923,0.46367213,0.41557708,0.48984703,0.45909125,0.48498225,0.5291552,0.48922968,0.4362023,0.38064826,0.46327156,0.4205455,0.41829857,0.4305396,0.43640453,0.5187955,0.50154585,0.5016308,0.47979417,0.49237052,0.49671805,0.50176406,0.48814642,0.47868198,0.43959308,0.4871113,0.47945675,0.49976158,0.4876933,0.35171157,0.44425926,0.49739373,0.5169871,0.4611766,0.47733027,0.41915235,0.48505667,0.53308946,0.46185786,0.41869056,0.49518615,0.4779852,0.51102024,0.47943187,0.46656772,0.4856554,0.48988098,0.5054777,0.4615324,0.5185553,0.42327818,0.48357692,0.47407627,0.48688054,0.45181602,0.50167346,0.42259946,0.49014884,0.52541363,0.4798731,0.49292874,0.4557841,0.49697694,0.50513244,0.5045351,0.4946956,0.5540412,0.49597847,0.48320863,0.4779259,0.45781928,0.5029619,0.46035925,0.44291058,0.4357025,0.467074,0.47533056,0.5075765,0.44697002,0.45197737,0.4511687,0.46773842,0.45389345,0.47424915,0.50340605,0.502026,0.3653888,0.5418343,0.49065897,0.5120968,0.49091372,0.48775548,0.48026186,0.45808303,0.42630538,0.49925497,0.35342824,0.50552833,0.53237826,0.4595594,0.46741837,0.48937088,0.5254966,0.4525506,0.48676747,0.41735506,0.49371618,0.42011052,0.4735227
GPR171,0.49486086,0.49862224,0.42677042,0.46304724,0.47764608,0.45737535,0.4811617,0.54052746,0.5153081,0.5477238,0.42233518,0.42198664,0.50028527,0.3664244,0.53794897,0.5356653,0.4981226,0.39074096,0.5755759,0.4480349,0.48973837,0.44172063,0.506934,0.47701204,0.44396308,0.5158972,0.5632764,0.4366007,0.32817078,0.46533504,0.46546695,0.40884268,0.39583007,0.4152446,0.5554599,0.5035328,0.55137354,0.5077231,0.44138473,0.5627442,0.5143414,0.4733349,0.43665168,0.4087483,0.5422706,0.41374016,0.5463665,0.5194347,0.28168577,0.4603251,0.46875632,0.47628903,0.5222034,0.5311738,0.36825216,0.4460934,0.5274811,0.46950457,0.4463821,0.5464553,0.5330584,0.53427947,0.47483534,0.51769596,0.4583957,0.5272511,0.5248224,0.49535552,0.54263365,0.42226216,0.53744465,0.48490444,0.4560644,0.44354543,0.57709223,0.43732065,0.51878184,0.4794572,0.45906428,0.47734675,0.47693774,0.5203149,0.54596686,0.54697835,0.43251124,0.53779244,0.4959946,0.4566901,0.46881825,0.42109022,0.47787282,0.3982384,0.38506588,0.4267843,0.42361644,0.42836428,0.52088845,0.42958364,0.46315804,0.5008088,0.41297022,0.5228614,0.44170868,0.56969154,0.47230923,0.3823648,0.45024836,0.44262025,0.47658128,0.5343791,0.4240849,0.4080264,0.5080768,0.46441916,0.46357682,0.29338908,0.5195439,0.5589381,0.46532926,0.46386957,0.44157124,0.5227704,0.4312096,0.54115117,0.3387582,0.44513267,0.4581135,0.48849598
LYZ1,0.4446057,0.5093257,0.51642406,0.523412,0.48002127,0.49937683,0.46956807,0.5063412,0.4567455,0.51477534,0.43111092,0.4882059,0.48709682,0.4346474,0.5428665,0.4501495,0.49159935,0.47644234,0.53835356,0.48896608,0.46319988,0.4154178,0.49334723,0.47207132,0.48766,0.53729075,0.4874827,0.43606788,0.39746687,0.45273694,0.40625513,0.41873798,0.43642822,0.4423163,0.5252239,0.51120716,0.50257105,0.47773042,0.49720687,0.50701946,0.50908285,0.507023,0.48833746,0.44143468,0.48856378,0.4877931,0.5020322,0.50817996,0.3310024,0.45121798,0.5173567,0.51897097,0.46471173,0.4822345,0.42124537,0.49021,0.5536353,0.47164795,0.42574713,0.50747967,0.47424367,0.516708,0.49029815,0.47528988,0.5071278,0.49667168,0.52045465,0.4690331,0.5195247,0.4078668,0.49042684,0.47859514,0.50063396,0.46046183,0.5000396,0.41306344,0.5049996,0.5581394,0.48753244,0.49837404,0.4690371,0.49971014,0.5062133,0.5168985,0.4975903,0.56975156,0.517187,0.4994275,0.4828165,0.45131713,0.5135318,0.47004098,0.45212832,0.43361625,0.47077858,0.49528146,0.51602644,0.45081866,0.4492804,0.4495972,0.46834835,0.44143078,0.4867742,0.5034234,0.5164201,0.36276028,0.56485444,0.50515825,0.53808016,0.5011693,0.49737698,0.5030641,0.4720638,0.41041642,0.49969083,0.3562688,0.508014,0.5371498,0.46937993,0.471167,0.49975944,0.54182965,0.45680708,0.48522833,0.42020148,0.5117588,0.40471458,0.4746856
CD274,0.3584306,0.51294106,0.5487723,0.60355985,0.4917047,0.5331238,0.46070758,0.52748907,0.36940077,0.4655219,0.3077976,0.498105,0.45515916,0.42112467,0.51762694,0.3256497,0.50789917,0.54763365,0.51643527,0.44620112,0.37965274,0.37249148,0.47705752,0.4290012,0.52137876,0.5433199,0.40045446,0.42785215,0.34855506,0.45409492,0.3369474,0.3613338,0.39809358,0.42945507,0.5082337,0.53643316,0.48340628,0.42656115,0.538115,0.44399738,0.48099744,0.5034858,0.49218822,0.4298042,0.40205517,0.5299478,0.4919345,0.47389293,0.27943873,0.41371506,0.5439828,0.5635778,0.39640775,0.44524443,0.41937643,0.4939916,0.554103,0.44738814,0.3166098,0.46092397,0.39494514,0.4932537,0.43677545,0.4051388,0.4873707,0.47931343,0.5468519,0.46222627,0.5837479,0.33667442,0.4215925,0.42669567,0.59906673,0.4421749,0.4125145,0.2620174,0.5141897,0.59258384,0.45629275,0.53111845,0.3965399,0.48627728,0.47733343,0.47466788,0.5531238,0.63421965,0.5335157,0.51521343,0.45690224,0.4542527,0.53650415,0.4390454,0.4664706,0.40267354,0.49780202,0.5265265,0.50784355,0.41215566,0.38079473,0.3991042,0.5044921,0.33610177,0.5108455,0.42812616,0.54548293,0.20078093,0.73807627,0.5797815,0.57748675,0.4598222,0.5784578,0.5543062,0.41526413,0.31486723,0.51451993,0.33979824,0.51684046,0.54021966,0.38297397,0.40926552,0.53378177,0.54784817,0.42718005,0.42039293,0.45459056,0.5545898,0.30632225,0.47774184
NHP2,0.49183917,0.49487382,0.4314761,0.46271396,0.47774348,0.4584113,0.48545304,0.53883976,0.5167619,0.5417126,0.42060986,0.42831418,0.50011235,0.37177292,0.53001213,0.5299701,0.496235,0.39431772,0.5707512,0.44564,0.490237,0.4389261,0.50892437,0.47237834,0.44698024,0.51856846,0.5643005,0.4393772,0.33038616,0.46641013,0.46876863,0.41178876,0.3964142,0.41695076,0.5554498,0.5024563,0.544106,0.509771,0.44543973,0.55523115,0.5152693,0.47317344,0.4371182,0.4123477,0.5385806,0.4174226,0.540841,0.5136896,0.2940501,0.45807144,0.46756402,0.47779268,0.51650625,0.5285684,0.3719677,0.44719172,0.5242267,0.4704699,0.44624704,0.5397196,0.5332417,0.53317726,0.47292057,0.51142716,0.45535293,0.5259908,0.51943004,0.49122626,0.53979725,0.42946616,0.5352176,0.49051437,0.4569998,0.44604266,0.572723,0.43303338,0.5169395,0.47827813,0.45850772,0.47357157,0.47530487,0.518462,0.5468956,0.54616386,0.43464002,0.5371771,0.49285373,0.45407063,0.46865314,0.42798138,0.4763998,0.3988936,0.3843568,0.42177063,0.42468622,0.42956126,0.52135867,0.4277153,0.45780984,0.5031305,0.4162351,0.5200682,0.4405602,0.56464565,0.47455758,0.3786471,0.45151687,0.44449922,0.47118306,0.5312024,0.42732888,0.4090307,0.50491726,0.46442553,0.46561086,0.30423534,0.5195939,0.55668604,0.46129936,0.46141964,0.4433609,0.52175045,0.4304419,0.53883886,0.3455825,0.44823402,0.45888567,0.48909932
SNX10,0.38921523,0.50305885,0.5300759,0.5648014,0.47858045,0.51212513,0.46096647,0.5210506,0.41167834,0.46602538,0.34496012,0.49671063,0.45467725,0.4342659,0.5060456,0.36779574,0.49471056,0.5184367,0.5075018,0.4539087,0.4175307,0.39272687,0.48098338,0.43763894,0.5114379,0.53739583,0.4335629,0.43815356,0.3626165,0.45943496,0.379409,0.38367426,0.41020793,0.43867242,0.50710857,0.51464856,0.48733938,0.4495414,0.52518076,0.45812503,0.48462856,0.49377364,0.48636425,0.44067016,0.43304437,0.5121231,0.49718967,0.46635547,0.32283002,0.42079967,0.51978093,0.5464961,0.4170873,0.4513254,0.42254335,0.493483,0.53717864,0.4459424,0.35675547,0.4642636,0.43161914,0.49446058,0.44938856,0.4204372,0.48071337,0.4782231,0.51753277,0.46329427,0.55288756,0.38200685,0.4389045,0.44711095,0.56340146,0.442851,0.4416965,0.32418394,0.48978382,0.5548985,0.46218368,0.51650923,0.4156153,0.48235497,0.48358658,0.48061213,0.53211457,0.5926165,0.5075059,0.49605915,0.46097726,0.46403635,0.5228486,0.44311106,0.45521218,0.4143309,0.49079016,0.5012073,0.50089717,0.42568776,0.40935934,0.41851786,0.4896067,0.3885127,0.4928224,0.45888877,0.52293503,0.26006046,0.6567985,0.5373931,0.5384003,0.46806788,0.54476464,0.5189374,0.4265045,0.36876166,0.509627,0.3567176,0.50918543,0.52615845,0.41019383,0.43452838,0.5135238,0.5295324,0.43608102,0.4419566,0.4489286,0.523339,0.36113784,0.47257984
