,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
STAT1,0.0,0.0,0.21861397,0.30051705,0.5047472,0.20064953,0.0,0.45103484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31409132,0.4572065,0.0,0.0,0.0,0.0,0.4163036,0.19323362,0.0,0.0,0.0,0.0,0.3528625,0.0,0.0,0.18619661,0.0,0.14533633,0.0,0.0,0.22855575,0.0,0.0,0.0,0.0,0.0,0.0,0.19911462,0.0,0.00030216575,0.0,0.41500556,0.0,0.0,0.22562706,0.1778261,0.0,0.0,0.0,0.0,0.0,0.0,0.108019404,0.0,0.0,0.0,0.0,0.41963372,0.38782096,0.32394192,0.0,0.0,0.7676048,0.107737154,0.0,0.0,0.0,0.33331782,0.0,0.0,0.0,0.0,0.0,0.1229563,0.4153708,0.0,0.0,0.0,0.0,0.0,0.0,0.13509691,0.073596425,0.12239377,0.0,0.0,0.0,0.0,0.0,0.0,0.47789186,0.21179757,0.22017404,0.34582204,0.0,0.23446007,0.0,0.0,0.20473601,0.28318453,0.0,0.10172621,0.0,0.0,0.0,0.0,0.0,0.0,0.75012183,0.1447666,0.0,0.2571872,0.0,0.4366789,0.30817282,0.05834997,0.29964334,0.03788374,0.0,0.0,0.0,0.0,0.018599492
CYBA,0.0,0.0,0.107441425,0.0946936,0.18342286,0.17441925,0.0,0.13368845,0.0,0.006728027,0.0,0.0,0.10085495,0.0,0.0,0.05461884,0.12568483,0.0,0.0,0.0,0.0,0.0,0.108309016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04815892,0.0,0.0,0.0,0.0,0.17707716,0.0,0.0,0.0,0.0,0.0,0.0,0.16554308,0.0,0.037422,0.0,0.0,0.0,0.0,0.0,0.0400695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11677694,0.0005203858,0.0,0.0,0.10236451,0.112829,0.0,0.0,0.0,0.0,0.047547776,0.12790415,0.0,0.0,0.11202134,7.3201954e-05,0.20538479,0.033254363,0.0,0.20747632,0.0,0.0,0.0,0.13047889,0.18498537,0.13361886,0.07303751,0.0,0.0,0.0,0.0,0.0,0.0,0.24244408,0.03729238,0.0,0.17146108,0.0,0.0,0.0,0.044653967,0.0,0.103469685,0.0,0.054521747,0.0,0.08481325,0.0,0.0,0.0,0.0,0.115047306,0.0,0.0,0.24918734,0.0,0.18747333,0.13994582,0.0,0.12568851,0.15735695,0.0,0.0,0.0,0.0,0.15758449
ATP5L,0.0,0.0,0.11937602,0.10541477,0.16492116,0.18057841,0.0,0.110122755,0.0,0.073790535,0.0,0.0,0.12800005,0.0,0.0,0.017935514,0.13411409,0.0,0.0,0.0,0.0,0.0,0.1477026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014793443,0.0,0.0,0.0,0.0,0.2036939,0.0,0.0,0.0,0.0,0.027240746,0.0,0.14100486,0.0,0.016573139,0.0,0.026960805,0.023435045,0.0,0.0,0.05612605,0.0,0.0,0.0,0.0,0.0,0.0,0.043933235,0.0,0.0,0.0,0.0,0.078433126,0.0,0.0,0.0,0.07717939,0.118877046,0.0,0.0,0.0,0.0,0.041884486,0.11972401,0.0,0.0436697,0.11833686,0.0,0.16681288,0.007133022,0.0,0.20821261,0.0,0.0,0.0,0.09015455,0.21386036,0.13662092,0.027773036,0.0,0.0,0.0,0.0,0.0,0.0,0.2484641,0.08076651,0.004824117,0.14357297,0.0,0.0,0.0,0.035566863,0.0,0.10332784,0.0,0.04116741,0.0,0.1019225,0.0,0.0,0.0,0.0,0.08532898,0.0,0.0,0.23595513,0.0,0.11665506,0.10265478,0.0,0.15030447,0.12675455,0.0,0.0,0.0,0.0,0.15143079
RLIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072943695,0.05120723,0.13478789,0.0,0.19983292,0.0,0.0,0.21786982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18649131,0.0,0.0,0.11353691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31322217,0.0,0.0,0.19797477,0.0,0.0,0.1328402,0.0,0.0,0.0,0.0,0.0,0.17895222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25623396,0.13692018,0.0,0.028990183,0.0,0.0,0.0,0.13946253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15381594,0.23865831,0.0,0.15509355,0.0,0.05218786,0.0,0.0,0.0,0.0,0.0,0.16479588,0.0,0.0,0.0,0.17730835,0.1883715,0.111677766,0.0,0.0,0.0,0.24024503,0.0,0.17834754,0.0,0.1390911,0.04376281,0.0,0.0,0.0,0.16604961,0.0,0.0,0.1602445,0.15461197,0.0,0.016127095,0.05301384,0.046201393,0.0,0.0,0.28059238,0.14391458,0.0,0.0,0.23745503,0.0,0.23558888,0.0,0.0,0.0
MYD88,0.0,0.0,0.09510373,0.10632278,0.1234133,0.108334936,0.0,0.12587814,0.0,0.08076696,0.0,0.0,0.07075946,0.0,0.0,0.07577186,0.08034911,0.08250684,0.0,0.0,0.0,0.008419856,0.102456585,0.0,0.0,0.0009912867,0.0,0.0,0.006155275,0.0,0.010697908,0.0,0.04329052,0.0,0.0,0.14755309,0.0,0.0,0.0,0.0,0.04318846,0.0,0.15799037,0.0,0.0,0.0,0.13113178,0.09708506,0.0,0.017628402,0.13304612,0.0,0.0,0.0,0.0,0.0,0.0,0.06871326,0.0,0.0,0.0,0.0,0.15645729,0.07887639,0.09125636,0.0,0.014479738,0.13744636,0.0,0.0,0.0,0.0,0.044741947,0.057892635,0.0,0.016901966,0.026942935,0.020849235,0.13940461,0.0,0.0,0.12678272,0.0,0.0,0.0,0.0,0.12081715,0.10811721,0.06499491,0.0,0.0,0.042644598,0.0,0.0,0.0,0.1961133,0.080479994,0.027413398,0.10798227,0.0,0.019241082,0.0,0.06306733,0.0074708313,0.0823862,0.0,0.0012017637,0.0,0.02947796,0.0,0.0,0.0,0.0,0.078849755,0.0,0.0,0.119342655,0.0,0.14447024,0.10585848,0.0,0.1575701,0.09559219,0.0,0.004481502,0.0,0.0,0.10183303
GPR171,0.0,0.0,0.0,0.0,0.0,0.00068345293,0.0,0.009447813,0.0,0.0,0.0,0.0,0.0,0.0060000643,0.087273814,0.20868975,0.051793605,0.20641616,0.0,0.0,0.23703256,0.0,0.0,0.0,0.0,0.0015116408,0.0,0.0,0.19945854,0.0,0.0,0.008393656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024653733,0.0,0.0,0.3754291,0.0,0.02939146,0.19589661,0.0,0.0,0.14074743,0.0,0.019013627,0.0,0.0,0.0,0.15616071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33990106,0.07848995,0.0,0.118151516,0.024727363,0.0,0.0,0.14019386,0.0,0.0,0.0,0.0,0.0,0.0,0.016805544,0.15002595,0.32962054,0.0,0.18052295,0.0,0.0,0.0,0.0,0.016535953,0.0,0.0,0.1796602,0.0,0.0,0.0,0.15949667,0.21165211,0.07910228,0.0,0.0,0.0,0.31143406,0.0,0.2161503,0.0,0.16615056,0.08060774,0.0037624873,0.0,0.016720898,0.1555929,0.0,0.0,0.11526041,0.07896946,0.0,0.11147092,0.01054173,0.0,0.0,0.0,0.38400197,0.19316533,0.0,0.0,0.30673057,0.0,0.25363174,0.0,0.0,0.0
LYZ1,0.0,0.0,0.11806844,0.14786842,0.25606123,0.22901973,0.0,0.15605088,0.0,0.027738396,0.0,0.0,0.10879054,0.0,0.0,0.039217796,0.16707027,0.0,0.0,0.0,0.0,0.0,0.13476846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032684557,0.0,0.0,0.0,0.0,0.21809651,0.0,0.0,0.0,0.006510511,0.0,0.0,0.16372316,0.0,0.036322474,0.0,0.0,0.0,0.0,0.0,0.0013275519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122595325,0.0,0.0,0.0,0.105172604,0.15476882,0.0,0.0,0.0,0.0,0.120199025,0.14470583,0.0,0.046319813,0.13132915,0.0,0.17357093,0.09722092,0.0,0.26135403,0.0,0.0,0.036525495,0.18277213,0.20305845,0.1677846,0.09092059,0.0,0.0,0.0,0.0,0.0,0.0,0.2936974,0.040544912,0.0008025132,0.18675835,0.0,0.0,0.0,0.0,0.024502447,0.13130207,0.0,0.07669262,0.0,0.1184628,0.0,0.0,0.0,0.0,0.1622138,0.0,0.0,0.34225985,0.0,0.21387604,0.11691941,0.0,0.16862133,0.18126564,0.0,0.0,0.0,0.0,0.14458281
CD274,0.19545197,0.0,0.5087512,0.4500812,0.75428987,0.68050325,0.0,0.41820836,0.0,0.4232905,0.4229212,0.0,0.46742433,0.0,0.0,0.038205247,0.4987412,0.0,0.0,0.0,0.0,0.014404565,0.6707994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25727186,0.0,0.0,0.7669668,0.0,0.0,0.0,0.0,0.20769049,0.0,0.0,0.0,0.0,0.0,0.25880337,0.52001905,0.0,0.27623096,0.45757416,0.0,0.0,0.0,0.0,0.0,0.0,0.24542522,0.0,0.0,0.0,0.0,0.0,0.0,0.17300689,0.0,0.31744808,0.29831907,0.0,0.0,0.0,0.0,0.54361075,0.5391335,0.0,0.10989459,0.30055383,0.0,0.0,0.024438553,0.0,0.5959408,0.0,0.0,0.0,0.3369258,0.6892984,0.67558676,0.0,0.0,0.0,0.035247326,0.0,0.0,0.0,0.9965964,0.26404554,0.2166036,0.0,0.0,0.0,0.0,0.0,0.0,0.3823921,0.33162206,0.15240324,0.0,0.15642567,0.0,0.0,0.0,0.0,0.16037175,0.0,0.0,0.71748424,0.0,0.0,0.084359765,0.14950262,0.6852226,0.0,0.0,0.0,0.0,0.0,0.46632293
NHP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06726335,0.024897523,0.17632145,0.0,0.21811143,0.0,0.0,0.20858762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15060133,0.0,0.019665634,0.09377438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31667954,0.0,0.016880281,0.16545863,0.0,0.0,0.10016726,0.0,0.015925035,0.0,0.0,0.0,0.14585935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2710814,0.1115472,0.0,0.029491987,0.0,0.017776113,0.0,0.15487057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1200791,0.24256712,0.0,0.16219683,0.0,0.023588583,0.0,0.0,0.0,0.0,0.0,0.19403476,0.0,0.0,0.0,0.15378699,0.15898943,0.09576285,0.0,0.0,0.0,0.2802897,0.0,0.15601952,0.0,0.13078372,0.07611664,0.015524039,0.0,0.011850409,0.144493,0.0,0.0,0.1549798,0.12249133,0.0,0.08252457,0.041725308,0.041093998,0.0,0.0,0.31967518,0.19138177,0.0,0.0,0.22748028,0.0,0.20323864,0.0,0.0,0.012497067
SNX10,0.13793515,0.0,0.32126883,0.30782995,0.4250619,0.38894838,0.0,0.2822953,0.0,0.3005566,0.24931309,0.0,0.2700364,0.0,0.0,0.0,0.2737961,0.0,0.0,0.0,0.0,0.0,0.3942192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19658062,0.0,0.0,0.45315868,0.0,0.0,0.0,0.0,0.13882828,0.0,0.0040690377,0.0,0.0,0.0,0.20292479,0.31494045,0.0,0.23695683,0.26265112,0.0,0.0,0.0,0.0,0.0,0.0,0.18752772,0.0,0.0,0.0,0.0,0.0,0.0,0.20114379,0.0,0.16931848,0.2090984,0.0,0.0,0.0,0.0,0.28723747,0.32819298,0.0,0.11704852,0.1476548,0.0,0.002178371,0.0,0.0,0.39975357,0.0,0.0,0.0,0.16285282,0.433132,0.39260274,0.0,0.0,0.0,0.10182772,0.0,0.0,0.0,0.5878077,0.21749042,0.18409668,0.0,0.0,0.0,0.0,0.0,0.0,0.2321934,0.27962494,0.05648408,0.0,0.11179377,0.0,0.0,0.0,0.0,0.071122386,0.0,0.0,0.43207273,0.0,0.0,0.025629021,0.057988245,0.43392164,0.0,0.0,0.0,0.0,0.0,0.33094233
