TF_gene,Target_gene
ELF1,JUNB
POLR2I,JUNB
HNRNPAB,JUNB
IRF5,JUNB
ZFP36L1,JUNB
TCERG1,JUNB
MCM5,JUNB
BACH1,JUNB
MED15,JUNB
NONO,JUNB
KDM5A,TCEB2
PER1,TCEB2
ASH1L,TCEB2
THRAP3,TCEB2
RBPJ,TCEB2
ATF3,TCEB2
KLF4,TCEB2
SSB,TCEB2
SP1,TCEB2
SRRM1,TCEB2
IRF2,POLR2G
SMARCA4,POLR2G
POLR2C,POLR2G
AES,POLR2G
SRSF9,POLR2G
MLL2,POLR2G
EHMT1,POLR2G
GTF2I,POLR2G
KDM5C,POLR2G
POLR2I,POLR2G
NCOR2,CENPB
NCOR1,CENPB
SUPT16H,CENPB
BTG1,CENPB
ZFP36,CENPB
TAF12,CENPB
NOTCH2,CENPB
JUP,CENPB
CHD1,CENPB
SP1,CENPB
STAT3,POMP
IRF1,POMP
IRF2,POMP
BATF3,POMP
EGR1,POMP
SUPT4H1,KLF13
MLL3,KLF13
FOS,KLF13
FUBP3,KLF13
EWSR1,KLF13
TRPS1,KLF13
GTF2A1,KLF13
RBBP7,KLF13
ILF3,KLF13
CNOT6,KLF13
IRF4,ATP6V0E
BATF3,ATP6V0E
TCEB3,NFKBIZ
RDBP,NFKBIZ
TAF12,NFKBIZ
IRF5,NFKBIZ
SMAD4,NFKBIZ
SSB,NFKBIZ
SFPQ,NFKBIZ
CENPB,NFKBIZ
SNRPB,NFKBIZ
SRSF5,NFKBIZ
HIST1H1C,GTF2A1
H1F0,GTF2A1
NR3C1,GTF2A1
TRIM28,GTF2A1
RUNX1,GTF2A1
UPF1,GTF2A1
POLR2I,GTF2A1
ATF3,GTF2A1
MLL3,GTF2A1
MED21,GTF2A1
ATF4,TANK
IRF4,TANK
RELA,TANK
POLR2C,SUMO2
TRPS1,SUMO2
TCF12,SUMO2
ELF2,SUMO2
TCEB3,SUMO2
CSDE1,SUMO2
FUBP3,SUMO2
RELA,SUMO2
NCOR1,SUMO2
GTF2B,SUMO2
ATF4,GLIPR1
ATF4,ACTR2
BATF3,ACTR2
STAT1,ACTR2
CTCF,DUSP1
ARID1A,TOB1
NFKBIB,TOB1
CSDE1,TOB1
SUZ12,TOB1
TOP2B,TOB1
NR4A1,TOB1
RDBP,TOB1
TRP53,TOB1
MCM3,TOB1
HMGB2,TOB1
IRF1,PSMA5
BATF3,LAPTM5
KLF6,SNRPB
BCLAF1,SNRPB
TNFAIP3,SNRPB
CBFB,SNRPB
MCM3,SNRPB
SMAD4,SNRPB
CSDA,SNRPB
MAPK3,SNRPB
UBTF,SNRPB
HMGB2,SNRPB
BTG1,CBX3
HBP1,CBX3
RUNX1,CBX3
SRRM1,CBX3
DNMT3A,CBX3
SRSF1,CBX3
NCOR1,CBX3
MED27,CBX3
ILF3,CBX3
NFKBIZ,CBX3
KPNA2,MAPK1
YBX1,MAPK1
ILF3,MAPK1
PER1,MAPK1
ATF6,MAPK1
EZH2,MAPK1
KHDRBS1,MAPK1
UBTF,MAPK1
KDM6B,MAPK1
HNRNPD,MAPK1
IRF4,PTP4A2
STAT1,EIF3I
KHDRBS1,STAT1
TAF7,STAT1
BCLAF1,STAT1
HAX1,STAT1
SNRPB,STAT1
UBTF,STAT1
IRF2,STAT1
RNF4,STAT1
MED27,STAT1
SFPQ,STAT1
TUBA1A,SRSF6
ETV3,SRSF6
GTF2E2,SRSF6
GTF2A1,SRSF6
TOB1,SRSF6
LASS5,SRSF6
HDGF,SRSF6
IRF5,SRSF6
DNMT1,SRSF6
TRERF1,SRSF6
BATF3,PSMA1
SUMO2,PSMA1
CTCF,PSMA1
IRF1,ATP5O
CREB3,SMARCA5
ILK,SMARCA5
RFX7,SMARCA5
TIAL1,SMARCA5
RELA,SMARCA5
TAF9,SMARCA5
POLR2J,SMARCA5
ATF3,SMARCA5
MED15,SMARCA5
CHD7,SMARCA5
BATF3,CCL6
IRF1,CCL6
RELA,CCL6
ATF4,CCL6
CXXC1,TRP53
STAT6,TRP53
TGIF1,TRP53
