,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
CLEC4E,0.008243784,0.028905239,-0.023844354,-0.014967173,0.022002995,-0.03977381,0.025907004,-0.046647426,-0.027127445,-0.026722588,-0.023372926,-0.060790528,0.0020933151,-0.032398447,-0.03093092,-0.036618896,0.029308755,-0.031836852,-0.01346202,0.025330309,0.04995998,-0.039087817,0.046325494,-0.05068191,-0.031871244,-0.025183752,0.038906,-0.0017217472,0.008511734,-0.026373103,-0.006453866,0.06232748,0.015260842,0.054840107,0.013886498,0.04277488,0.018516138,0.023180448,0.03348961,0.016451187,-0.06303896,0.019367583,-0.059712857,-0.03699437,-0.05119323,0.029524043,-0.056466773,-0.07982388,-0.044795386,0.035413057,-0.017139148,-0.031937342,0.03526684,-0.016789876,0.026117094,-0.057940736,-0.05066874,0.017671121,-0.008636093,-0.037404247,0.025357164,-0.02522421,-0.025654688,-0.035824418
CTBP1,-0.23158528,-0.15579747,0.16726482,0.1740599,-0.18020561,0.18049945,-0.14132468,0.11835465,0.19695178,0.19365779,0.13977954,0.15373589,-0.14903966,0.13992384,0.20573328,0.18001407,-0.26272205,0.19931999,0.17628416,-0.18056583,-0.21922079,0.15133289,-0.21714525,0.21862605,0.10188069,0.12601231,-0.21294978,-0.10220069,-0.1342278,0.22131485,-0.1670319,-0.20030297,0.14498965,-0.22001293,-0.082006596,-0.19111943,-0.21843812,-0.16299576,-0.17795032,-0.07312125,0.16993412,-0.1606747,0.22161591,0.19983438,0.15372959,-0.20603044,0.17281595,0.22418797,0.1939329,-0.14972076,0.115036905,0.15621275,-0.26549417,0.18934415,-0.21116446,0.20824389,0.17650528,0.0005002953,0.17130233,0.21246149,-0.16031021,0.16447386,0.22841448,0.18728268
SSR4,0.09644854,0.08745621,-0.08734949,-0.06413441,0.08256015,-0.06837909,0.06629696,-0.066378966,-0.08412456,-0.09806476,-0.07288252,-0.11438839,0.044942055,-0.08460731,-0.09581283,-0.10023126,0.11139293,-0.11095479,-0.060150135,0.08789614,0.10281522,-0.08195636,0.10571631,-0.12853596,-0.073576264,-0.061133154,0.10398134,0.021373246,0.06320188,-0.101539426,0.070956066,0.11746265,-0.03963248,0.11104703,0.028932583,0.12852243,0.08712038,0.07698772,0.08252323,0.05422034,-0.11827487,0.09610288,-0.13319686,-0.11308728,-0.09404746,0.08851528,-0.11148818,-0.16868083,-0.09878444,0.08371345,-0.058306824,-0.07830355,0.13260326,-0.05694936,0.08294669,-0.13404338,-0.12076396,0.0054535903,-0.07098468,-0.077607386,0.07568801,-0.0885794,-0.08508856,-0.08683728
GLIPR1,0.06268476,0.06496343,-0.06717995,-0.044225074,0.0634807,-0.0582002,0.057132818,-0.0626743,-0.06463378,-0.07138193,-0.050930798,-0.10218595,0.02977306,-0.066094376,-0.07595633,-0.07763952,0.081582084,-0.08081919,-0.048308477,0.0689237,0.091755666,-0.062399577,0.08719487,-0.102183886,-0.06311467,-0.047711726,0.08509029,0.008534953,0.040301055,-0.074870326,0.0391289,0.10186207,-0.023879524,0.09334606,0.021709207,0.095115505,0.06403827,0.05421426,0.066092804,0.045881905,-0.10229482,0.07389149,-0.11084235,-0.08938163,-0.08660415,0.06516856,-0.09814988,-0.14396253,-0.079166494,0.068818174,-0.043883923,-0.06134562,0.099902555,-0.04168074,0.06388165,-0.105703965,-0.09889747,0.0038921125,-0.046196368,-0.06270279,0.054475375,-0.06690185,-0.062718384,-0.0716247
PLEK,0.012243494,0.033168722,-0.029992722,-0.024507903,0.014096156,-0.041405026,0.020774556,-0.037176907,-0.031562604,-0.02480366,-0.034022123,-0.04729226,0.01079422,-0.0338869,-0.027654784,-0.033697203,0.029181968,-0.037044123,-0.017798325,0.01750591,0.033543997,-0.04118253,0.042602234,-0.043435432,-0.026466552,-0.027125724,0.03802363,0.0021926835,0.023755483,-0.024861705,0.009667894,0.04733144,0.004611645,0.05102681,0.016351007,0.041135557,0.021766298,0.028639682,0.028894696,0.017143376,-0.049132403,0.019076042,-0.04553871,-0.041554842,-0.04640343,0.026308678,-0.044774864,-0.06700758,-0.04237464,0.02805145,-0.016426314,-0.045509133,0.040152833,-0.019645702,0.033395417,-0.056533158,-0.039003395,0.025642138,-0.023401175,-0.026320463,0.027832747,-0.023532862,-0.02476719,-0.033713184
SRP14,0.04130864,0.05304222,-0.054371268,-0.03505882,0.0406034,-0.04545863,0.04353454,-0.056601677,-0.046760388,-0.05339984,-0.040853508,-0.08070147,0.021233212,-0.05510232,-0.05658616,-0.06485529,0.063563585,-0.069036245,-0.034607094,0.050397206,0.06737619,-0.058085293,0.0698896,-0.0784759,-0.050233193,-0.04201316,0.06585886,0.0018833801,0.031056648,-0.05652649,0.020454673,0.07703218,-0.010404255,0.07782875,0.017141152,0.07415164,0.04469212,0.04026509,0.051354054,0.037493788,-0.0872917,0.05223874,-0.08600956,-0.072270654,-0.07335354,0.056122467,-0.07481642,-0.11964066,-0.05996477,0.052128233,-0.035507407,-0.057076138,0.07743127,-0.033670373,0.051382132,-0.08756439,-0.07401622,0.017038545,-0.03648198,-0.049721513,0.04506751,-0.054064095,-0.04495824,-0.058970407
PSMA5,0.0493678,0.055011827,-0.05866669,-0.036684968,0.051304363,-0.052058343,0.044407085,-0.053632148,-0.059686236,-0.0627888,-0.049611323,-0.08280194,0.025225565,-0.061517708,-0.062234856,-0.063522756,0.07429165,-0.071210876,-0.039573073,0.055791866,0.07315472,-0.05952461,0.07767199,-0.08837549,-0.056907542,-0.040434655,0.07347166,0.010739151,0.041026667,-0.06616228,0.033093274,0.088339865,-0.01535644,0.084822744,0.020580297,0.08310621,0.054501288,0.0506846,0.057108637,0.037192874,-0.08925493,0.055282652,-0.09501664,-0.08107841,-0.07965454,0.058927238,-0.08754939,-0.12299915,-0.06610905,0.05704873,-0.035909873,-0.059508804,0.08714826,-0.032651674,0.06014903,-0.09620688,-0.0819866,0.009604812,-0.04417549,-0.052352663,0.05003438,-0.055778727,-0.054610662,-0.06293701
PLAUR,-0.06925866,-0.018089604,0.017641716,0.019647673,-0.044822916,-0.015354309,-0.007368304,-0.023036886,0.027638666,0.045927342,0.00848401,0.003235437,-0.026727822,0.01145262,0.0337065,0.022317618,-0.037393466,0.03379745,0.018775467,-0.03474526,-0.01303159,-0.005245752,-0.013954431,0.03511936,0.004345159,0.011641557,-0.014063887,-0.01693035,-0.014346892,0.036914207,-0.05355265,-0.004113149,0.044037536,-0.0032069795,0.0053063706,-0.041527465,-0.040442027,-0.023229372,-0.01692114,-0.017090783,0.010832939,-0.03916718,0.013281006,0.0180805,-0.013066914,-0.030070227,0.0055348426,0.00840752,0.0047456026,-0.0061566494,0.012193641,0.0021734252,-0.05005551,0.008082288,-0.011927532,0.014646165,0.018396007,0.027300227,0.036009945,0.010171318,-0.015488699,0.028439296,0.03271105,0.0030398667
HMG20B,-0.2430076,-0.1653174,0.15775223,0.15041515,-0.17605351,0.20039026,-0.1505923,0.094787136,0.21518081,0.18690085,0.17722633,0.13683406,-0.16207206,0.15432124,0.20472562,0.17477469,-0.2800769,0.20583801,0.18327689,-0.21019147,-0.20695475,0.158889,-0.19771852,0.2034193,0.09962329,0.12743594,-0.22229692,-0.11625524,-0.15868324,0.23799387,-0.21425371,-0.21106316,0.16134082,-0.21699025,-0.08752818,-0.19502217,-0.19871202,-0.16619709,-0.2032808,-0.058928512,0.11179434,-0.15618625,0.21201302,0.24970901,0.13395135,-0.2005852,0.1847063,0.20660129,0.22150204,-0.15933374,0.12557952,0.13559148,-0.269306,0.24228106,-0.2644922,0.2302738,0.18438302,0.016019791,0.18767332,0.22571112,-0.16354313,0.16517359,0.248047,0.18087342
RPS14,0.120792836,0.09914124,-0.095523134,-0.0882993,0.08362259,-0.07457134,0.06432595,-0.0518108,-0.100737505,-0.109799616,-0.09392739,-0.10189396,0.06502613,-0.0919114,-0.098900974,-0.11111325,0.12056716,-0.13268287,-0.07071251,0.09264223,0.09009231,-0.094248004,0.10917449,-0.13066629,-0.070647776,-0.07476325,0.11098608,0.03195863,0.085234895,-0.1084969,0.100836486,0.113636315,-0.060036134,0.11501068,0.037431814,0.14266413,0.101514615,0.10203824,0.08505112,0.057674542,-0.110708594,0.10434004,-0.11980975,-0.12855944,-0.08689066,0.10201757,-0.104787365,-0.158583,-0.10764511,0.082804844,-0.062101547,-0.09742483,0.15265848,-0.07157801,0.0930727,-0.14882454,-0.11838531,0.018206881,-0.09725481,-0.074510135,0.0937726,-0.09425407,-0.09685471,-0.09082126
CHCHD2,-0.03276048,0.0044048913,-0.0036941767,0.0035938546,-0.01761707,-0.027036572,0.0069449283,-0.03176238,-0.00054282695,0.016105518,-0.0097776055,-0.023510613,-0.008876729,-0.01248838,0.0001573246,-0.0061845556,-0.007099364,0.0010036007,0.003020499,-0.011182539,0.009578813,-0.020610517,0.016725745,-0.0012457967,-0.0069371415,-0.00704897,0.008208565,-0.013802815,0.00039447658,0.00638837,-0.028226694,0.019627579,0.02752367,0.023310367,0.008032542,-0.0037464723,-0.013604902,-0.0026110634,0.004882183,-0.0014373958,-0.019278694,-0.015562071,-0.01255776,-0.009685497,-0.029090874,-0.0027151369,-0.017807286,-0.029086217,-0.016887482,0.007914502,-0.0019288361,-0.023179056,-0.008836239,-0.004590826,0.006040998,-0.018074326,-0.005211951,0.032467104,0.00720004,-0.0060624997,0.0039913133,0.0021781968,0.0068977736,-0.012718998
ILK,-0.22280131,-0.14094235,0.17250863,0.18360204,-0.17812428,0.16603434,-0.13505365,0.14788774,0.17815968,0.20657778,0.10652608,0.17799202,-0.12593316,0.13465212,0.20184149,0.19509652,-0.2533162,0.19988438,0.16782536,-0.15115236,-0.23004742,0.13772027,-0.2337889,0.23088807,0.0970638,0.12280868,-0.19430031,-0.08229168,-0.099185415,0.21171248,-0.114907734,-0.19122623,0.114462435,-0.21926293,-0.077281766,-0.18696466,-0.22614309,-0.13958448,-0.17174502,-0.08553353,0.22728495,-0.16626856,0.23718406,0.15422481,0.16731265,-0.211732,0.17233363,0.23650433,0.17861784,-0.13654801,0.10977653,0.16801219,-0.26813376,0.13844457,-0.15878789,0.1759731,0.16976893,-0.019530673,0.15431803,0.20245837,-0.15778643,0.15514597,0.21412274,0.1878238
ATP6V1E1,-0.03119583,0.005676944,-0.003917359,-0.0028101727,-0.0162212,-0.030009001,0.008513814,-0.030601524,0.00024627894,0.013870154,-0.010081448,-0.023903165,-0.011469632,-0.01165415,0.0022223499,-0.0055257455,-0.010143515,0.0013872534,0.0006727986,-0.01071978,0.012568707,-0.02215733,0.01490315,-0.0021255836,-0.007622439,-0.0074851443,0.01009845,-0.009014301,-0.00036428124,0.008774605,-0.025004858,0.024189727,0.026046196,0.022043888,0.009428062,-0.0036074817,-0.012779206,0.00023888797,0.0059251115,-0.00063985214,-0.017634653,-0.0080743125,-0.014690384,-0.00699778,-0.027283631,-0.002524864,-0.016927812,-0.029260978,-0.024269257,0.011073206,-0.00082910433,-0.018687509,-0.009373412,-0.009246534,0.0060957596,-0.017386178,-0.011391435,0.026573882,0.009186331,-0.009317724,0.006800495,0.0031219693,0.0049569607,-0.016410574
BTF3,-0.20180283,-0.1524118,0.17358734,0.17177251,-0.18803066,0.18234357,-0.14709592,0.16225849,0.17343378,0.20718041,0.110198475,0.18856193,-0.11798882,0.13400254,0.20659514,0.1998417,-0.26861268,0.2104378,0.1682857,-0.1650471,-0.25067255,0.14555013,-0.25319573,0.23713183,0.09736206,0.13486126,-0.20216516,-0.07387128,-0.10259786,0.21322349,-0.10320572,-0.21529783,0.11830144,-0.2361535,-0.08016017,-0.18795823,-0.22299832,-0.13226235,-0.18771322,-0.082280606,0.2347019,-0.1634428,0.26335773,0.1655443,0.17481601,-0.22310898,0.18167678,0.26024055,0.18159083,-0.15339911,0.11666924,0.17740934,-0.2805557,0.15847854,-0.18942958,0.18244173,0.18639784,-0.030389491,0.15545417,0.2210591,-0.16369173,0.16454814,0.216124,0.20210639
APRT,0.01402089,0.03552952,-0.03716541,-0.022205718,0.0262525,-0.038054526,0.037063733,-0.057918612,-0.027108766,-0.033697024,-0.025193088,-0.07140505,0.0067713074,-0.035489686,-0.037582323,-0.045662798,0.038798627,-0.040704757,-0.022727909,0.032129783,0.059323817,-0.04520236,0.05278216,-0.05716034,-0.04382448,-0.02515113,0.044904076,-0.0053725727,0.012104945,-0.036356993,-0.0052979235,0.0630541,0.005291935,0.06434803,0.012172595,0.04874704,0.025512889,0.021941498,0.036350545,0.026360132,-0.07372905,0.03394932,-0.07466842,-0.047923066,-0.063697495,0.035458878,-0.06474903,-0.096861035,-0.0451944,0.041543834,-0.022726808,-0.040726256,0.04384376,-0.018769693,0.0321206,-0.062938094,-0.05806043,0.014967434,-0.013860049,-0.03928845,0.027461603,-0.036348052,-0.026882753,-0.047654588
TCERG1,-0.2347537,-0.16556628,0.15857486,0.14950846,-0.17805973,0.21267681,-0.1552136,0.10472156,0.21366832,0.18537256,0.18349722,0.14263353,-0.1626838,0.15589373,0.20868187,0.1800085,-0.28725916,0.21358946,0.18230931,-0.21657856,-0.21354313,0.1644057,-0.20576896,0.21012653,0.10285356,0.1357287,-0.23057476,-0.117379814,-0.16373244,0.23906606,-0.20890087,-0.2204458,0.16256027,-0.22374308,-0.090476476,-0.1947596,-0.19819686,-0.16335708,-0.21230367,-0.059220195,0.11777775,-0.15508008,0.22030772,0.25769755,0.14113313,-0.20371355,0.1937055,0.21603714,0.22717139,-0.16506946,0.12874843,0.14003114,-0.27943578,0.25316802,-0.27905118,0.23579068,0.19128798,0.012404524,0.1879405,0.23651882,-0.16646504,0.16998799,0.25402617,0.19109777
AKT1,-0.22143586,-0.16070133,0.16515826,0.16265464,-0.18536095,0.21343546,-0.15367065,0.12290186,0.20346844,0.1907937,0.17104387,0.15740809,-0.16003995,0.14767158,0.21210162,0.19005215,-0.2843866,0.21988112,0.178459,-0.20777911,-0.22043954,0.16777961,-0.2225282,0.22771636,0.10665971,0.14476092,-0.23632121,-0.11207326,-0.15723886,0.22990215,-0.18419036,-0.22160487,0.15428205,-0.22806488,-0.090761915,-0.19630525,-0.2122992,-0.16168606,-0.20563453,-0.06604511,0.16058786,-0.15699902,0.2313665,0.2393017,0.16085666,-0.21079645,0.19413695,0.23977745,0.21551251,-0.16010031,0.12643172,0.15530357,-0.28563133,0.23527919,-0.26421285,0.23194264,0.19495998,-0.0009631179,0.18351789,0.23740104,-0.16403767,0.17653391,0.24844441,0.2060596
EEF1A1,0.14485912,0.115724236,-0.11345497,-0.09889909,0.10428567,-0.083507754,0.0757558,-0.05728472,-0.117181726,-0.1320898,-0.103511296,-0.12089902,0.076320425,-0.10316233,-0.11306691,-0.12610973,0.14645387,-0.15090095,-0.08514101,0.11354588,0.10730373,-0.10128816,0.12561741,-0.15642986,-0.08407908,-0.082295835,0.13172123,0.0396205,0.09810649,-0.12918255,0.12078577,0.13049059,-0.07420568,0.13374986,0.043389827,0.16856527,0.12127062,0.11797353,0.09957954,0.06785453,-0.12844194,0.12409423,-0.14546598,-0.14924951,-0.10388482,0.11689532,-0.12431444,-0.1862445,-0.120536685,0.09696256,-0.07386428,-0.10703752,0.18121058,-0.07775359,0.11331323,-0.17033802,-0.1370982,0.01060098,-0.11175522,-0.085182376,0.10262158,-0.11067346,-0.11500191,-0.10325357
OST4,0.070289254,0.071284994,-0.069149375,-0.053239875,0.06400497,-0.06181186,0.05096858,-0.05601663,-0.07140627,-0.07707353,-0.058392726,-0.09227881,0.034969352,-0.07148388,-0.07662204,-0.07912043,0.08651374,-0.08748183,-0.049028628,0.0664074,0.08364974,-0.068856604,0.08900877,-0.10245714,-0.056842566,-0.04957232,0.08485674,0.0145098865,0.051531024,-0.07949318,0.05202447,0.097347796,-0.02913909,0.0944563,0.026178483,0.10161319,0.06943331,0.06651699,0.06604464,0.041771084,-0.09744777,0.07198621,-0.10571009,-0.09060314,-0.08256758,0.07172646,-0.092145234,-0.13664822,-0.08070556,0.06555155,-0.045742895,-0.06909365,0.10390683,-0.043815374,0.068699345,-0.11091696,-0.091292575,0.0125639625,-0.05764673,-0.05856317,0.06233733,-0.067182064,-0.06887189,-0.07025628
ZMYM2,-0.22844875,-0.16101502,0.1654209,0.16634226,-0.18282951,0.20238025,-0.15123823,0.11925642,0.20634797,0.19123009,0.16488811,0.155871,-0.1594172,0.14619066,0.21271643,0.18658945,-0.27768373,0.21514186,0.17770432,-0.20174123,-0.21978864,0.16455773,-0.22037521,0.2207152,0.10627149,0.13744338,-0.23270693,-0.1088146,-0.1501532,0.2310507,-0.1844404,-0.21566291,0.15374257,-0.22712968,-0.087249346,-0.19628426,-0.21278766,-0.16678426,-0.19591992,-0.06811328,0.16029404,-0.16029137,0.22745012,0.22997047,0.15778318,-0.20916614,0.18891689,0.23391342,0.20990813,-0.1601744,0.12263566,0.15294898,-0.27754024,0.22655533,-0.24681845,0.22547658,0.18992296,0.00033829734,0.18286027,0.23157875,-0.16506359,0.17394036,0.24236968,0.19767794
MYL12B,0.031087607,0.04354235,-0.0488071,-0.035421185,0.026987828,-0.04486448,0.035656594,-0.045710105,-0.037125207,-0.03812986,-0.043351218,-0.06142911,0.019479945,-0.04644452,-0.04305435,-0.046605013,0.04812411,-0.05353792,-0.034507595,0.034965616,0.047576785,-0.051902182,0.054974724,-0.058101453,-0.03809335,-0.03238461,0.054620318,0.006508369,0.036856875,-0.045199774,0.024543138,0.058868103,-0.0142726265,0.063859865,0.019123593,0.05532863,0.038698874,0.033627294,0.038130004,0.024844952,-0.058170315,0.03982207,-0.06442428,-0.06181371,-0.061726235,0.0381442,-0.058096543,-0.090549275,-0.054660566,0.038163573,-0.027596645,-0.053473517,0.059735015,-0.028897967,0.046819076,-0.07360192,-0.05500456,0.019647595,-0.036571078,-0.030833434,0.03695094,-0.040381767,-0.036223136,-0.049851388
ATPIF1,0.043928698,0.054227512,-0.053476132,-0.04539848,0.04052642,-0.05408917,0.040047646,-0.049132567,-0.050086357,-0.051645324,-0.046307467,-0.07113059,0.025037378,-0.054138787,-0.0564422,-0.06175986,0.058283273,-0.067086205,-0.03629507,0.042775977,0.061206527,-0.059409324,0.068639375,-0.073040165,-0.04074072,-0.04171542,0.06308483,0.007493913,0.0399317,-0.054185502,0.034527652,0.07459051,-0.016655207,0.07448955,0.02318064,0.07127293,0.04874327,0.04852593,0.050345648,0.030062199,-0.0768286,0.05060698,-0.075222,-0.067166165,-0.06597945,0.052473515,-0.06746552,-0.105135396,-0.065467626,0.050073102,-0.03278256,-0.060348082,0.07590264,-0.036088895,0.050431892,-0.085996665,-0.06785624,0.021211874,-0.042789433,-0.042127088,0.049865387,-0.04797765,-0.04886525,-0.05684941
CXCL2,-0.023326896,0.013624016,-0.011066817,-0.008900762,-0.009570658,-0.027833391,0.013859557,-0.03261853,-0.0067466423,0.0029020794,-0.013636075,-0.030628923,-0.004650294,-0.0175771,0.002004277,-0.0089966655,0.0073101185,-0.00499095,-0.0048620068,-0.0007733926,0.015218994,-0.025720399,0.015730154,-0.013319835,-0.018919809,-0.013079975,0.019933634,-0.0011355542,0.0015905057,0.00413052,-0.025163615,0.026543759,0.019084256,0.028198633,0.011045262,0.0075691566,-0.0037112907,0.007435076,0.00676186,0.0062035024,-0.024240937,0.00068913493,-0.023564413,-0.019276429,-0.03682458,0.006046325,-0.030557726,-0.039004274,-0.022366406,0.018624887,-0.005068522,-0.02576485,0.0011055078,-0.011364441,0.017363846,-0.02659173,-0.021829346,0.019721542,0.004926158,-0.012791038,0.011271261,-0.004935665,0.001776807,-0.022988599
SF1,-0.22566606,-0.15507837,0.17065468,0.17590055,-0.18319121,0.1885698,-0.14439015,0.12833059,0.19757065,0.19456258,0.14072517,0.16170493,-0.1517316,0.14075905,0.21061194,0.18534507,-0.2684382,0.20706716,0.17638378,-0.18168896,-0.2254154,0.15358998,-0.22653064,0.22541347,0.1043936,0.13294372,-0.22107133,-0.10234529,-0.1355348,0.22138143,-0.15999103,-0.20838572,0.1420832,-0.22712976,-0.0831751,-0.19181642,-0.22289652,-0.1631074,-0.18110347,-0.07415243,0.18203431,-0.16121186,0.22947106,0.20186318,0.16522703,-0.20985736,0.17919582,0.23719199,0.1931076,-0.15407768,0.11553505,0.16138063,-0.27353463,0.19384079,-0.21677503,0.20971231,0.18143655,-0.0048340857,0.1725562,0.22148098,-0.16343172,0.16873726,0.23188126,0.19562277
NSD1,-0.24327399,-0.16425033,0.16663837,0.1691694,-0.1743561,0.18871883,-0.14764781,0.107795164,0.20982468,0.19230789,0.15609112,0.14715725,-0.15740667,0.15084316,0.20478849,0.18162555,-0.2719288,0.20170212,0.18630642,-0.19685896,-0.21354638,0.15193991,-0.20746464,0.21346784,0.1046919,0.1235764,-0.21285453,-0.109016046,-0.14479075,0.23174933,-0.19249308,-0.20171155,0.1534222,-0.21851937,-0.086958215,-0.19381854,-0.21122736,-0.1647388,-0.19148006,-0.071007065,0.14688465,-0.15892683,0.2138279,0.22246583,0.14238292,-0.20809583,0.17795876,0.21032242,0.2080923,-0.15546286,0.1244743,0.14923908,-0.2666886,0.20969582,-0.22933175,0.21565522,0.17617673,0.0069925003,0.18158092,0.21520098,-0.1624228,0.1626055,0.2328485,0.18433753
TMEM49,-0.01812654,0.014468309,-0.016038936,0.0032695532,-0.0013410859,-0.02773202,0.0134933535,-0.04120084,-0.010400958,-0.0025978126,-0.015865877,-0.03836887,-0.0069434,-0.02087868,-0.011974739,-0.01353135,0.011020187,-0.011214405,-0.006260235,0.0037355758,0.02533655,-0.027392594,0.026850354,-0.02082736,-0.021259857,-0.009484634,0.021518417,-0.013035767,0.004466368,-0.012520425,-0.018942049,0.03309593,0.02286524,0.036819313,0.008658636,0.013946064,-0.0007127449,-0.0006674826,0.014773998,0.008786187,-0.03639717,-0.003490637,-0.03654234,-0.023880374,-0.043665573,0.007665366,-0.037899137,-0.051008783,-0.024866465,0.014970489,-0.008869983,-0.027623968,0.009144252,-0.005752543,0.018388074,-0.03395923,-0.021884764,0.021729749,0.0005124806,-0.01594697,0.0051192716,-0.0070083793,-0.0027935356,-0.021839045
