TF_gene,Target_gene
HCFC1,RASGRP2
SUZ12,RASGRP2
TRIM28,RASGRP2
BTAF1,RASGRP2
E2F1,RASGRP2
E2F4,RASGRP2
JARID2,RASGRP2
PRDM14,RASGRP2
ZFP57,RASGRP2
CTCF,RASGRP2
MED12,GM16235
HEXIM1,GM16235
TET1,GM16235
KLF4,GM16235
BTAF1,GM16235
RARA,GM16235
SIN3A,GM16235
RNF2,GM16235
HCFC1,GM16235
TCF12,SNORD83B
SMAD2,SNORD83B
UTF1,SNORD83B
NFYB,SNORD83B
ZFP42,SNORD83B
BTAF1,SNORD83B
GABBR1,SNORD83B
RARA,SNORD83B
DDX21,SNORD83B
GATA4,SNORD83B
UTF1,TRIP11
SMARCA4,TRIP11
POU5F1,TRIP11
NRF1,TRIP11
HCFC1,TRIP11
MEN1,TRIP11
DR1,TRIP11
SUZ12,TRIP11
TBX3,TRIP11
KLF4,TRIP11
KLF4,XAF1
E2F1,XAF1
ZFP42,XAF1
EZH2,XAF1
GABBR1,XAF1
TGIF1,XAF1
ZFP281,XAF1
TET1,XAF1
SUZ12,HMGA2
DDX21,HMGA2
ZFP281,HMGA2
EED,HMGA2
OTX2,HMGA2
DR1,HMGA2
ZFP42,HMGA2
KLF4,HMGA2
ZFP57,HMGA2
UTF1,HMGA2
JARID2,TINAGL1
NFYB,TINAGL1
GABBR1,TINAGL1
TGIF1,TINAGL1
TET1,TINAGL1
GATA4,TINAGL1
BTAF1,TINAGL1
SUZ12,TINAGL1
SIN3A,TINAGL1
MEN1,TINAGL1
CTCF,SLC6A8
UTF1,SLC6A8
EP300,SLC6A8
BTAF1,SLC6A8
EZH2,SLC6A8
TCF12,SLC6A8
NR0B1,SLC6A8
DDX21,SLC6A8
EED,SLC6A8
ZFP281,JAM2
CBX7,JAM2
BTAF1,JAM2
NRF1,JAM2
ZFP57,JAM2
DDX21,JAM2
EZH2,JAM2
MYCN,JAM2
GABBR1,JAM2
HEXIM1,JAM2
GTF3C1,NOTCH1
PRDM14,NOTCH1
E2F1,NOTCH1
DDX21,NOTCH1
BTAF1,NOTCH1
SMARCA4,NOTCH1
TCF12,NOTCH1
EP300,NOTCH1
SUZ12,NOTCH1
ESRRB,NOTCH1
SMARCA4,RAB3IL1
SIN3A,RAB3IL1
DDX21,RAB3IL1
ESRRB,RAB3IL1
ZFP281,RAB3IL1
KLF4,RAB3IL1
TRIM28,RAB3IL1
MED12,RAB3IL1
SUZ12,RAB3IL1
RNF2,RAB3IL1
SIN3A,PRDM5
SMARCA4,PRDM5
TET1,PRDM5
OTX2,PRDM5
JARID2,PRDM5
RNF2,PRDM5
DDX21,PRDM5
TBX3,PRDM5
EZH2,PRDM5
HCFC1,PRDM5
POU5F1,TCAF1
UTF1,TCAF1
MEN1,TCAF1
ESRRB,TCAF1
SOX17,TCAF1
OTX2,TCAF1
NFYB,TCAF1
NANOG,TCAF1
BTAF1,TCAF1
ZFP281,TCAF1
SIN3A,GM24564
TCF12,GM24564
MED12,GM24564
CHD4,GM24564
POU5F1,GM24564
MEN1,GM24564
GTF3C1,GM24564
EZH2,GM24564
ZFP281,GM24564
SIN3A,UBE2C
HEXIM1,UBE2C
HDAC2,UBE2C
CHD4,UBE2C
SMAD3,UBE2C
E2F4,UBE2C
GATA4,UBE2C
POU5F1,UBE2C
KLF4,UBE2C
SOX2,UBE2C
GTF3C1,SPEN
SUZ12,SPEN
E2F1,SPEN
SOX17,SPEN
DDX21,SPEN
HEXIM1,SPEN
NRF1,SPEN
MEN1,SPEN
RARA,SPEN
E2F4,SPEN
HCFC1,SLC26A10
NANOG,SLC26A10
ESRRB,SLC26A10
TET1,SLC26A10
POU5F1,SLC26A10
SMARCA4,SLC26A10
MED12,SLC26A10
GABBR1,SLC26A10
EP300,ELK4
NRF1,ELK4
BTAF1,ELK4
RNF2,ELK4
GATA4,ELK4
RYBP,ELK4
SALL4,ELK4
TRIM28,ELK4
DR1,ELK4
SIN3A,ELK4
RNF2,ELP2
GABBR1,ELP2
GATA4,ELP2
NRF1,ELP2
CTCF,ELP2
