,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
KRT8,0.49691153,0.43240777,0.5366581,0.48373455,0.53308654,0.50840443,0.49789613,0.52519095,0.50981396,0.41061813,0.52766365,0.5006165,0.4674848,0.46858597,0.45827898,0.5092058,0.525979,0.53061765,0.5101602,0.5009101,0.48670533,0.49203244,0.49834958,0.47223082,0.5215014,0.4928379,0.5309228,0.51583666,0.53730077,0.51971143,0.4563193,0.49455866,0.42312193,0.5087037,0.5039786,0.5296694,0.5442257,0.45637187,0.46772856,0.52368426,0.52480096,0.5652501,0.44686258,0.4907437,0.5355286,0.4886375,0.5102466,0.46611696,0.5195822,0.48989815,0.5310641,0.43309247,0.5320495,0.44877148,0.47199923,0.484929,0.49067917,0.4667589,0.53613126,0.48950174,0.50060946,0.495599,0.50841516,0.4989172,0.5385673,0.5275229,0.5189347,0.48237547,0.49784946,0.5384771,0.49901393,0.50229126,0.5214022,0.5321495,0.5608158,0.5315403,0.5141973,0.48708674,0.51172054,0.39841425,0.493324,0.53178126,0.49981785,0.51367474,0.48651132,0.50930786,0.47025394,0.51678044,0.5181081,0.45998195,0.54995555,0.49279043,0.4919302,0.5209215,0.46370617,0.5104941,0.502229,0.50805545,0.46276838,0.5069563,0.45731992,0.5322381,0.4129518,0.49481204,0.525693,0.45398378,0.4966331,0.46463183,0.5125806,0.5035405,0.50943553,0.53881663,0.5034938,0.48092607,0.45037493,0.4690676,0.47608954,0.47763082,0.4691239,0.49256092,0.45923457,0.4983198,0.4952758,0.52447903,0.4669074,0.45814413,0.5464861,0.49003005
APPBP2,0.48603407,0.42153835,0.53716373,0.47804025,0.54098886,0.5228265,0.50008976,0.51392037,0.51143485,0.39618224,0.5317,0.5025579,0.46676993,0.4697375,0.4533081,0.5062828,0.5227681,0.5395784,0.4876145,0.49809033,0.4773296,0.47925848,0.4752184,0.45988944,0.52832884,0.49023837,0.52934504,0.50961065,0.5486361,0.5279007,0.4532266,0.49487585,0.4190592,0.5055328,0.5077993,0.5380293,0.55952173,0.4479193,0.47013077,0.5268026,0.5366423,0.5810293,0.4491379,0.47955614,0.5536007,0.48983142,0.5188621,0.45593706,0.52524215,0.47301847,0.546291,0.4195332,0.55177075,0.43988806,0.4748921,0.47476318,0.46666086,0.46205956,0.54537535,0.47730756,0.5139131,0.50347716,0.5022076,0.49685344,0.54612243,0.530874,0.5177704,0.47853324,0.50345534,0.5331002,0.50276357,0.5007822,0.5316126,0.5412984,0.57965845,0.5353232,0.51204306,0.47909206,0.5177902,0.3784858,0.4859434,0.5322879,0.51081526,0.49594483,0.48524395,0.5070213,0.473322,0.52384174,0.5188141,0.44454017,0.55646336,0.48222396,0.4810263,0.525835,0.4605633,0.4949446,0.49244434,0.500627,0.4561295,0.503961,0.44926298,0.55509084,0.40437979,0.48866722,0.53285706,0.43850264,0.49723965,0.4622713,0.51321024,0.5093265,0.516494,0.54824305,0.48627672,0.47207475,0.4453823,0.47053364,0.47019562,0.47007075,0.46256715,0.4917711,0.45697168,0.50373584,0.49056968,0.54802555,0.47075164,0.43355292,0.5396377,0.47219253
GM24455,0.53405696,0.41707444,0.53965807,0.47422856,0.52899665,0.47960433,0.5202162,0.58462733,0.534645,0.44116706,0.5467081,0.4948413,0.4451494,0.45541096,0.45371884,0.5012856,0.5809873,0.5243066,0.57144165,0.52440274,0.48177752,0.5481407,0.57240367,0.4691801,0.5402323,0.522396,0.5455268,0.5474176,0.5309299,0.49845046,0.45432934,0.5116824,0.40819213,0.51542383,0.5044673,0.5099645,0.560015,0.46435344,0.42602208,0.48675138,0.49867672,0.5779168,0.42287445,0.53872114,0.4694919,0.47360867,0.51862395,0.4805994,0.5230603,0.53580946,0.5110642,0.41814324,0.46569932,0.43723395,0.46559766,0.5124204,0.55976534,0.45167357,0.53467846,0.55167,0.49424565,0.47197542,0.52102476,0.4950897,0.553646,0.55881447,0.5625095,0.45494905,0.509703,0.5622632,0.5435494,0.49754885,0.4936486,0.5421652,0.52582103,0.5446564,0.55276036,0.5124786,0.49367324,0.4240822,0.49646762,0.52932197,0.42840213,0.54442364,0.4716556,0.5498467,0.43924925,0.53288007,0.5417817,0.4948384,0.56729317,0.5426301,0.51846004,0.52205247,0.4552598,0.5570595,0.56750405,0.50725245,0.49494785,0.5500972,0.48648974,0.47882053,0.4097337,0.5177789,0.50829965,0.4367872,0.46086097,0.42648533,0.527894,0.4743349,0.4709357,0.5271598,0.5599752,0.4758238,0.43177417,0.50468594,0.46725905,0.5029472,0.5054236,0.5348001,0.46350765,0.45900488,0.5397355,0.43720976,0.4345498,0.49307263,0.56870687,0.5582998
GM26280,0.5279933,0.4108867,0.5401719,0.4738427,0.52516747,0.47831225,0.5149588,0.5771992,0.5308006,0.43535537,0.54474807,0.4888824,0.4487555,0.45224395,0.45030704,0.49890032,0.57154703,0.52262825,0.5657189,0.51976496,0.47703212,0.5423795,0.5678496,0.46518692,0.5357276,0.5215618,0.54237574,0.5424191,0.5262648,0.49544984,0.45450166,0.5099128,0.40987834,0.50744325,0.5048711,0.5062832,0.5576052,0.46611717,0.42800266,0.48285306,0.49670815,0.5738887,0.42071244,0.5294005,0.4693168,0.47108603,0.51083857,0.4762052,0.51794523,0.5335024,0.5081827,0.4195827,0.4607736,0.43340564,0.4621786,0.5091043,0.55676574,0.44896352,0.5331884,0.5468132,0.490663,0.47229314,0.5154273,0.49257076,0.5478251,0.55626386,0.5594707,0.4572536,0.5052141,0.5569805,0.5375179,0.4965482,0.49153057,0.5418201,0.5228269,0.5375388,0.5505635,0.5073847,0.4966257,0.42101452,0.49533448,0.5268415,0.42947435,0.5385316,0.47104433,0.54807734,0.43665123,0.5291624,0.53299934,0.49139303,0.56498873,0.5412399,0.5172677,0.52002335,0.45094293,0.5506529,0.5609168,0.50064826,0.49371332,0.54404694,0.479598,0.47487995,0.406282,0.51437443,0.503579,0.43012634,0.45962828,0.42837396,0.5260646,0.47112548,0.46819362,0.5285374,0.5479272,0.46827307,0.43000028,0.5031757,0.46199808,0.50254583,0.5008704,0.53340715,0.46132478,0.46217766,0.5320117,0.43647584,0.43448812,0.49020916,0.56070167,0.5516933
SOX2,0.5134235,0.40958223,0.5210893,0.44738418,0.52777404,0.49750766,0.48539984,0.51525515,0.50336707,0.36784744,0.49840117,0.49287614,0.46850675,0.45165926,0.45110512,0.50113785,0.5218299,0.5211366,0.5024652,0.5066316,0.4855068,0.49764472,0.4932168,0.4620622,0.5277383,0.46914473,0.5147246,0.5155809,0.5344331,0.508944,0.46876428,0.47906563,0.40528497,0.4587953,0.5085237,0.526964,0.55166847,0.455871,0.47997037,0.5053745,0.4944363,0.5648141,0.41112557,0.46494627,0.5165263,0.44779256,0.4974266,0.4349096,0.51218355,0.46798936,0.5162862,0.43914402,0.5237733,0.4293232,0.4806552,0.46152124,0.49460164,0.43956798,0.52458364,0.4842194,0.49552232,0.49389818,0.50682914,0.48768273,0.53916,0.5108647,0.50910026,0.48174885,0.48089668,0.50510573,0.5068594,0.5158081,0.5205735,0.5527885,0.5338006,0.50736445,0.4918665,0.47426715,0.51323944,0.35588282,0.47468862,0.5320048,0.50807315,0.4822681,0.47362053,0.5071285,0.49860835,0.51346594,0.49527046,0.4644728,0.56267995,0.48044726,0.46657297,0.5034492,0.47607234,0.46082452,0.51487863,0.44495007,0.43062556,0.51021713,0.43328145,0.5397652,0.39779207,0.48925894,0.51516235,0.4140003,0.4633867,0.47756755,0.5036976,0.49397963,0.5148292,0.5313412,0.46538,0.4607707,0.43517283,0.4862189,0.4805586,0.45040295,0.46128514,0.48845017,0.46464676,0.52444565,0.51255774,0.51956356,0.48888126,0.42414322,0.52753407,0.46754655
GM37746,0.53203136,0.41441453,0.5394623,0.47562507,0.52866423,0.47979477,0.5207814,0.58477384,0.5327431,0.43771827,0.5467298,0.49506932,0.4449303,0.4547423,0.45132324,0.5008585,0.5795885,0.5226517,0.5699008,0.5234148,0.4799078,0.54685235,0.57169855,0.46676204,0.53893805,0.5228008,0.5471063,0.54692066,0.53121316,0.49884918,0.45388576,0.51146483,0.4085601,0.51422894,0.5040617,0.5090405,0.55985796,0.46446452,0.42492205,0.48774856,0.49872532,0.576378,0.4225294,0.5374465,0.47069407,0.47257027,0.5190186,0.47810727,0.5233056,0.53557026,0.51109177,0.4157197,0.46603057,0.4364341,0.46397585,0.5126509,0.55897933,0.4495041,0.5348944,0.55033654,0.49511355,0.47339433,0.5202037,0.49525842,0.55309904,0.5590606,0.5622071,0.45544013,0.5089364,0.5621169,0.54111993,0.49689257,0.49397066,0.5419933,0.5256962,0.5455385,0.55128664,0.51096946,0.49180397,0.4219019,0.49697006,0.5289938,0.4284298,0.5439804,0.47066924,0.54976887,0.43619758,0.53157765,0.5393908,0.4931425,0.56613755,0.5428406,0.5182962,0.522498,0.45454895,0.55686057,0.5638353,0.507444,0.49408484,0.5498141,0.48402113,0.47774485,0.40638715,0.51587677,0.50897986,0.43436414,0.45894822,0.42460206,0.5273937,0.47386006,0.46994066,0.5278313,0.56005967,0.47298032,0.42906728,0.5028371,0.46488756,0.5014979,0.5044862,0.5346212,0.46309528,0.45671272,0.5385531,0.4376674,0.4318672,0.49322632,0.56776863,0.55788904
LEFTY2,0.51278543,0.42678997,0.52228427,0.47138864,0.51399654,0.49289572,0.49136496,0.53317,0.50920445,0.4233274,0.50571483,0.48565915,0.47598448,0.4575444,0.45090404,0.5017836,0.5237498,0.5105148,0.5249086,0.49855366,0.4842861,0.5078906,0.5243843,0.4718788,0.5156274,0.503829,0.51898795,0.5095136,0.51074326,0.500457,0.45792633,0.489428,0.4257262,0.48006216,0.49060845,0.5017524,0.53971136,0.47493443,0.46679407,0.49775586,0.48804748,0.5520243,0.42993844,0.49454167,0.49105257,0.46462375,0.4939367,0.46372613,0.49810308,0.511758,0.5021863,0.4343743,0.4826528,0.44939652,0.4687593,0.49266878,0.53180325,0.4604724,0.5102467,0.50907135,0.47501677,0.4770734,0.5071394,0.49354962,0.5278671,0.52372277,0.51721007,0.48124045,0.48390794,0.5275384,0.5053226,0.49784267,0.5016581,0.5245681,0.53479433,0.5034763,0.5170244,0.4917793,0.49845245,0.41277084,0.49574986,0.510549,0.46938428,0.5089372,0.47272578,0.5168011,0.4631565,0.51132476,0.50353956,0.4905713,0.5371712,0.5005042,0.5015699,0.5053266,0.4636388,0.5072769,0.527426,0.47262958,0.47408265,0.50865793,0.45626613,0.484932,0.41887364,0.50831735,0.4955605,0.4253004,0.46133563,0.46534157,0.5036331,0.4821585,0.4925401,0.51681143,0.49831614,0.454414,0.45652565,0.48669416,0.4743907,0.48010293,0.4786402,0.4983146,0.46924257,0.49327013,0.50893986,0.46330518,0.46798187,0.47012126,0.526903,0.50620186
SSBP4,0.48791316,0.41966265,0.5221558,0.48444566,0.5133575,0.50756943,0.48823917,0.5100094,0.5000751,0.3986918,0.5060846,0.49170014,0.47937915,0.47074002,0.45301053,0.50028175,0.50595766,0.5137476,0.4878081,0.49022073,0.47676155,0.47848168,0.477226,0.46398446,0.51475614,0.49889943,0.5124497,0.4946546,0.5250193,0.51163036,0.45256484,0.48294255,0.4282006,0.47892112,0.49262416,0.51289195,0.53917056,0.47104678,0.47906464,0.5136771,0.5071108,0.5515544,0.43537447,0.48028347,0.5358498,0.4725558,0.49753258,0.46104112,0.5092499,0.4828933,0.52192396,0.4273764,0.52426475,0.4462584,0.47158146,0.47017968,0.48586696,0.45823494,0.52015805,0.47448102,0.49652857,0.4926845,0.49410382,0.49295065,0.52963114,0.51441133,0.49804065,0.49117655,0.48258817,0.5201816,0.49138966,0.49591896,0.5089573,0.52769995,0.559612,0.5032783,0.5008576,0.47895837,0.50841963,0.39325684,0.49001345,0.5125862,0.5023266,0.48580912,0.47791877,0.5056096,0.47346956,0.5008714,0.4999931,0.46027008,0.53262025,0.47583178,0.47927573,0.50404215,0.46598956,0.4885993,0.49537483,0.47466862,0.4592803,0.49028513,0.44107324,0.5186466,0.41174814,0.49253592,0.5169237,0.42388347,0.47811076,0.46590856,0.49726984,0.5030848,0.5058643,0.52583224,0.46801597,0.45049104,0.4549587,0.46531013,0.46742943,0.46453935,0.4605449,0.48678726,0.46243244,0.51315063,0.48389757,0.5108222,0.48258105,0.44078737,0.5169243,0.46938413
APBB1,0.4879038,0.4222433,0.52635,0.48191264,0.522234,0.51654994,0.4908197,0.5071284,0.50441724,0.39839324,0.51386786,0.49498758,0.4762249,0.4734499,0.45418486,0.5027452,0.50825655,0.524016,0.4823595,0.49194542,0.47671944,0.4737684,0.4707729,0.4637199,0.52063435,0.49433243,0.5164793,0.49726683,0.53460246,0.51765156,0.45324728,0.48624426,0.42540565,0.48747656,0.49759406,0.52195305,0.54658407,0.4628644,0.47949097,0.5171102,0.51678,0.5652419,0.44083163,0.47980306,0.54604673,0.48141876,0.505137,0.46113163,0.5150066,0.47600237,0.532146,0.42534956,0.5360891,0.4439612,0.47352067,0.4699732,0.4753038,0.46157086,0.53030956,0.470989,0.5038556,0.49708796,0.49571264,0.49190977,0.5375287,0.51764333,0.5036313,0.48848203,0.48849475,0.5217256,0.49396905,0.49860564,0.516644,0.5323106,0.5696649,0.51095283,0.5049102,0.47998887,0.5143626,0.3891849,0.4853949,0.5185394,0.5094758,0.48614755,0.48269412,0.50624824,0.47916794,0.5089411,0.50690603,0.45419502,0.54053503,0.47499272,0.4771842,0.51147807,0.4637265,0.48605886,0.49196768,0.48024398,0.45794433,0.49303177,0.44346777,0.5347349,0.4114213,0.4915355,0.5228609,0.42843175,0.4873575,0.46568626,0.50345,0.50847876,0.5114512,0.53185946,0.46735948,0.4590952,0.45387095,0.46700338,0.46774682,0.46746996,0.46228388,0.48775572,0.46078947,0.5162684,0.48541814,0.5291264,0.4850053,0.43221292,0.5226447,0.46544033
SEMA4C,0.49584955,0.43137056,0.5274463,0.487217,0.5185266,0.50341105,0.49348113,0.52051413,0.50324273,0.41499308,0.5151191,0.4933181,0.47480178,0.4695376,0.45680135,0.50650066,0.5165639,0.5206958,0.50778425,0.4948311,0.48395407,0.48902777,0.49680206,0.47472334,0.5133338,0.49653316,0.5223679,0.5068039,0.53020847,0.5125434,0.4549425,0.48993683,0.43014726,0.49523655,0.4969805,0.51686597,0.5383136,0.46641335,0.47372776,0.5166911,0.5121977,0.5540281,0.4428254,0.4887752,0.52757645,0.48281536,0.5027711,0.46946016,0.5116645,0.49166745,0.52423584,0.43610197,0.517859,0.45312494,0.47051865,0.48311445,0.49555224,0.46501613,0.52421045,0.48662978,0.4923478,0.49139455,0.5042371,0.4959743,0.53064823,0.51984686,0.5084945,0.48720783,0.4889036,0.53031284,0.49652064,0.499829,0.51268834,0.52672285,0.55190516,0.5147801,0.5088248,0.48544523,0.5081154,0.40692258,0.49296176,0.52034134,0.49414805,0.505743,0.4826522,0.50921017,0.4691126,0.5086221,0.5107499,0.46803454,0.53729415,0.48767596,0.48872188,0.5123217,0.4640678,0.50374335,0.5032556,0.4945369,0.4634636,0.5010517,0.4534542,0.5156172,0.41708016,0.49565572,0.5180177,0.44466317,0.49016201,0.46677366,0.5037076,0.5011553,0.5061734,0.52812856,0.49258146,0.4679359,0.45631787,0.46842536,0.472269,0.47603086,0.46694297,0.49329257,0.4627,0.5047771,0.49168405,0.5103241,0.47408462,0.45702255,0.5361628,0.48570517
