,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
KRT8,0.13991357,0.0,0.0,0.0,0.26341352,0.0,0.0,0.0,0.067244545,0.0,0.04448156,0.0,0.0,0.0,0.0,0.0,0.0,0.040865235,0.054701485,0.0,0.09959455,0.0,0.063159674,0.28135657,0.028782964,0.038869005,0.0,0.0,0.13553225,0.08474452,0.0,0.0,0.0,0.0,0.0,0.17221405,0.14181404,0.0,0.020296924,0.0,0.14434326,0.17516266,0.0,0.0,0.20165437,0.0,0.0,0.0,0.07876709,0.0,0.04945464,0.0,0.24060267,0.0,0.0,0.0,0.0753706,0.0,0.24838053,0.0,0.0,0.01510426,0.0,0.0,0.06648651,0.0,0.0,0.0,0.018039702,0.0,0.0,0.0,0.0,0.11603862,0.120081246,0.0,0.0,0.0,0.0,0.0,0.0,0.12259016,0.0,0.0,0.0,0.107389025,0.0,0.013490744,0.122970566,0.2963403,0.0,0.0,0.0,0.0049581975,0.0,0.0,0.11503413,0.0,0.0,0.0,0.0,0.065465994,0.0,0.0,0.0,0.0,0.0,0.0,0.034387566,0.0,0.0,0.0,0.0,0.0,0.19996473,0.0,0.26324764,0.0,0.0,0.0,0.0,0.0,0.0,0.16420439,0.0,0.0,0.0,0.0
APPBP2,0.1038458,0.0,0.0,0.0,0.3780261,0.0,0.0,0.0,0.17920789,0.0,0.09687651,0.0,0.0,0.0,0.0,0.0,0.0,0.116574205,0.04306706,0.0,0.028891753,0.0,0.10101816,0.21073774,0.10007158,0.0,0.0,0.0,0.2093412,0.21671203,0.0,0.0,0.0,0.0,0.06348045,0.31782913,0.24357957,0.0,0.0,0.0,0.18083844,0.2666722,0.0,0.0,0.25917718,0.0,0.08582047,0.0,0.19266534,0.0016435124,0.06932553,0.0,0.35132283,0.0,0.0,0.0,0.05249717,0.0,0.2954377,0.0,0.028546091,0.07968182,0.0,0.0,0.1529084,0.0,0.0,0.0,0.07498353,0.0,0.0,0.0,0.0,0.20806308,0.18301778,0.051719364,0.0,0.0,0.0,0.0,0.0,0.23276278,0.0,0.0,0.0,0.14999983,0.0,0.066324584,0.012225274,0.22268829,0.0,0.0,0.0,0.0115763545,0.0,0.0,0.057961132,0.0,0.0,0.0,0.0,0.14461467,0.0,0.0,0.06537635,0.0,0.0,0.0,0.15019904,0.0,0.0,0.0,0.0,0.0,0.122350805,0.0,0.20268604,0.0,0.0,0.0,0.0,0.0,0.0,0.22924897,0.0,0.0,0.0,0.0
GM24455,0.17750558,0.36527908,0.0,0.084684245,0.0,0.0,0.0,0.0,0.0,0.12014015,0.0,0.0,0.0,0.0,0.17192867,0.0,0.0,0.0,0.0,0.0,0.3034152,0.0,0.0,0.28796914,0.0,0.035595547,0.05972068,0.0,0.0,0.0,0.0,0.0,0.0,0.2005589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21489492,0.0,0.0,0.0,0.0,0.0,0.0,0.002893433,0.0,0.0,0.0,0.12639616,0.0,0.0,0.0,0.0012138821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031488892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25256622,0.0,0.213725,0.23101768,0.0,0.0,0.0,0.0,0.19300109,0.0,0.31217957,0.0,0.06958648,0.0,0.17089874,0.0,0.16028926,0.23881489,0.0,0.22508347,0.042173363,0.0,0.0,0.24605444,0.0,0.0,0.0,0.35518557,0.27067813,0.0,0.26389065,0.0,0.0,0.0,0.14097968,0.0,0.12631553,0.0,0.0,0.0,0.0,0.04172583
GM26280,0.15721048,0.3166939,0.0,0.113464296,0.0,0.0,0.0,0.0,0.0,0.17865734,0.0,0.0,0.0,0.0,0.19977164,0.0,0.0,0.0,0.0,0.0,0.25936997,0.0,0.0,0.18858029,0.0,0.0072360635,0.082668394,0.0,0.0,0.0,0.0,0.0,0.021859143,0.18077232,0.012825251,0.0,0.0,0.00092525035,0.0,0.0,0.0,0.0,0.0,0.20867495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086022474,0.0,0.0,0.01922758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25131977,0.0,0.20707996,0.20604432,0.0,0.0,0.0,0.0,0.15966842,0.0,0.27199584,0.0,0.030811124,0.0,0.16019805,0.0,0.16755003,0.21171725,0.0,0.24858657,0.032312997,0.0,0.0,0.23545831,0.0,0.0,0.0,0.35872984,0.24919426,0.030967204,0.20917735,0.0,0.0,0.0,0.11269175,0.0,0.13342148,0.0,0.0,0.0,0.0,0.050834015
SOX2,0.0,0.0,0.0,0.0,0.28816295,0.0,0.0,0.0,0.097937554,0.0,0.0,0.0,0.0,0.0,0.0,0.2956288,0.18290213,0.0,0.0,0.044294216,0.033793654,0.0,0.0,0.0,0.0,0.18262461,0.0,0.46402788,0.09469135,0.23666267,0.0,0.0,0.0,0.0,0.0,0.0,0.18129815,0.0,0.27109173,0.0,0.27887067,0.23501539,0.5273583,0.0,0.028368285,0.0,0.0,0.21862231,0.060813114,0.0,0.09097588,0.0,0.1466898,0.0,0.31679744,0.0,0.0,0.0,0.0,0.021171816,0.0,0.11961167,0.0,0.0,0.037883855,0.055676848,0.0,0.0,0.0,0.0,0.05675777,0.0,0.09136914,0.28620213,0.23512007,0.0,0.0,0.0,0.009749036,0.17462644,0.25270775,0.0,0.0,0.0,0.118158445,0.0,0.0,0.0,0.0,0.1283209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36433238,0.0,0.0,0.0,0.1923733,0.0,0.0,0.0,0.0,0.0,0.0,0.023986332,0.0,0.0,0.0,0.0,0.0740668,0.27309242,0.0,0.0,0.0031759515,0.0,0.0,0.0,0.51830924,0.0055932626,0.0,0.0,0.0
GM37746,0.1721148,0.35799953,0.0,0.07018858,0.0,0.0,0.0,0.0,0.0,0.12445885,0.0,0.0,0.0,0.0,0.1730794,0.0,0.0,0.0,0.0,0.0,0.30976814,0.0,0.0,0.30136055,0.0,0.029765826,0.05115176,0.0,0.0,0.0,0.0,0.0,0.0,0.19225843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21948548,0.0,0.0,0.0,0.0,0.0,0.0,0.0062361844,0.0,0.0,0.0,0.10292467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010490194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25636026,0.0,0.21236068,0.21320173,0.0,0.0,0.0,0.0,0.18714823,0.0,0.31851748,0.0,0.07225069,0.0,0.16687006,0.0,0.14741498,0.23474142,0.0,0.21971834,0.026050128,0.0,0.0,0.25577834,0.0,0.0,0.0,0.34532452,0.29911298,0.0,0.2684202,0.0,0.0,0.0,0.14211097,0.0,0.10870849,0.0,0.0,0.0,0.0,0.041453823
LEFTY2,0.0,0.034578122,0.0,0.010807028,0.08952316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15356725,0.003129162,0.0,0.016477436,0.0,0.08543973,0.19577172,0.0,0.0,0.024758559,0.021633975,0.042086508,0.025879689,0.09928481,0.036870793,0.056484148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09272326,0.037761025,0.0,0.0,0.0,0.09653672,0.0,0.0,0.09255058,0.0,0.0,0.0,0.10389579,0.0,0.0,0.015299246,0.0,0.0,0.0,0.0,0.0,0.0,0.071604095,0.04061014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024854869,0.0,0.0,0.0,0.007848568,0.0,0.11980991,0.0,0.0,0.0,0.069715604,0.0,0.13137065,0.0,0.0050405245,0.034534216,0.030972384,0.0,0.0,0.0,0.052830312,0.0,0.12013021,0.0,0.03961172,0.11107447,0.0,0.0,0.060446493,0.23349798,0.0,0.09658088,0.005764462,0.0,0.0,0.21417949,0.0,0.0,0.0,0.08189972,0.0,0.07765177,0.15360036,0.0,0.0,0.0,0.0024916083,0.0,0.12594648,0.013763711,0.0,0.0,0.0,0.0
SSBP4,0.0,0.0,0.0,0.0,0.22760284,0.0,0.0,0.0,0.1295628,0.0,0.0676409,0.0,0.0,0.0,0.0,0.0,0.07050045,0.08188548,0.0,0.0,0.03028699,0.0,0.0,0.029994838,0.046396658,0.0,0.0,0.031419165,0.16246977,0.19814709,0.0,0.0,0.0,0.0,0.10802013,0.16778392,0.119794525,0.0,0.0,0.0,0.08170224,0.11264363,0.0,0.0,0.10978207,0.0,0.12066243,0.077914886,0.11296707,0.04654513,0.069301404,0.0,0.15160322,0.0,0.0,0.0,0.0,0.0,0.11344494,0.0,0.0,0.028629377,0.0,0.02393338,0.11111824,0.007476922,0.0,0.0,0.021560961,0.0,0.0,0.0,0.0,0.09113401,0.075786605,0.071653225,0.0,0.0,0.045219492,0.0,0.0,0.092784025,0.0,0.0,0.122293055,0.006937556,0.0,0.06820426,0.013159726,0.031995296,0.0692499,0.0,0.0,0.061203003,0.0,0.0,0.020189822,0.0,0.0,0.086444736,0.0,0.1268191,0.0,0.005547218,0.019912435,0.0,0.0,0.0,0.08085934,0.0,0.0,0.0,0.0,0.0,0.0405308,0.0,0.0315506,0.08040968,0.0,0.019379262,0.0,0.0,0.0,0.1226119,0.0140172765,0.0,0.0,0.0
APBB1,0.004248571,0.0,0.0,0.0,0.30296338,0.0,0.0,0.0,0.15845397,0.0,0.07798224,0.0,0.0,0.0,0.0,0.0,0.050954223,0.11007971,0.0,0.0,0.0,0.0,0.013001658,0.03566109,0.07154154,0.0,0.0,0.0,0.19141749,0.23714052,0.0,0.0,0.0,0.0,0.12114258,0.25141662,0.15391615,0.0,0.0,0.0,0.1355983,0.172517,0.0,0.0,0.18151525,0.0,0.09303422,0.05295151,0.17512074,0.050091784,0.08031868,0.0,0.24262373,0.0,0.0,0.0,0.0,0.0,0.19004993,0.0,0.0022017844,0.061704375,0.0,0.0,0.14046432,0.0,0.0,0.0,0.05446855,0.0,0.0,0.0,0.0,0.14517653,0.14695178,0.08141487,0.0,0.0,0.013143498,0.0,0.0,0.15027079,0.014231626,0.0,0.09032564,0.04847472,0.0,0.08375695,0.0,0.08851358,0.050367147,0.0,0.0,0.045602627,0.0,0.0,0.00051890686,0.0,0.0,0.06336944,0.0,0.14449155,0.0,0.0,0.054665916,0.0,0.0,0.0,0.1378597,0.0,0.0,0.0,0.0,0.0,0.051994964,0.0,0.06010001,0.06385228,0.0,0.0,0.0,0.0,0.0,0.15663034,0.0,0.0,0.0,0.0
SEMA4C,0.06848292,0.0,0.0,0.026563384,0.21194506,0.0,0.0,0.0,0.050221138,0.0,0.03876219,0.0,0.0,0.0,0.0,0.0,0.0,0.059783258,0.0,0.0,0.09246733,0.0,0.0,0.15105969,0.025100179,0.006743919,0.0,0.0,0.13708654,0.10271668,0.0,0.0,0.0,0.0,0.026775718,0.10956343,0.09124892,0.0,0.01193431,0.0,0.10217262,0.12437062,0.0,0.0,0.14471342,0.0,0.017357867,0.021131799,0.08023592,0.0,0.03898321,0.0,0.16470157,0.0,0.0,0.0,0.0,0.0,0.18400876,0.0,0.0,0.017711816,0.0,0.0,0.08815873,0.0,0.0,0.0,0.017996168,0.0,0.0,0.0,0.0,0.060574975,0.05835416,0.0,0.0,0.0,0.0,0.0,0.0,0.07434701,0.0,0.0,0.025489412,0.04842431,0.0,0.032843504,0.08687528,0.17581332,0.0,0.0,0.0,0.02505689,0.0,0.0,0.069148794,0.0,0.0,0.0,0.0,0.07096061,0.0,0.03316173,0.0,0.0,0.0,0.0,0.01809582,0.0,0.0,0.0,0.0,0.0,0.13571066,0.0,0.1348789,0.028322324,0.0,0.0,0.0,0.0,0.0,0.13253042,0.0,0.0,0.0,0.0
