,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
KRT8,0.019300476,-0.02159047,0.0108293705,0.026943143,0.03687644,-0.026868043,-0.0338251,-0.021225067,-0.03274462,0.021509511,-0.020179577,-0.017341599,0.029206764,-0.014328618,0.02639214,0.030857429,-0.01032985,-0.016793424,0.008663712,0.023385776,0.02367843,-0.029301606,-0.028732719,0.032689195,0.040942304,-0.031964093,-0.028835341,-0.023438506,0.02476903,-0.024697177,0.024347879,0.030002866,0.028884241,0.03193938,0.024911901,0.029027408,0.031850267,-0.024566488,0.027371269,0.010172479,0.018608075,-0.022746012,0.023544898,-0.034515813,-0.01377208,-0.020475568,-0.026481867,-0.02370589,-0.023195911,0.020502856,0.01880104,0.024080344,-0.015285373,0.037926413,0.012503546,0.025215648,0.02237432,0.025122676,-0.027262837,-0.01759877,0.027408116,0.0225171,0.029731471,0.021572575
APPBP2,0.038699508,-0.049253892,0.02967354,0.037850764,0.06289619,-0.054749437,-0.06597173,-0.034954615,-0.06385699,0.0461464,-0.04708336,-0.044434972,0.061991528,-0.04797544,0.05896157,0.0584191,-0.018314157,-0.044636786,0.014811905,0.051543593,0.033953287,-0.046218324,-0.06051738,0.054446395,0.06515081,-0.06467741,-0.037258156,-0.05426039,0.043566782,-0.043798976,0.03822691,0.05784502,0.04621457,0.06439456,0.053860582,0.050858494,0.049365148,-0.05468277,0.045585647,0.026700787,0.03539264,-0.04965499,0.058413006,-0.06997829,-0.03590565,-0.05011674,-0.029956758,-0.06873734,-0.037103567,0.057364494,0.04571423,0.052860588,-0.043741938,0.064279504,0.033380467,0.045227412,0.05584846,0.045245726,-0.058170762,-0.040023427,0.047297534,0.04577566,0.059542593,0.043283768
GM24455,-0.08414349,0.075167194,-0.077504374,-0.07019544,-0.08968054,0.0958065,0.116276085,0.034091882,0.12152484,-0.07029163,0.07937962,0.090086445,-0.09697973,0.10843899,-0.10801867,-0.09187726,-0.0017310232,0.1014677,-0.033665657,-0.09523149,-0.06447324,0.08264621,0.09278186,-0.06480561,-0.103142425,0.091945246,0.064301506,0.09024787,-0.075104155,0.0745659,-0.09246393,-0.10422464,-0.058317322,-0.111791685,-0.12112171,-0.096249975,-0.059856102,0.11282701,-0.0739658,-0.067733295,-0.076451845,0.085522726,-0.07655133,0.09121673,0.10428314,0.110232905,0.04365459,0.12822367,0.093716376,-0.08973102,-0.10702728,-0.08837173,0.059826232,-0.0935099,-0.076079205,-0.060223483,-0.117796734,-0.08182645,0.108069256,0.072008334,-0.05636618,-0.06306427,-0.10583842,-0.10949453
GM26280,-0.08217333,0.07413766,-0.0682068,-0.076887295,-0.08880091,0.09003734,0.120157346,0.035841525,0.12612464,-0.06715946,0.077797726,0.085609436,-0.0972173,0.10856424,-0.11427919,-0.08734659,-0.0015078336,0.10169704,-0.027704462,-0.095416576,-0.072608575,0.08021685,0.08950435,-0.070270404,-0.10839768,0.09165943,0.07189162,0.08443902,-0.06970271,0.072038785,-0.091807485,-0.10689774,-0.060459692,-0.11074734,-0.12067441,-0.09569774,-0.05674883,0.11625626,-0.06977174,-0.06355691,-0.06910635,0.08659278,-0.075168274,0.08748154,0.107708536,0.10529548,0.05366911,0.1257439,0.096055284,-0.084801555,-0.10674673,-0.08590581,0.05692701,-0.09051691,-0.07858005,-0.06049212,-0.11743045,-0.078909874,0.10506593,0.070289314,-0.061372917,-0.061090454,-0.10545177,-0.10789844
SOX2,0.04232774,-0.08118357,0.041630402,0.059952285,0.05278116,-0.08061968,-0.0788036,-0.051490158,-0.0890768,0.029476956,-0.043525573,-0.06934989,0.02586195,-0.009769967,0.0984727,0.05538112,0.0050033927,-0.08199332,-0.003527511,0.033819057,0.08606387,-0.06998068,-0.08243666,0.020746443,0.07990219,-0.047950957,-0.026798353,-0.035730217,0.055285078,-0.036723666,0.09806851,0.011315202,0.04229978,0.03794044,0.07564236,0.06732231,0.103936054,-0.078308925,0.068951726,0.049564064,0.028162764,-0.05815568,0.058547635,-0.06773048,-0.049447812,-0.0849738,-0.053517625,-0.07541847,-0.06344113,0.07670437,0.065381914,0.04920027,-0.06438601,0.066575244,0.060381826,0.052088074,0.041531146,0.11473198,-0.04552109,-0.045546126,0.029461043,0.039422877,0.054133523,0.041080583
GM37746,-0.08726412,0.07699345,-0.08099018,-0.07330419,-0.09007545,0.09798699,0.11960633,0.03688343,0.124487355,-0.072128184,0.08209638,0.08957645,-0.09897634,0.109680526,-0.112213336,-0.09346587,-0.0017667189,0.10409708,-0.035264306,-0.099132374,-0.06745085,0.08401162,0.09590889,-0.067674406,-0.106274396,0.09433906,0.06720784,0.09241834,-0.07703971,0.07701217,-0.09422639,-0.10518485,-0.05958866,-0.11411366,-0.12555468,-0.0988869,-0.060699508,0.11499252,-0.077446416,-0.069028564,-0.07917573,0.0878893,-0.079681896,0.09379344,0.10669091,0.11222108,0.04507511,0.13139862,0.09698985,-0.092422426,-0.10987595,-0.09026501,0.061014056,-0.09566733,-0.07781064,-0.062061675,-0.11914787,-0.08329031,0.11014463,0.07631481,-0.057299968,-0.06314703,-0.108292446,-0.11219524
LEFTY2,-0.004657991,0.002368372,-0.0003017187,-0.003424015,-0.0051353313,0.012702955,0.00989132,-0.011615928,0.016344547,0.00023851916,0.011611719,0.012567915,-0.0066861967,0.023938902,-0.015525196,-0.005660683,0.009629011,0.005422104,-0.010902971,-0.0072233137,0.015240215,-0.016198117,-0.00510359,-0.007521618,-0.009056121,0.00622952,0.005376637,0.00883504,-0.0015431968,0.0023405626,-0.008099409,-0.021034274,-0.0035229065,-0.014548449,-0.009474745,-0.012151321,0.028340511,0.013181923,0.002691701,-0.0035911128,0.007770203,0.0040768236,-0.0013693497,-0.006493844,0.0067528617,0.007070774,-0.0031028688,0.01031417,0.00961731,-0.00039293244,-0.007090293,-0.0069622807,-0.0022888407,-0.010746952,-0.023223627,0.016892865,-0.009232924,0.010116994,0.0048093423,0.006469704,0.0048251003,-0.0041652396,-0.0018364415,-0.004544734
SSBP4,0.047177114,-0.047817554,0.033544637,0.029475916,0.06361682,-0.058250852,-0.06380749,-0.048409894,-0.06461537,0.052080415,-0.044298027,-0.052115288,0.05668474,-0.049969148,0.047476888,0.053939283,-0.012956552,-0.04797233,0.020662958,0.05351954,0.03299681,-0.059697863,-0.0705904,0.034364086,0.057799634,-0.06316109,-0.030172244,-0.05274612,0.053510502,-0.045354635,0.03812909,0.044511516,0.035855282,0.060698625,0.062398866,0.053842053,0.067768335,-0.051617198,0.053169698,0.038542584,0.05142942,-0.05473432,0.058094792,-0.06807252,-0.043213166,-0.0557039,-0.013165176,-0.061534278,-0.032609474,0.055719264,0.04547742,0.058952186,-0.044433873,0.0597081,0.016717147,0.057118356,0.06519757,0.060517732,-0.06287351,-0.040911052,0.033851363,0.04505548,0.05583803,0.046765134
APBB1,0.054439478,-0.057329867,0.040744178,0.04059669,0.07238789,-0.06458465,-0.07626113,-0.0523048,-0.07569554,0.05921513,-0.053143967,-0.056495585,0.07022232,-0.05911581,0.063605905,0.06617254,-0.015306547,-0.059266374,0.02199214,0.063663825,0.044408657,-0.06467031,-0.0810855,0.05266233,0.06996651,-0.07533832,-0.042773403,-0.065591976,0.055621356,-0.049956493,0.0449064,0.057908073,0.046717294,0.07514125,0.07266658,0.06252869,0.067309074,-0.065036006,0.05749707,0.04207518,0.0537265,-0.061758425,0.069723055,-0.08074315,-0.052504577,-0.06679422,-0.02456908,-0.076258674,-0.04234429,0.06899788,0.05599758,0.06802321,-0.051468186,0.0701724,0.029901642,0.05956581,0.07531577,0.0677952,-0.07133889,-0.051244188,0.04744817,0.053243894,0.068095714,0.05268766
SEMA4C,0.024963833,-0.025201466,0.017351221,0.027668875,0.040305972,-0.031284846,-0.036275595,-0.030269898,-0.037119236,0.027639795,-0.02723803,-0.025191166,0.032424036,-0.019936945,0.029101845,0.030607857,-0.007974591,-0.024930263,0.01152776,0.029457407,0.028238624,-0.04117384,-0.037411533,0.02954882,0.038812403,-0.038560532,-0.027566954,-0.029328804,0.03122719,-0.02549889,0.02446286,0.02618277,0.027977293,0.035617005,0.032091454,0.03309208,0.044321887,-0.02577527,0.030985704,0.014449514,0.025986789,-0.030255303,0.030785311,-0.041749716,-0.021903554,-0.027364856,-0.023198284,-0.03024558,-0.022148672,0.02824671,0.021628251,0.033430904,-0.01922112,0.039435662,0.009283442,0.03497843,0.029871054,0.03536419,-0.03300153,-0.025176086,0.023619961,0.024666097,0.033898253,0.025236014
