,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
MTFR1,0.5301552,0.54124296,0.50031054,0.52025896,0.5481912,0.4753822,0.6022228,0.47307658,0.47093505,0.54177815,0.5372511,0.41547427,0.50006944,0.45114398,0.5403226,0.5366319,0.49784598,0.4580758,0.4645676,0.5038433,0.52760226,0.42984873,0.47609,0.47187325,0.5034484,0.5590203,0.4502125,0.5307603,0.5156428,0.42795387,0.6132084,0.5148964,0.43542296,0.5107674,0.51332605,0.47467294,0.5200323,0.42734474,0.46945184,0.46510392,0.48286,0.45383254,0.4960738,0.53202844,0.4069341,0.47654596,0.46432224,0.44245514,0.30997992,0.44101602,0.45506066,0.52216417,0.3336826,0.5688276,0.46714568,0.36184362,0.6222346,0.5737426,0.4624817,0.52075034,0.4651985,0.5273944,0.5420052,0.54975414,0.55236405,0.47183737,0.43538103,0.5108287,0.40037626,0.5779665,0.49021167,0.51138425,0.4647551,0.4405288,0.5284075,0.468315,0.46729892,0.5360264,0.5415333,0.39069444,0.5126576,0.46712664,0.477646,0.43514356,0.46561256,0.42872664,0.5394187,0.5177234,0.48692062,0.43964648,0.5044845,0.48728985,0.49059516,0.4615647,0.50844896,0.41244352,0.4202941,0.60183555,0.47742635,0.5525712,0.45278057,0.46113822,0.5548,0.43203053,0.43541375,0.48236212,0.4828062,0.49495223,0.49310768,0.44653013,0.5430573,0.5323561,0.58365625,0.5468063,0.4737257,0.45750558,0.48068562,0.45616645,0.5194523,0.4790656,0.45532563,0.49281892,0.50598985,0.5186978,0.44439715,0.5481199,0.513622,0.45843044
CD93,0.5201639,0.5532946,0.51939213,0.52583456,0.5404537,0.4421571,0.54004383,0.4834877,0.5050607,0.5442513,0.49953836,0.40014014,0.49282923,0.46697766,0.5504773,0.5405879,0.5191157,0.46175292,0.40638345,0.51371807,0.55825967,0.46233112,0.47607538,0.48133543,0.53975695,0.53374183,0.44796577,0.5313557,0.52348673,0.48044422,0.6187697,0.49227476,0.45708203,0.5146959,0.5263506,0.49946246,0.5426275,0.4490056,0.48757246,0.5003361,0.52080935,0.47966546,0.5261763,0.5348088,0.43447703,0.44852543,0.51312566,0.45766762,0.35820144,0.42816812,0.46480072,0.5350541,0.37549666,0.5814503,0.45605594,0.39610922,0.6028628,0.5866148,0.4767507,0.5063006,0.4715941,0.59665054,0.5226269,0.552166,0.5128803,0.41978386,0.4241132,0.5233558,0.37651047,0.53901017,0.46818158,0.50945354,0.5065193,0.4352696,0.5486744,0.43268734,0.41378653,0.5362708,0.53632164,0.43646085,0.4865741,0.5187405,0.48220068,0.46431237,0.50088066,0.42714655,0.5047028,0.51393265,0.46083778,0.4948904,0.4925342,0.56128186,0.54205906,0.44629857,0.5010684,0.40547168,0.43105617,0.5548439,0.4681145,0.55463916,0.46515134,0.4276855,0.5300395,0.4703475,0.49031895,0.54945165,0.49917608,0.4571907,0.502408,0.46611446,0.5454011,0.52098775,0.5642598,0.5233114,0.45683306,0.46104756,0.4803956,0.44914714,0.5086094,0.51318884,0.47214124,0.48574284,0.4996087,0.5372571,0.44789124,0.5683465,0.515954,0.4493974
WDR5,0.4934652,0.5749164,0.4896902,0.48416567,0.51012343,0.38993835,0.57148516,0.45714784,0.4808002,0.5918423,0.53763187,0.42753688,0.47383383,0.41618243,0.5513386,0.49891576,0.50543374,0.41638884,0.42442968,0.51754266,0.62950313,0.44556358,0.50433725,0.45521918,0.47781256,0.5641854,0.45263663,0.5482564,0.52900726,0.4452621,0.66609985,0.49661028,0.43821573,0.5559272,0.5389729,0.41082248,0.51626205,0.4063729,0.42128497,0.46243277,0.43054995,0.4218868,0.5347352,0.5812243,0.33679697,0.5068524,0.46598205,0.371867,0.34513852,0.41117817,0.40024582,0.5491022,0.31110984,0.6438318,0.40557137,0.3712207,0.6424713,0.6258783,0.44344854,0.5656773,0.4501499,0.5816807,0.5303085,0.52300113,0.58297503,0.4147392,0.39035878,0.46083736,0.31949234,0.61282074,0.49278858,0.49032158,0.44678462,0.41889864,0.5518117,0.42469165,0.45805657,0.59463745,0.53582954,0.39178583,0.5593283,0.4982488,0.4314859,0.40162778,0.46062946,0.39657015,0.5164961,0.5275292,0.50200325,0.3671128,0.46618924,0.5544352,0.4545447,0.4218056,0.4999721,0.38456255,0.4391303,0.6252579,0.48982993,0.55431634,0.4525041,0.4810076,0.6053085,0.441821,0.41680363,0.45595297,0.42808324,0.42890683,0.50569504,0.40136042,0.55301744,0.55294836,0.6351965,0.5577872,0.47582158,0.41108677,0.48352492,0.43620592,0.48919025,0.56796175,0.5386039,0.40049165,0.53130144,0.4981015,0.40657088,0.55377704,0.5365419,0.42905834
JAK3,0.5187048,0.5327677,0.51357377,0.520293,0.5375213,0.46440002,0.5451723,0.4859584,0.48858204,0.52414787,0.49971098,0.41981983,0.4906526,0.47596806,0.53215873,0.53362423,0.5022706,0.4733707,0.4357137,0.504484,0.5253675,0.44584918,0.465427,0.46821305,0.5191814,0.5439399,0.44884098,0.5303849,0.5175334,0.45028558,0.5999235,0.50157636,0.453275,0.51560163,0.5122885,0.47914445,0.53121823,0.44045174,0.49115792,0.48318437,0.502285,0.4795416,0.5096957,0.51923215,0.4353953,0.47164425,0.4997799,0.4607952,0.3378364,0.4481502,0.4619738,0.5091481,0.36531547,0.55989414,0.46066123,0.3903264,0.58645105,0.5713346,0.47352794,0.50824726,0.47831455,0.5528105,0.5398954,0.5401858,0.51505536,0.45467123,0.44396535,0.5174582,0.4173749,0.5478747,0.479862,0.5074132,0.48541403,0.43691787,0.53910995,0.45273983,0.43991727,0.52449274,0.5402883,0.42645133,0.47914296,0.49421433,0.49071786,0.4597076,0.4887432,0.43923312,0.5193833,0.5122306,0.46419016,0.48601773,0.5001639,0.5172483,0.5106075,0.47257432,0.50588775,0.40842324,0.438586,0.55992025,0.46862277,0.5524827,0.46429524,0.43980202,0.523642,0.45332786,0.477253,0.52162206,0.5127496,0.47794473,0.4993074,0.46080604,0.533157,0.5242532,0.5540544,0.5224231,0.47170377,0.47567722,0.48776755,0.45827985,0.50696516,0.49892515,0.47134733,0.49859324,0.5117963,0.52789944,0.4648073,0.5500045,0.50784767,0.46491396
GSTM5,0.5170191,0.53331107,0.5273847,0.52151006,0.5435725,0.4805542,0.55747885,0.51231647,0.52198446,0.5239612,0.51116914,0.39565173,0.49076885,0.46093693,0.56458336,0.55668336,0.5196173,0.46978116,0.40392697,0.49932036,0.51414734,0.44968796,0.49826038,0.4747817,0.54256624,0.53084064,0.47366863,0.49913424,0.52927125,0.44310918,0.576814,0.48467222,0.46052983,0.5117335,0.53040826,0.4957266,0.55791473,0.46553525,0.5244739,0.51793253,0.4918298,0.48522878,0.49530333,0.5079887,0.4392293,0.4454251,0.52259994,0.48473462,0.35195643,0.44880798,0.46998146,0.5205145,0.3807511,0.566814,0.44139296,0.37793958,0.5692365,0.5621472,0.4966003,0.4909794,0.46212482,0.53411895,0.5370249,0.53571534,0.4730738,0.4453259,0.43415484,0.528338,0.3992959,0.52886534,0.49241114,0.505523,0.46605003,0.44537795,0.5695244,0.47191802,0.40066096,0.52272224,0.52439106,0.46295324,0.45623377,0.5422982,0.51185435,0.49172062,0.5326133,0.45588166,0.5386355,0.51589966,0.47294712,0.5050441,0.48576888,0.5464425,0.54837865,0.4475158,0.5267904,0.41413444,0.42185697,0.56466913,0.4630013,0.5339582,0.44057778,0.43462417,0.5341861,0.4595852,0.50164425,0.5519191,0.4997574,0.4751155,0.5194043,0.47369596,0.52354705,0.51456505,0.5438087,0.5029457,0.4403018,0.46957973,0.49199152,0.47181237,0.49108207,0.4837626,0.44580516,0.5135931,0.50518024,0.5407472,0.4611784,0.5745965,0.49949124,0.46971372
MTHFD1,0.53229773,0.5520217,0.4946508,0.5310716,0.5538363,0.46394154,0.62006015,0.46998715,0.46021068,0.5427092,0.55088735,0.4083856,0.5065683,0.4531701,0.5432608,0.53493005,0.4922073,0.4519832,0.47502193,0.49679676,0.53850913,0.42241284,0.47042415,0.45810324,0.49662116,0.5709069,0.43456858,0.5386364,0.51395756,0.41929314,0.6385745,0.5216069,0.41967675,0.5129774,0.5087307,0.47106242,0.523095,0.41443244,0.45005164,0.4526343,0.48316887,0.44777405,0.5084245,0.55178314,0.3919372,0.48489586,0.44950902,0.43706965,0.29493147,0.42983022,0.44651824,0.52154726,0.3061547,0.57759637,0.47715032,0.35570562,0.64208394,0.5818678,0.45710224,0.5313252,0.46935526,0.54567045,0.5445612,0.5661468,0.58030444,0.46849582,0.43892732,0.5159864,0.39571592,0.5989449,0.48831517,0.51170045,0.45694584,0.42648792,0.52960926,0.46334964,0.47183117,0.5370461,0.54590803,0.37195167,0.52309424,0.45143175,0.4722404,0.422086,0.45699447,0.4229169,0.5428875,0.5246062,0.49136174,0.42696837,0.50050277,0.47830895,0.48484743,0.45258272,0.51644015,0.40019044,0.41444552,0.61730635,0.47605863,0.5686931,0.46322224,0.4618598,0.5644654,0.41930583,0.42245594,0.47185713,0.48785418,0.50759226,0.49012437,0.43589365,0.5615146,0.5323208,0.60049194,0.5681767,0.47994107,0.45586127,0.4768364,0.45418376,0.52266014,0.48373717,0.45875898,0.493759,0.5074676,0.5262125,0.43584338,0.5568692,0.52162814,0.45678106
ZFP451,0.53410476,0.54041594,0.49993956,0.52536553,0.546077,0.47187325,0.6053329,0.46760535,0.46487582,0.5360246,0.5407337,0.42047536,0.4994055,0.45442465,0.5252178,0.5247625,0.4894597,0.45742214,0.47062054,0.51037234,0.5299189,0.4272447,0.4677049,0.47212034,0.496841,0.5660323,0.4406729,0.5362359,0.5107125,0.43186074,0.6262027,0.5161288,0.43107858,0.50732446,0.51036274,0.4697535,0.5168961,0.42041442,0.46024427,0.45639357,0.4836632,0.4510991,0.50802517,0.5411581,0.398757,0.4801933,0.45806327,0.43500668,0.3060534,0.43799427,0.4489038,0.51597273,0.3274128,0.5635718,0.46886426,0.36057404,0.63109916,0.5725623,0.4541675,0.52936363,0.46692842,0.54091674,0.5402336,0.5495299,0.5636244,0.46440968,0.43878862,0.50444645,0.3943514,0.58445215,0.48423117,0.5129687,0.47412124,0.4291811,0.5279425,0.463005,0.47877297,0.531841,0.5438121,0.3811484,0.51100934,0.4557127,0.47375172,0.4210667,0.45602146,0.42748082,0.53913504,0.5203824,0.49144515,0.43509865,0.5091537,0.4838553,0.48239923,0.46161926,0.51018417,0.40733436,0.42475024,0.60437655,0.4823372,0.56216884,0.4595168,0.4653686,0.55135804,0.42225733,0.42480245,0.4768584,0.4810745,0.49569145,0.49518153,0.4409749,0.54923916,0.5332789,0.5942424,0.5477011,0.48667723,0.4589185,0.48108092,0.4494862,0.52101296,0.48532596,0.46072996,0.48830846,0.5125182,0.5126543,0.43750387,0.5461016,0.5131016,0.45664078
HMGB2,0.5349968,0.5698237,0.49531242,0.53288794,0.56993496,0.45100722,0.6635271,0.4541909,0.4437335,0.56977415,0.58443373,0.40674043,0.5106329,0.42983577,0.5567108,0.5309464,0.48548636,0.43691856,0.4934387,0.5063975,0.5627853,0.40984336,0.4546675,0.45383844,0.48299816,0.58425474,0.43177915,0.55680996,0.5137909,0.41171196,0.6605577,0.5325139,0.3972546,0.50515723,0.5082869,0.46345177,0.516842,0.4005197,0.41716403,0.44233036,0.4816465,0.43277574,0.51827633,0.56896734,0.35668162,0.49752158,0.4327183,0.41302988,0.2650497,0.41304266,0.4299838,0.5400021,0.27118093,0.5977243,0.46770474,0.33124682,0.67831594,0.6023345,0.44018117,0.54635733,0.4595692,0.5633585,0.5334773,0.57864136,0.62469465,0.46647123,0.42746773,0.5112477,0.36817765,0.6375957,0.4762091,0.5249805,0.45771477,0.41323933,0.52714527,0.4666671,0.48660845,0.5387741,0.5558133,0.34229845,0.5643261,0.41732806,0.4654997,0.40101826,0.43479207,0.4051356,0.5473813,0.5294765,0.5025804,0.394861,0.5078358,0.48013556,0.47357252,0.44464648,0.52245516,0.388716,0.39983916,0.64416766,0.49014264,0.58721715,0.4739332,0.4712975,0.59102035,0.4118829,0.3738628,0.45932367,0.46829778,0.51230425,0.49426523,0.41926184,0.58664757,0.54862577,0.63914394,0.5921281,0.48322988,0.44850242,0.4641526,0.4376041,0.54227924,0.49253523,0.45495787,0.49397254,0.5137061,0.5124154,0.41092855,0.56090117,0.53107226,0.4455668
CASP1,0.51939917,0.5415419,0.5288115,0.51430774,0.5412416,0.4584985,0.52267545,0.50256115,0.51445264,0.54028946,0.5092846,0.38931334,0.49608752,0.4832947,0.56616634,0.55628633,0.5253221,0.46559152,0.38575867,0.51801276,0.5609138,0.46678385,0.5032822,0.48755533,0.5402327,0.5260068,0.4545218,0.51825553,0.5398269,0.478231,0.5868233,0.4659387,0.47172213,0.51361924,0.54904133,0.5067237,0.5502561,0.45923296,0.5115327,0.5124404,0.50488496,0.484766,0.5280862,0.5273303,0.4512964,0.4376273,0.5236905,0.4779594,0.38336977,0.43918806,0.48140052,0.54216796,0.39577702,0.58255136,0.44226614,0.39626837,0.5883741,0.58651215,0.4938261,0.49891922,0.46811715,0.5940727,0.50943935,0.54494756,0.48233178,0.4130719,0.41714638,0.5229441,0.36225078,0.51381296,0.47177994,0.49825776,0.5037525,0.44626883,0.56398886,0.4426857,0.41082203,0.52970463,0.5272049,0.46435592,0.47392565,0.5492167,0.49086788,0.4841926,0.528096,0.43224335,0.5204931,0.50482327,0.47018647,0.5068302,0.46102038,0.572775,0.5557696,0.4371585,0.5110674,0.40472648,0.42997,0.5400695,0.4723988,0.5346341,0.4582132,0.42238486,0.5286341,0.47891292,0.51759917,0.5648637,0.48375216,0.45135888,0.5037301,0.4642227,0.52073634,0.5138843,0.5430621,0.50181717,0.44433412,0.46045724,0.49291518,0.45349947,0.4805454,0.50350046,0.47456953,0.48556396,0.47372872,0.5357862,0.46610582,0.57894886,0.5016944,0.4590483
JUN,0.4478363,0.6107983,0.47906804,0.47297388,0.49169102,0.33874685,0.57277554,0.45943466,0.4779899,0.63348246,0.55613834,0.41539326,0.48247302,0.38397208,0.5873966,0.5082914,0.51655716,0.36662287,0.38367012,0.53489816,0.69278234,0.45090908,0.53680164,0.45341855,0.4670366,0.5378724,0.46005955,0.55708873,0.5488314,0.48425075,0.69366235,0.49572027,0.451251,0.5703472,0.55367607,0.41914564,0.4965545,0.4113685,0.41057143,0.45323384,0.40035492,0.39885658,0.57444155,0.6094669,0.3151375,0.51858383,0.47249413,0.35821196,0.37001908,0.37856013,0.36457023,0.58709097,0.30938172,0.7029806,0.37407035,0.40038916,0.6758144,0.6845754,0.430131,0.5611074,0.42096287,0.6400331,0.49963555,0.5168935,0.60748917,0.37949917,0.33967015,0.45750797,0.25679958,0.6016257,0.47693694,0.48921353,0.45937428,0.39466682,0.56151116,0.4107838,0.42086083,0.6375306,0.5501743,0.40359655,0.6044191,0.5550162,0.38860795,0.3861652,0.4606956,0.35479355,0.49328625,0.5262071,0.51069874,0.3326372,0.4282422,0.6183398,0.47319373,0.38166365,0.48217174,0.36516428,0.42578655,0.6338311,0.49393055,0.56008625,0.44103637,0.49873683,0.6657807,0.4660727,0.41550446,0.45431793,0.37175548,0.37118945,0.5237962,0.3891856,0.5672855,0.57568926,0.6432926,0.5633897,0.45625055,0.37997833,0.45591402,0.4181507,0.48201248,0.6275058,0.57102865,0.37430316,0.50623965,0.49966067,0.37826642,0.57020855,0.55671465,0.4105434
TLE2,0.5057909,0.5831376,0.5307498,0.5729057,0.6055801,0.46058768,0.5099619,0.5821265,0.57993704,0.51711696,0.54994273,0.31434345,0.5485659,0.4989642,0.6099918,0.59011775,0.5676568,0.4538288,0.31029135,0.504475,0.5302405,0.4702261,0.5079833,0.51445496,0.5824673,0.54576135,0.4767983,0.4962615,0.5472928,0.43379724,0.5763292,0.40960556,0.41833177,0.4853559,0.624341,0.5742749,0.6350457,0.5115681,0.5691988,0.60546917,0.53130484,0.48443073,0.5235143,0.569712,0.43902183,0.3749568,0.58300513,0.5207475,0.40032214,0.42821062,0.5148805,0.58382946,0.3638181,0.5626214,0.42132536,0.33404693,0.5958254,0.56934124,0.5333251,0.4639375,0.4522855,0.5922959,0.5212963,0.5721032,0.41148302,0.34150663,0.39244077,0.5263007,0.3030135,0.53711057,0.46720135,0.46597925,0.432535,0.41808102,0.63885117,0.46311107,0.3342285,0.4884931,0.45687425,0.5113699,0.39119235,0.6196345,0.565285,0.56136376,0.62561274,0.42463005,0.56701225,0.5055374,0.4864273,0.59154,0.38283616,0.61595106,0.64297813,0.37962496,0.5695016,0.35943028,0.37871984,0.5029564,0.4482346,0.5684121,0.4379362,0.34686574,0.5308062,0.46668127,0.50926715,0.6426232,0.46513864,0.47549868,0.5096017,0.459559,0.5547781,0.4797606,0.5548646,0.520033,0.4198135,0.46292713,0.512901,0.482514,0.42312026,0.4590949,0.44930014,0.5086828,0.45172048,0.5390947,0.4356451,0.677248,0.45903835,0.4964918
