,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
MTFR1,0.0,0.28732026,0.0,0.0,0.5566677,0.0,0.6050268,0.07584745,0.0,0.0,0.18693563,0.0,0.30483484,0.12701324,0.0,0.18862322,0.4481267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20109868,0.0,0.0,0.0,0.47738302,0.3321521,0.0,0.14424393,0.0,0.2692544,0.0,0.0,0.0,0.0,0.05013603,0.0,0.0,0.17957735,0.32095683,0.0,0.0,0.0,0.0,0.02294191,0.0,0.19596377,0.0,0.0,0.38201728,0.0,0.21260616,0.13396138,0.1435814,0.16003422,0.0,0.066846624,0.16043162,0.21716341,0.21896774,0.051622834,0.0,0.15250908,0.0,0.37640676,0.0,0.112202,0.0,0.0,0.0,0.0,0.0,0.0,0.016696274,0.0,0.1583665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19195598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44623896,0.0,0.35005692,0.2885128,0.0,1.0330435,0.0,0.18695107,0.14529553,0.41627392,0.0,0.0,0.0,0.55330306,0.0,0.29537964,0.14978158,0.0,0.0,0.0,0.0,0.0,0.049687482,0.051197793,0.0,0.0,0.0,0.0,0.0,0.0,0.27875456
CD93,0.04920308,0.220251,0.72941506,0.0,0.043837223,0.19923124,0.31719255,0.0,0.0,0.0,0.0,0.0,0.0,0.18124083,0.43322894,0.08489266,0.0,0.0,0.0,0.19982153,0.0,0.0,0.0,0.0,0.58004653,0.0,0.0,0.0,0.0,0.0,0.40231276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2403039,0.07133571,0.20555009,0.0,0.6798992,0.0,0.0,0.23719798,0.0,0.0,0.0,0.0,0.0,0.20894904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15064341,0.32013562,0.20415199,0.0,0.0,0.56030345,0.179041,0.0,0.0056236694,0.0,0.27163103,0.0046612397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24549139,0.0,0.0,0.0,0.0,0.0,0.10989411,0.0,0.0,0.0,0.0,0.0,0.3641464,0.0,0.9392918,0.0,0.51834273,0.0,0.5603092,0.0,0.0,0.0,0.0,0.0,0.0699606,0.0,0.0,0.36951822,0.0,0.0,0.0,0.038873352,0.0,0.54787225,0.0,0.0,0.0,0.0,0.0,0.27618024
WDR5,0.24042405,0.7513345,0.5654085,0.0,0.5982631,0.73437405,0.0,0.0,0.0,0.0,0.40610504,0.0,0.55130994,0.17724043,0.1708585,0.21029681,0.763916,0.0,0.0,0.23284987,0.0,0.0,0.0,0.0,0.32993734,0.6878757,0.014239877,0.07732331,0.14633158,0.0,0.28915536,0.7495333,0.0,0.0,0.0,0.006687373,0.0,0.0,0.0,0.0,0.0,0.0,0.5419853,0.0,0.87907314,0.0,0.0,1.0467917,0.0,0.0,0.7085226,0.23730132,0.0,0.0,0.0,0.0,0.0,0.086496614,0.0,0.10858542,0.19236018,0.0,0.71736336,0.09465081,0.5904195,0.0039360374,0.0,0.108210444,0.0,0.24716495,0.0,0.56809837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0317537,0.0,0.0,0.0,0.0,0.0,0.07435448,0.0,0.0,0.0,0.0,0.5222609,0.0,0.0,1.2716191,0.0,0.47967476,0.0,0.85718465,0.0,0.0,0.0,1.0637596,0.0,0.15302287,0.46871778,0.0,0.44382495,0.32218397,0.0,0.0,0.0,0.47216663,0.45810455,0.0,0.0,0.0,0.0,0.0,0.0
JAK3,0.0,0.3415845,0.2542419,0.0,0.13850874,0.030164503,0.41092256,0.0,0.0,0.0,0.0,0.0,0.0,0.11781172,0.14564152,0.03569524,0.17567286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05186738,0.0,0.0,0.0,0.0,0.0,0.31869602,0.08958699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12553732,0.057866715,0.0,0.041450538,0.38772124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10788873,0.069941625,0.0,0.0,0.0,0.04345138,0.052258212,0.0,0.006816156,0.2558921,0.2175856,0.0,0.025006354,0.108971566,0.059896946,0.0,0.1756249,0.0,0.13728231,0.044076495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24471885,0.0,0.0,0.0,0.0,0.0,0.011154162,0.0,0.0,0.1600852,0.0,0.032982055,0.30269533,0.0,0.87692225,0.0,0.32734683,0.0,0.25419745,0.0,0.0,0.0,0.13769238,0.0,0.14350858,0.0,0.0,0.1489315,0.0,0.0,0.0,0.0,0.0,0.18700364,0.0,0.0,0.0,0.0,0.0,0.3471155
GSTM5,0.026929047,0.0,0.29480264,0.0,0.1552082,0.0,0.19549914,0.16021234,0.0,0.0,0.0,0.0,0.14945325,0.16111585,0.03933874,0.121531546,0.15205006,0.0,0.25282326,0.13771926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04490357,0.0,0.0,0.096627384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41419774,0.0,0.0,0.00947237,0.60964805,0.0,0.0,0.0,0.0,0.19075455,0.0,0.0,0.0,0.2051437,0.12726736,0.0,0.028833993,0.26057312,0.0,0.0,0.0,0.3337982,0.0,0.0064447895,0.05075819,0.0,0.13126317,0.5617172,0.0,0.15813403,0.0,0.3437711,0.3551618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32283118,0.0,0.0,0.0,0.0,0.11460771,0.541826,0.0,0.4279905,0.0,0.25580156,0.00066718087,0.25236833,0.0,0.0,0.0,0.19005151,0.0,0.15906961,0.0,0.0,0.0,0.0,0.0,0.0,0.47305402,0.03482831,0.0,0.0,0.0,0.0,0.0,0.0,0.018232465
MTHFD1,0.0,0.3837466,0.0,0.0,0.58438253,0.0,0.7543519,0.17526768,0.0,0.0,0.18711874,0.0,0.25294816,0.15416792,0.0,0.21269363,0.52639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1567572,0.0,0.0,0.0,0.5591772,0.4804522,0.0,0.09473853,0.0,0.32036984,0.0,0.0,0.0,0.0,0.045234054,0.0,0.0,0.19260699,0.32636285,0.0,0.0,0.0,0.0,0.0,0.0,0.25688797,0.0,0.0,0.38575742,0.0,0.18772978,0.17292699,0.16459414,0.2979345,0.0,0.0,0.34354994,0.3339982,0.34880477,0.042895168,0.0,0.0,0.0,0.52503693,0.0,0.059612226,0.0,0.0,0.0,0.0,0.0,0.0,0.04118269,0.0,0.29451352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24706459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61844933,0.0,0.3696702,0.29733214,0.0,1.2941651,0.0,0.3013397,0.1964509,0.42777738,0.0,0.0,0.0,0.7169466,0.0,0.47149944,0.26862797,0.0,0.0,0.0,0.0,0.0,0.0,0.07953489,0.0,0.0,0.0,0.0,0.0,0.0,0.42299238
ZFP451,0.0,0.40345758,0.0,0.0,0.51611954,0.051314384,0.71600306,0.0,0.0,0.0,0.18143702,0.0,0.16948488,0.12433254,0.0,0.15670055,0.42864278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19215427,0.0,0.0,0.0,0.59965587,0.40007493,0.0,0.0600091,0.0,0.27605903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19612657,0.3028291,0.0,0.0,0.08776055,0.0,0.0,0.0,0.18725991,0.0,0.0,0.26615202,0.0,0.16244887,0.010444738,0.13427477,0.2937277,0.0,0.0,0.3587755,0.32755333,0.2604807,0.1277524,0.0,0.0023677424,0.0,0.37121555,0.0,0.027463576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18053645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32187268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479265,0.0,0.33931196,0.216786,0.0,1.1208875,0.0,0.2684457,0.04029632,0.40158588,0.0,0.0,0.0,0.59471136,0.0,0.2854594,0.2515293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42392346
HMGB2,0.0,0.5956028,0.0,0.0,0.83695334,0.15325606,1.0632551,0.0,0.0,0.0,0.23056096,0.0,0.33671248,0.23189786,0.0,0.22899318,0.7046596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25688636,0.0,0.0,0.0,0.93450487,0.65919685,0.0,0.1530774,0.0,0.4738139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31237015,0.5020041,0.0,0.0,0.13514358,0.0,0.0,0.0,0.2922033,0.0,0.0,0.5367927,0.0,0.32806724,0.15899909,0.23481622,0.43306318,0.0,0.0,0.5359836,0.44985867,0.38588047,0.12602545,0.0,0.0,0.0,0.589977,0.0,0.02424476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3174246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44236934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6721367,0.0,0.686955,0.3861696,0.0,1.7547886,0.0,0.40697148,0.18294133,0.7471721,0.0,0.0,0.0,0.9966837,0.0,0.42613268,0.4576886,0.0,0.0,0.0,0.0,0.0,0.0,0.0028685853,0.0,0.0,0.0,0.0,0.0,0.0,0.609792
CASP1,0.21613985,0.0,0.82619315,0.0,0.0,0.32949275,0.050038327,0.0,0.0,0.0,0.0,0.0,0.0,0.1345506,0.41054052,0.0,0.0,0.0,0.14692655,0.23179445,0.29275057,0.0,0.0,0.0,0.6767564,0.0,0.0,0.16965911,0.0,0.0,0.13317797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38587317,0.0,0.31667706,0.0,0.57993615,0.0,0.0,0.37353817,0.0,0.0,0.0,0.0,0.0,0.20917584,0.0,0.0,0.0,0.022959493,0.0,0.0,0.0,0.2454761,0.024557974,0.0,0.0,0.0,0.69328105,0.34498432,0.0,0.0,0.0,0.26246804,0.10815889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043681245,0.0,0.022393022,0.0,0.0,0.0,0.13074468,0.0,0.0,0.0,0.10724766,0.018199,0.42954138,0.0,0.38122588,0.0,0.37860987,0.0,0.53170246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38407052,0.0,0.0,0.0,0.2894693,0.0,0.56445,0.0,0.1740557,0.0,0.0,0.0,0.0
JUN,0.5572278,0.5947265,1.5137558,0.0,0.54871154,1.4338717,0.14303641,0.0,0.0,0.0,0.43174782,0.0,0.8176909,0.2693975,0.41133392,0.34446338,0.8781946,0.0,0.0,0.53642803,0.0,0.0,0.0,0.0,1.1502262,1.0400441,0.0,0.54100317,0.49127242,0.0,0.15276916,0.69116473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3284754,0.0,1.5945057,0.0,0.0,1.7937156,0.0,0.0,0.98607,0.12970544,0.0,0.0,0.0,0.0,0.0,0.032432966,0.0,0.014146727,0.3260124,0.0,0.56850827,0.04457257,0.44277626,0.0,0.0,0.3957243,0.0,0.0,0.0,0.9881094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88908666,0.0,0.0,0.0,0.0,0.0,0.008482392,0.0,0.0,0.0,0.0,0.6496705,0.0,0.0,1.1143346,0.0,0.8511775,0.0,1.7344565,0.0,0.0,0.0,1.205008,0.0,0.06728258,0.611918,0.0,0.8165059,0.34251064,0.0,0.0,0.0,0.47686344,0.94310653,0.0,0.0,0.0,0.0,0.0,0.0
