,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
MTFR1,-0.017867226,-0.052738998,-0.059135757,-0.06653124,0.007962285,-0.08759999,0.03297725,-0.0076438263,0.062962055,-0.005543243,-0.07327835,0.036444366,-0.027074113,0.04881223,-0.08833417,-0.006759599,-0.059024446,-0.011872165,-0.06792831,0.060791768,-0.036273368,0.07289704,0.044133887,0.09064579,-0.0472854,-0.030480877,0.057690084,-0.08774264,-0.022959191,0.068314895,-0.074366115,-0.048028298,0.023096032,0.0026784828,0.0030147135,-0.054932833,-0.05214273,0.025022171,0.058380067,0.06286284,0.058378376,0.043444246,0.03714762,0.096347325,0.05985578,0.06266482,-0.074928746,-0.05246242,-0.08049357,0.0646927,-0.021605369,-0.058804225,0.056452673,-0.0017320141,-0.08679988,-0.014997229,0.081483364,-0.05922637,0.04639986,0.084151655,-0.019555174,0.058377974,-0.05958383,-0.06690332
CD93,0.036974795,0.06392954,0.08836367,0.09349197,-0.012059914,0.07513583,-0.02469739,0.007422503,-0.05095419,-0.015337862,0.098711886,-0.07280097,0.060606595,-0.09923523,0.084426165,0.030741133,0.039419033,0.059576117,0.061508473,-0.061469205,0.062153194,-0.111042775,-0.057438202,-0.07844007,0.08778609,0.019586377,-0.07775918,0.11926085,0.041018896,-0.06266026,0.11101356,0.051955245,-0.08712893,-0.001921027,0.031390347,0.04697647,0.052212983,-0.075225525,-0.04334297,-0.08809313,-0.06848046,-0.08962275,-0.02732102,-0.12832344,-0.09509962,-0.10838968,0.077146485,0.06631081,0.11973526,-0.061096463,0.0208452,0.087705225,-0.04179836,-0.025986973,0.14067273,0.0006153509,-0.12491372,0.107101806,-0.0025222944,-0.12955126,0.028775249,-0.043225534,0.053475812,0.11055812
WDR5,-0.12514958,0.08935438,0.15212293,0.044089038,0.16690218,-0.010757431,-0.15398528,-0.13878317,0.040412012,-0.23370951,0.079150416,-0.18686114,0.18840608,-0.117176145,0.05701433,0.17268418,-0.05264556,0.22946274,0.018141348,-0.012258358,-0.010930933,0.032917514,0.10711765,-0.079840064,0.11925117,-0.15472835,-0.0028694924,0.09151769,-0.029241163,-0.023342185,0.03901905,-0.041973423,-0.17693171,-0.13086438,-0.12625673,-0.10268407,-0.091462195,0.13935214,0.23652953,-0.09408061,-0.044200215,-0.023180649,-0.17605338,-0.088384405,-0.034188956,-0.122426584,0.072966784,0.07518551,-0.01373262,0.1235829,-0.1311358,0.13362056,-0.13727497,-0.16072223,0.011344017,-0.13028404,-0.13321778,-0.03920698,0.078368224,0.006454479,0.08521448,0.11157026,-0.16499658,0.18415548
JAK3,0.016034942,-0.051699787,-0.040459625,-0.021022364,-0.03972614,-0.037555005,0.055336244,0.03243772,0.025702637,0.03289129,-0.024495862,0.031785972,-0.021285303,-0.010189235,-0.02231031,-0.017753124,-0.015418217,-0.03761045,-0.0140799545,0.02933465,-0.013523854,-0.016478553,-0.023107378,0.063412786,-0.021618456,0.015411943,0.018683089,-0.03606239,0.01071859,0.02169102,-0.005098764,-0.015469432,0.0075298473,0.052212603,0.045274056,0.005872138,0.0035044104,-0.05994166,3.4712255e-05,0.02208073,0.01244184,0.0032660738,0.038341235,0.031893298,-0.0016353056,0.006789457,-0.03810866,-0.032827046,-0.0039331093,-0.00033888593,0.011646483,-0.041263122,0.05328058,0.003560476,-0.007676823,-0.008808244,0.023109999,-0.0013372488,0.017779548,0.00028878078,-0.02384729,-0.0067791734,0.00685852,-0.024479229
GSTM5,0.08788079,0.05815293,0.049103323,0.09552111,-0.05660808,0.11563788,0.016319375,0.07356549,-0.07464562,0.014177978,0.049281515,-0.022226172,0.022684578,-0.048655633,0.053918257,-0.0131878555,0.06872375,0.008409493,0.059885096,-0.11174493,0.040729553,-0.11282543,-0.091764726,-0.07932487,0.0343675,0.07383694,-0.12062359,0.09377307,0.058720976,-0.077232644,0.079397306,0.09833055,-0.040431283,0.036356542,0.041628562,0.10085013,0.06762719,-0.09784058,-0.08670867,-0.0809606,-0.081994444,-0.081174076,0.025879143,-0.109960325,-0.12398886,-0.09446852,0.07130328,0.06967376,0.06931574,-0.08124524,0.043345947,0.0698623,-0.03295672,0.040366806,0.1300889,0.04513011,-0.08777167,0.13298053,-0.051851552,-0.098870486,0.039518718,-0.03725598,0.051452942,0.06980595
MTHFD1,-0.042746995,-0.097596385,-0.10479347,-0.1131337,0.016061636,-0.13021973,0.044090036,-0.020949177,0.103298485,-0.0043894798,-0.10164395,0.057149865,-0.04101424,0.0905458,-0.10941522,-0.0063284263,-0.08968582,-0.041422725,-0.09796531,0.10615024,-0.059820235,0.11958813,0.07560577,0.14253247,-0.08127349,-0.051597398,0.11408476,-0.1374539,-0.049026977,0.09834369,-0.11998106,-0.0818955,0.043362148,0.011429391,-0.0055538416,-0.08404046,-0.07472641,0.05856984,0.083493054,0.10500461,0.0961446,0.08983129,0.042368524,0.1587847,0.10785443,0.10556401,-0.11044315,-0.0948475,-0.11608289,0.08975762,-0.033948682,-0.096354626,0.093647964,-0.009346522,-0.14313366,-0.038416136,0.12595755,-0.10998135,0.070199125,0.13254346,-0.042772673,0.07783128,-0.08189005,-0.11800745
ZFP451,-0.0346828,-0.079587296,-0.07541091,-0.092536375,0.019700283,-0.11995992,0.0322859,-0.020821653,0.0867638,-0.006056927,-0.08400849,0.04074627,-0.03200166,0.054036926,-0.085761696,0.0005556196,-0.07819691,-0.025592886,-0.07855253,0.09134542,-0.04820951,0.094208576,0.06126628,0.12258495,-0.054498583,-0.04365395,0.08872269,-0.11061153,-0.040446177,0.08658162,-0.09320199,-0.06549571,0.031136267,0.006595644,-0.0046553165,-0.079663314,-0.0691847,0.034969695,0.083207,0.08123423,0.07667825,0.06701991,0.03064227,0.12923901,0.0865371,0.079571314,-0.09477727,-0.067443706,-0.09551856,0.08163814,-0.029908046,-0.08363735,0.07797963,-0.014485847,-0.120012805,-0.035395443,0.0963673,-0.09342403,0.061584484,0.09596926,-0.03390532,0.06948694,-0.068823285,-0.07790223
HMGB2,-0.09204726,-0.09338699,-0.09088869,-0.13918209,0.06589914,-0.17083426,0.004514795,-0.056505553,0.13248259,-0.04223241,-0.12127637,0.044234134,-0.018050656,0.08890951,-0.11120045,0.029858828,-0.11042493,-0.014617987,-0.116908,0.13133308,-0.06688026,0.16680562,0.11790248,0.1556531,-0.06139785,-0.09720579,0.15076692,-0.13667361,-0.076676995,0.13079157,-0.13726941,-0.114590585,0.036396466,-0.029446468,-0.042246044,-0.14673957,-0.12210315,0.10880468,0.13414033,0.13347338,0.11882423,0.108992584,0.028841672,0.18255652,0.14813444,0.11735788,-0.11453885,-0.09362211,-0.14883891,0.124358326,-0.068069816,-0.095141076,0.08685902,-0.052973647,-0.18502219,-0.06532206,0.13961726,-0.15381378,0.09879241,0.16100754,-0.042522125,0.1161672,-0.10827409,-0.106495604
CASP1,0.08607603,0.12559064,0.1338423,0.15400493,-0.033879295,0.16058116,-0.023336094,0.037863526,-0.12480633,-0.025019834,0.14901343,-0.10846562,0.067388386,-0.13851917,0.12805846,0.0141854435,0.09269157,0.07848407,0.12480393,-0.14083654,0.093987204,-0.17872241,-0.11805298,-0.16209903,0.09964276,0.07319674,-0.18761285,0.19119886,0.07734111,-0.11989835,0.16596869,0.12855119,-0.08243999,-0.016138759,0.041270815,0.11171014,0.11045787,-0.11660007,-0.108194076,-0.16256328,-0.12842658,-0.15572643,-0.03740988,-0.21418332,-0.17574194,-0.16851415,0.12627287,0.12267728,0.16931129,-0.11648676,0.04383519,0.123467326,-0.101011045,0.022116669,0.23230548,0.043081835,-0.18403944,0.18061489,-0.047580365,-0.20288649,0.06485704,-0.08544602,0.0917494,0.14523539
JUN,-0.19646505,0.29799587,0.40706366,0.21672377,0.29157263,0.15836874,-0.37389362,-0.22334813,-0.05666971,-0.4498225,0.3086797,-0.44295,0.36506766,-0.30747485,0.26984996,0.33267,0.009802856,0.45331797,0.13456129,-0.14932978,0.09494859,-0.07754313,0.10034869,-0.3034001,0.35378245,-0.20361373,-0.18299337,0.36133987,-0.0065418854,-0.15198828,0.21494895,0.069438465,-0.38590813,-0.32109442,-0.21887287,-0.106685735,-0.08854462,0.22711208,0.27562377,-0.30579603,-0.2019419,-0.18642548,-0.34586945,-0.36803475,-0.17902184,-0.37993068,0.26646417,0.27959266,0.11015115,0.06498818,-0.20802276,0.36858723,-0.388846,-0.2969992,0.23601355,-0.15727106,-0.3954379,0.115586765,0.032947138,-0.14899436,0.23677447,0.08511387,-0.12696794,0.4491038
