TF_gene,Target_gene
SPI1,DRAM2
GFI1,DRAM2
GATA2,DRAM2
HDAC2,DRAM2
SATB1,DRAM2
MYC,DRAM2
HCFC1,DRAM2
MEIS1,DRAM2
IKZF1,DRAM2
ETS1,DRAM2
FOS,RASSF5
SPI1,RASSF5
EBF1,RASSF5
MEIS1,RASSF5
ESR1,RASSF5
NR4A1,RASSF5
ELF4,RASSF5
IKZF1,RASSF5
NOTCH1,RASSF5
HDAC2,RASSF5
ZFP30,CITED4
PA2G4,CITED4
ELF4,CITED4
MAPK9,CITED4
APBB1,CITED4
XAB2,CITED4
HCFC1,CITED4
ZFP143,CITED4
ZBTB43,CITED4
MEIS1,CITED4
STAT3,ZFP639
GFI1B,ZFP639
NOTCH1,ZFP639
MYC,ZFP639
FOS,ZFP639
GATA2,ZFP639
SPI1,ZFP639
IKZF1,ZFP639
ELF4,ZFP639
JUN,ZFP639
MAPK12,KLF3
RB1,KLF3
TTF1,KLF3
WDR5,KLF3
PRDM4,KLF3
SALL2,KLF3
HMGB2,KLF3
NFATC2,KLF3
SP4,KLF3
ZEB2,KLF3
MEIS1,PON2
CBFB,PON2
ELF4,PON2
NR4A1,PON2
ESR1,PON2
WDR5,PON2
IRF8,PON2
GFI1,PON2
ETS1,PON2
SATB1,PON2
HCFC1,APEH
IKZF1,APEH
SATB1,APEH
STAT3,APEH
WDR5,APEH
GATA2,APEH
FOS,APEH
MYC,APEH
NOTCH1,APEH
ETS1,APEH
FOXO1,HERC4
MYC,HERC4
CBFB,HERC4
SATB1,HERC4
HDAC2,HERC4
IKZF1,HERC4
STAT3,HERC4
GFI1,HERC4
ESR1,HERC4
WDR5,HERC4
ELF4,VPS33B
ETS1,VPS33B
FOS,VPS33B
CBFB,VPS33B
JUN,VPS33B
HCFC1,VPS33B
GATA2,VPS33B
SPI1,VPS33B
IRF8,VPS33B
ESR1,VPS33B
RNF19A,TSHZ3
APBB1,TSHZ3
XRCC6,TSHZ3
DDX20,TSHZ3
HDAC10,TSHZ3
MCM2,TSHZ3
ELF4,TSHZ3
HCFC1,TSHZ3
SPO11,TSHZ3
CNOT7,TSHZ3
HDAC2,SLC40A1
HCFC1,SLC40A1
STAT3,SLC40A1
ETS1,SLC40A1
GATA2,SLC40A1
WDR5,SLC40A1
MYC,SLC40A1
CBX7,SLC40A1
SPI1,SLC40A1
GFI1,SLC40A1
SPI1,CCNE1
CBX7,CCNE1
GFI1,CCNE1
MYC,CCNE1
NOTCH1,CCNE1
STAT3,CCNE1
ESR1,CCNE1
WDR5,CCNE1
JUN,CCNE1
HDAC2,CCNE1
AHCTF1,SP4
ELF4,SP4
NFATC1,SP4
SNRPB,SP4
BMI1,SP4
GFI1B,SP4
TRPS1,SP4
YBX1,SP4
AHR,SP4
POLR3F,SP4
PHF10,THRB
TAF1,THRB
MAPK9,THRB
ZFP143,THRB
DEK,THRB
IKZF1,THRB
CBX7,THRB
IKZF2,THRB
SOX18,THRB
SNRPB,THRB
CBFB,PEAR1
MYC,PEAR1
ESR1,PEAR1
HDAC2,PEAR1
GFI1,PEAR1
JUN,PEAR1
MEIS1,PEAR1
WDR5,PEAR1
ETS1,PEAR1
IKZF1,PEAR1
GFI1B,RASAL3
MEIS1,RASAL3
JUN,RASAL3
GATA2,RASAL3
SPI1,RASAL3
ELF4,RASAL3
HCFC1,RASAL3
HDAC2,RASAL3
CBFB,RASAL3
ETS1,RASAL3
HDAC2,2210016F16RIK
JUN,2210016F16RIK
FOXO1,2210016F16RIK
GATA2,2210016F16RIK
ELF4,2210016F16RIK
CBFB,2210016F16RIK
WDR5,2210016F16RIK
ESR1,2210016F16RIK
STAT3,2210016F16RIK
GFI1,2210016F16RIK
IKZF1,ANAPC2
GFI1,ANAPC2
ETS1,ANAPC2
FOS,ANAPC2
HDAC2,ANAPC2
ELF4,ANAPC2
HCFC1,ANAPC2
MEIS1,ANAPC2
CBFB,ANAPC2
STAT3,ANAPC2
H1F0,PRDM16
AFF4,PRDM16
GFI1B,PRDM16
MCM6,PRDM16
NDN,PRDM16
EGR1,PRDM16
SMAD2,PRDM16
CREB5,PRDM16
BTG2,PRDM16
ZDHHC13,PRDM16
JUN,MTFR1
WDR5,MTFR1
STAT3,MTFR1
SPI1,MTFR1
CBFB,MTFR1
GATA2,MTFR1
ESR1,MTFR1
MYC,MTFR1
GFI1B,MTFR1
GFI1,MTFR1
MEIS1,ZDHHC13
E2F4,ZDHHC13
SMAD2,ZDHHC13
EGR1,ZDHHC13
MCM4,ZDHHC13
NR4A1,ZDHHC13
RAI14,ZDHHC13
AFF4,ZDHHC13
VHL,ZDHHC13
THRB,ZDHHC13
STAT3,ANXA1
HDAC2,ANXA1
WDR5,ANXA1
SATB1,ANXA1
CBFB,ANXA1
IRF1,ANXA1
ELF4,ANXA1
MYC,ANXA1
SPI1,ANXA1
IKZF1,ANXA1
RAD51,SLC25A38
HDAC2,SLC25A38
GATA2,SLC25A38
GFI1B,SLC25A38
GFI1,SLC25A38
ELF4,SLC25A38
WDR5,SLC25A38
SATB1,SLC25A38
STAT3,SLC25A38
CBFB,SLC25A38
GFI1B,UBE2C
GATA2,UBE2C
ETS1,UBE2C
WDR5,UBE2C
SPI1,UBE2C
HCFC1,UBE2C
STAT3,UBE2C
FOS,UBE2C
ESR1,UBE2C
MYC,UBE2C
ORC2,ELF4
GTF2E1,ELF4
XRCC5,ELF4
GLIS2,ELF4
SRSF1,ELF4
PRDM5,ELF4
MCM5,ELF4
WDR5,ELF4
TCF12,ELF4
TCF19,ELF4
ELF4,WDR55
WDR5,WDR55
HDAC2,WDR55
HCFC1,WDR55
CBFB,WDR55
ETS1,WDR55
SATB1,WDR55
NR4A1,WDR55
GFI1,WDR55
STAT3,WDR55
SATB1,MGST3
ETS1,MGST3
CBFB,MGST3
GATA2,MGST3
MEIS1,MGST3
ESR1,MGST3
STAT3,MGST3
SPI1,MGST3
HDAC2,MGST3
IKZF1,MGST3
ESR1,CHP1
NR4A1,CHP1
MEIS1,CHP1
NOTCH1,CHP1
JUN,CHP1
SPI1,CHP1
GFI1,CHP1
WDR5,CHP1
ELF4,CHP1
FOXO1,CHP1
JUN,CD34
GATA2,CD34
ESR1,CD34
CBX7,CD34
SPI1,CD34
GFI1,CD34
NOTCH1,CD34
AHR,ZFP275
HNF4A,ZFP275
CENPK,ZFP275
BTAF1,ZFP275
PWP1,ZFP275
GTF2E1,ZFP275
ORC2,ZFP275
ELP2,ZFP275
MAPK9,ZFP275
ZFP467,ZFP275
RORC,BMI1
PPARGC1A,BMI1
E2F8,BMI1
GTF2E1,BMI1
SMAD2,BMI1
ZFP30,BMI1
ELL2,BMI1
KLF3,BMI1
ID2,BMI1
RUNX1T1,BMI1
NFIA,FOS
ZFP467,FOS
TEAD3,FOS
TSC22D3,FOS
PA2G4,FOS
NOTCH1,FOS
LMO4,FOS
BLZF1,FOS
DDX58,FOS
BUB3,FOS
CBFB,TBC1D10C
SPI1,TBC1D10C
GATA2,TBC1D10C
WDR5,TBC1D10C
HCFC1,TBC1D10C
FOS,TBC1D10C
IKZF1,TBC1D10C
ETS1,TBC1D10C
STAT3,TBC1D10C
ELF4,TBC1D10C
WDR5,TPX2
CBFB,TPX2
FOS,TPX2
NOTCH1,TPX2
SATB1,TPX2
MEIS1,TPX2
ELF4,TPX2
JUN,TPX2
SPI1,TPX2
STAT3,TPX2
ELF4,UTP4
WDR5,UTP4
MEIS1,UTP4
STAT3,UTP4
ESR1,UTP4
JUN,UTP4
IKZF1,UTP4
GATA2,UTP4
HCFC1,UTP4
EBF1,UTP4
HNRNPAB,TOPORS
REL,TOPORS
DDX58,TOPORS
HMGB2,TOPORS
XRCC5,TOPORS
IKZF2,TOPORS
ZBTB43,TOPORS
ZEB2,TOPORS
MCM7,TOPORS
TLE2,TOPORS
SATB1,LEPROT
STAT3,LEPROT
IKZF1,LEPROT
EBF1,LEPROT
