TF_gene,Target_gene
ESR1,H2-OB
MEIS1,H2-OB
SPI1,H2-OB
RAG2,H2-OB
CBFB,H2-OB
IRF8,H2-OB
IKZF1,H2-OB
IKZF1,IL18BP
RAG2,IL18BP
CBFB,IL18BP
ESR1,IL18BP
SATB1,IL18BP
ELF1,IL18BP
IKZF1,FCRL1
SATB1,FCRL1
ESR1,FCRL1
CBFB,FCRL1
IRF8,FCRL1
GATA2,FCRL1
SPI1,FCRL1
MEIS1,FCRL1
ELF1,FCRL1
RAG2,FCRL1
GATA2,TIFAB
CBFB,TIFAB
ESR1,TIFAB
SATB1,TIFAB
ELF1,TIFAB
MEIS1,TIFAB
SPI1,TIFAB
IKZF1,PRKCH
SPI1,PRKCH
CBX7,PRKCH
NOTCH1,PRKCH
ESR1,PRKCH
MEIS1,PRKCH
MYC,PRKCH
SATB1,PRKCH
ELF1,PRKCH
GATA2,PRKCH
CBFB,CTSH
IKZF1,CTSH
CBX7,CTSH
GATA2,CTSH
SATB1,CTSH
MYC,CTSH
MYC,BDH2
SATB1,BDH2
IKZF1,BDH2
SPI1,BDH2
CBFB,BDH2
GATA2,BDH2
RAG2,BDH2
MEIS1,BDH2
ESR1,BDH2
MEIS1,CLU
GATA2,CLU
SATB1,CLU
SPI1,CLU
ELF1,CLU
RAG2,CLU
ESR1,CLU
CBFB,CLU
SPI1,MECOM
ESR1,MECOM
RAG2,MECOM
IKZF1,MECOM
CBX7,MECOM
GATA2,MECOM
SATB1,MECOM
CBFB,MECOM
SATB1,CBFB
SPI1,CBFB
IKZF1,CBFB
MEIS1,CBFB
FOXO1,CBFB
ELF1,CBFB
ESR1,CBFB
IRF8,CBFB
CBFB,CBFB
MYC,CBFB
SPI1,ELF1
IRF8,ELF1
ESR1,ELF1
CBFB,ELF1
MEIS1,ELF1
GATA2,ELF1
RAG2,ELF1
IKZF1,ELF1
CBX7,ELF1
MYC,ELF1
CBFB,PIRB
GFI1B,PIRB
GATA2,PIRB
MEIS1,PIRB
MYC,PIRB
SPI1,PIRB
IKZF1,PIRB
IRF8,PIRB
IKZF1,RCSD1
MYC,RCSD1
RAG2,RCSD1
SPI1,RCSD1
MEIS1,RCSD1
ELF1,RCSD1
FOXO1,RCSD1
CBX7,RCSD1
FOXO1,DYNLL1
MEIS1,DYNLL1
CBX7,DYNLL1
GFI1B,DYNLL1
RAG2,DYNLL1
ESR1,DYNLL1
MYC,DYNLL1
ELF1,DYNLL1
NOTCH1,DYNLL1
CBX7,HCK
IRF8,HCK
ELF1,HCK
IKZF1,HCK
GATA2,HCK
SPI1,HCK
RAG2,HCK
CBFB,HCK
SATB1,HCK
CBX7,DACH1
IRF8,DACH1
ELF1,DACH1
MEIS1,DACH1
RAG2,DACH1
MYC,DACH1
NOTCH1,DACH1
IKZF1,DACH1
ESR1,GM2A
GATA2,GM2A
RAG2,GM2A
GFI1B,GM2A
NOTCH1,GM2A
CBFB,GM2A
SPI1,GM2A
MYC,GM2A
MEIS1,GM2A
SATB1,GM2A
MEIS1,ANKRD44
RAG2,ANKRD44
ELF1,ANKRD44
GATA2,ANKRD44
SATB1,ANKRD44
CBX7,ANKRD44
IKZF1,ANKRD44
SPI1,ANKRD44
MYC,ANKRD44
CBFB,ANKRD44
ELF1,RNF213
CBFB,RNF213
GATA2,RNF213
ESR1,RNF213
IKZF1,RNF213
MEIS1,RNF213
SATB1,RNF213
RAG2,RNF213
NOTCH1,PAG1
MYC,PAG1
SPI1,PAG1
ELF1,PAG1
CBX7,PAG1
SATB1,PAG1
RAG2,PAG1
CBFB,PAG1
FOXO1,PAG1
ESR1,PAG1
ESR1,ITGB7
RAG2,ITGB7
CBFB,ITGB7
IKZF1,ITGB7
SATB1,ITGB7
FOXO1,ITGB7
MYC,ITGB7
MEIS1,CD93
SATB1,CD93
IKZF1,CD93
ESR1,CD93
GATA2,CD93
RAG2,CD93
CBX7,CD93
CBFB,CD93
SPI1,CD93
GATA2,SLC22A3
RAG2,SLC22A3
ESR1,SLC22A3
IKZF1,SLC22A3
CBFB,SLC22A3
MYC,SLC22A3
SPI1,SLC22A3
MEIS1,SLC22A3
ELF1,MSMO1
NOTCH1,MSMO1
GATA2,MSMO1
SATB1,MSMO1
MYC,MSMO1
MEIS1,MSMO1
CBX7,MSMO1
RAG2,MSMO1
CBFB,AFF3
RAG2,AFF3
SATB1,AFF3
NOTCH1,AFF3
MYC,AFF3
SPI1,AFF3
CBX7,AFF3
CBFB,SSTR2
NOTCH1,SSTR2
IKZF1,SSTR2
MYC,SSTR2
CBX7,SSTR2
ELF1,SSTR2
RAG2,SSTR2
SPI1,SSTR2
SPI1,MPEG1
CBFB,MPEG1
MEIS1,MPEG1
IRF8,MPEG1
GATA2,MPEG1
ESR1,MPEG1
RAG2,MPEG1
SATB1,MPEG1
CBFB,CLCA3A1
SPI1,CLCA3A1
SATB1,CLCA3A1
ESR1,CLCA3A1
GATA2,CLCA3A1
GATA2,LTB
IKZF1,LTB
ELF1,LTB
RAG2,LTB
CBFB,LTB
ESR1,LTB
MEIS1,LTB
CBX7,CTSW
ESR1,CTSW
IKZF1,CTSW
MYC,CTSW
ELF1,CTSW
CBFB,CTSW
RAG2,CTSW
MEIS1,CTSW
NOTCH1,SLC18A1
CBX7,SLC18A1
ELF1,SLC18A1
SATB1,SLC18A1
MEIS1,SLC18A1
RAG2,SLC18A1
IKZF1,SLC18A1
CBFB,SLC18A1
SPI1,SLC18A1
SATB1,ARHGAP18
RAG2,ARHGAP18
SPI1,ARHGAP18
NOTCH1,ARHGAP18
ELF1,ARHGAP18
MYC,ARHGAP18
CBFB,ARHGAP18
GATA2,ARHGAP18
IKZF1,ARHGAP18
ESR1,ARHGAP18
GFI1B,SERP1
CBX7,SERP1
ELF1,SERP1
SATB1,SERP1
SPI1,SERP1
CBFB,SERP1
MEIS1,SERP1
MYC,SERP1
GATA2,SERP1
RAG2,SERP1
GATA2,PPCDC
CBX7,PPCDC
IKZF1,PPCDC
CBFB,PPCDC
MEIS1,PPCDC
RAG2,PPCDC
ELF1,PPCDC
MYC,PPCDC
SATB1,PPCDC
ESR1,RASSF2
MYC,RASSF2
IKZF1,RASSF2
NOTCH1,RASSF2
GFI1B,RASSF2
RAG2,RASSF2
MEIS1,RASSF2
GATA2,RASSF2
CBFB,RASSF2
FOXO1,RASSF2
MEIS1,CAMSAP2
IKZF1,CAMSAP2
MYC,CAMSAP2
GFI1B,CAMSAP2
IRF8,CAMSAP2
FOXO1,CAMSAP2
CBFB,CAMSAP2
RAG2,CAMSAP2
NOTCH1,CAMSAP2
SPI1,CAMSAP2
CBX7,FLNA
SATB1,FLNA
GATA2,FLNA
ESR1,FLNA
NOTCH1,FLNA
CBFB,FLNA
SPI1,FLNA
MEIS1,FLNA
ESR1,MAML3
CBFB,MAML3
SPI1,MAML3
IKZF1,MAML3
FOXO1,MAML3
NOTCH1,MAML3
RAG2,MAML3
CBFB,OBSL1
SPI1,OBSL1
MEIS1,OBSL1
SATB1,OBSL1
ESR1,OBSL1
MYC,OBSL1
ELF1,TMSB4X
FOXO1,TMSB4X
MEIS1,TMSB4X
ESR1,TMSB4X
IKZF1,TMSB4X
CBFB,TMSB4X
SATB1,TMSB4X
CBX7,TMSB4X
MYC,TMSB4X
SPI1,TMSB4X
FOXO1,PPP1R15A
MEIS1,PPP1R15A
GATA2,PPP1R15A
GFI1B,PPP1R15A
MYC,PPP1R15A
SATB1,PPP1R15A
RAG2,PPP1R15A
SPI1,PPP1R15A
IKZF1,PPP1R15A
NOTCH1,CD9
CBX7,CD9
GATA2,CD9
ESR1,CD9
CBFB,CD9
RAG2,CD9
SPI1,CD9
IKZF1,CD9
ELF1,CD9
MYC,CD9
CBX7,IFI27
RAG2,IFI27
ESR1,IFI27
GATA2,IFI27
ELF1,IFI27
SPI1,IFI27
CBFB,IFI27
MYC,IFI27
IKZF1,IFI27
MEIS1,IFI27
NOTCH1,NT5C3
MYC,NT5C3
SPI1,NT5C3
RAG2,NT5C3
SATB1,NT5C3
CBFB,NT5C3
MEIS1,NT5C3
ELF1,NT5C3
GATA2,NT5C3
IRF8,NT5C3
IKZF1,FGD2
SATB1,FGD2
ESR1,FGD2
IRF8,FGD2
ELF1,FGD2
MEIS1,FGD2
GATA2,FGD2
CBFB,FGD2
SPI1,FGD2
MYC,PDGFD
SATB1,PDGFD
MEIS1,PDGFD
SPI1,PDGFD
GATA2,PDGFD
CBFB,PDGFD
IRF8,PDGFD
IKZF1,PDGFD
GATA2,PECAM1
IRF8,PECAM1
IKZF1,PECAM1
RAG2,PECAM1
MYC,PECAM1
GFI1B,PECAM1
SPI1,PECAM1
MYC,CNN3
GATA2,CNN3
ESR1,CNN3
CBFB,CNN3
RAG2,CNN3
IKZF1,CNN3
MEIS1,CNN3
SPI1,CNN3
CBFB,SERPINA3F
RAG2,SERPINA3F
SPI1,SERPINA3F
GATA2,SERPINA3F
IKZF1,SERPINA3F
ESR1,SERPINA3F
NOTCH1,SERPINA3F
MYC,SERPINA3F
RAG2,ITGAL
IKZF1,ITGAL
SPI1,ITGAL
GATA2,ITGAL
CBFB,ITGAL
ELF1,ITGAL
SATB1,ITGAL
CBX7,ITGAL
MEIS1,IL17RA
CBFB,IL17RA
IKZF1,IL17RA
GATA2,IL17RA
GFI1B,IL17RA
ELF1,IL17RA
ESR1,IL17RA
MYC,IL17RA
SPI1,IL17RA
SPI1,KLF6
GATA2,KLF6
NOTCH1,KLF6
MYC,KLF6
RAG2,KLF6
FOXO1,KLF6
SATB1,KLF6
ESR1,KLF6
ELF1,KLF6
IKZF1,KLF6
GFI1B,ART4
MEIS1,ART4
RAG2,ART4
CBFB,ART4
CBX7,ART4
ELF1,ART4
SATB1,ART4
GATA2,ART4
RAG2,LSP1
MYC,LSP1
MEIS1,LSP1
IRF8,LSP1
CBFB,LSP1
FOXO1,LSP1
SPI1,LSP1
GATA2,LSP1
SATB1,LSP1
IKZF1,LSP1
MEIS1,ESR1
RAG2,ESR1
SATB1,ESR1
IKZF1,ESR1
IRF8,ESR1
ESR1,ESR1
MYC,ESR1
SPI1,ESR1
CBX7,ESR1
SATB1,GM15564
IKZF1,GM15564
SPI1,GM15564
CBX7,GM15564
ESR1,GM15564
SATB1,CISH
GATA2,CISH
CBFB,CISH
CBX7,CISH
ELF1,CISH
MEIS1,CISH
IKZF1,CISH
SPI1,CISH
ESR1,CISH
GFI1B,CISH
CBFB,LDHD
RAG2,LDHD
ESR1,LDHD
IKZF1,LDHD
ELF1,LDHD
CBX7,LDHD
GATA2,LDHD
IRF8,LDHD
MYC,SDC1
ESR1,SDC1
CBFB,SDC1
MEIS1,SDC1
RAG2,SDC1
SATB1,SDC1
SPI1,SDC1
IKZF1,SDC1
ELF1,SDC1
RAG2,D630039A03RIK
ELF1,D630039A03RIK
MEIS1,D630039A03RIK
IKZF1,D630039A03RIK
ESR1,D630039A03RIK
SATB1,D630039A03RIK
GATA2,D630039A03RIK
NOTCH1,D630039A03RIK
CBFB,D630039A03RIK
SATB1,ENPP5
MYC,ENPP5
FOXO1,ENPP5
IRF8,ENPP5
RAG2,ENPP5
CBFB,ENPP5
GATA2,ENPP5
MEIS1,ENPP5
IKZF1,ENPP5
SPI1,RRAS
ESR1,RRAS
CBFB,RRAS
SATB1,RRAS
MYC,RRAS
RAG2,RRAS
ELF1,RRAS
GFI1B,RRAS
GATA2,RRAS
MEIS1,RRAS
RAG2,NCF1
IRF8,NCF1
NOTCH1,NCF1
CBFB,NCF1
CBX7,NCF1
ESR1,NCF1
MEIS1,NCF1
SPI1,IGHV1-69
SATB1,IGHV1-69
ESR1,IGHV1-69
MEIS1,IGHV1-69
MYC,IGHV1-69
IKZF1,SLC26A11
MEIS1,SLC26A11
SPI1,SLC26A11
ESR1,SLC26A11
GATA2,SLC26A11
MYC,SLC26A11
CBX7,SLC26A11
NOTCH1,SLC26A11
CBFB,SLC26A11
GATA2,JAM3
RAG2,JAM3
MEIS1,JAM3
ESR1,JAM3
NOTCH1,JAM3
