,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
NAV1,0.4601401,0.5098636,0.49104086,0.4638934,0.4876264,0.49956813,0.5158171,0.40121853,0.52537215,0.50192595,0.45575657,0.54880065,0.40320107,0.48500234,0.41577372,0.3672763,0.49493998,0.48901853,0.52729946,0.4776282,0.4977657,0.23413664,0.54835045,0.54799294,0.5141551,0.42061672,0.42775944,0.4436318,0.5012902,0.48286873,0.4578175,0.5150076,0.47544834,0.46252093,0.47656804,0.51243955,0.5131362,0.49954778,0.48789382,0.50324,0.48411816,0.43811503,0.50669307,0.5745566,0.4837231,0.47562772,0.5604856,0.5016056,0.5675664,0.45649645,0.50366807,0.4952758,0.52661604,0.4695303,0.4620582,0.4173671,0.43878824,0.5503628,0.4641215,0.42048675,0.5643556,0.4270313,0.49183136,0.5073284,0.47303778,0.55866104,0.49386784,0.51135314,0.53777486,0.48497966,0.4604836,0.46758002,0.4725327,0.5217063,0.49836493,0.4777448,0.5152211,0.4017979,0.42403936,0.4393798,0.4397823,0.44532797,0.5172865,0.4930094,0.4320439,0.5123512,0.532724,0.483032,0.46277037,0.52313924,0.5353565,0.43787885,0.4784181,0.4660576,0.54490834,0.48296624,0.48538905,0.5117508,0.4468008,0.506507,0.41677848,0.45952028,0.44441143,0.38144004,0.49843487,0.46725196,0.48248348,0.45538154,0.34544665,0.44118303,0.51282007,0.54637444,0.49579176,0.41817474,0.5593179,0.513124,0.48810798,0.5064489,0.42539373,0.5067386,0.5212803,0.54705894,0.4899795,0.50510246,0.47610515,0.5368002,0.5080256,0.56675005
CD63,0.48744848,0.53042173,0.5132671,0.45558646,0.50383574,0.48601583,0.5098623,0.35780442,0.55519235,0.51259154,0.4456919,0.6024959,0.37526664,0.5241991,0.35581917,0.3232197,0.49775693,0.4910049,0.54939204,0.48267046,0.5002094,0.15274195,0.5955778,0.5826981,0.55667466,0.40259686,0.3765676,0.39943978,0.50764287,0.49097395,0.43035284,0.54497063,0.4700039,0.4513031,0.42954177,0.51568395,0.54228765,0.4981319,0.49712026,0.50833255,0.51075196,0.40714324,0.5112847,0.6423278,0.48267657,0.49883354,0.60450363,0.5114188,0.6105851,0.43757612,0.55848306,0.5370129,0.54385215,0.46105865,0.4764509,0.36037663,0.43618667,0.61643994,0.4430598,0.3762033,0.61275935,0.38250363,0.5271588,0.55009425,0.48247164,0.59416974,0.5320138,0.55137056,0.5827944,0.53962046,0.4544938,0.46271336,0.4656778,0.5380367,0.48737735,0.48412153,0.578015,0.34427842,0.38586056,0.40952986,0.43928072,0.44069868,0.5289673,0.51418304,0.41385296,0.54999304,0.545877,0.4905256,0.4710498,0.54253995,0.57126945,0.35573846,0.49651006,0.45577258,0.5584413,0.47200358,0.4868233,0.52303964,0.4711057,0.55270755,0.39612505,0.48149613,0.42220622,0.38951644,0.5339094,0.45090598,0.4746743,0.45443696,0.32831135,0.46593344,0.5336801,0.5897754,0.50471276,0.34331495,0.5970457,0.4851708,0.49778152,0.50858533,0.4058332,0.52536863,0.5706549,0.6016823,0.47876275,0.5267781,0.46027857,0.5861094,0.51437646,0.6502555
APP,0.47836846,0.5024591,0.45457447,0.47077185,0.47318202,0.47391304,0.53711706,0.43002397,0.50662845,0.4835771,0.4807623,0.562962,0.42040583,0.4808364,0.42675328,0.412984,0.5110085,0.52443194,0.492118,0.5031371,0.48488015,0.2774244,0.5261094,0.55195165,0.4894046,0.4663986,0.41111904,0.434303,0.492701,0.4728447,0.45813698,0.5132641,0.45015565,0.45547447,0.48858523,0.4683956,0.5006235,0.45980242,0.48618686,0.51731896,0.50134677,0.44598913,0.51805997,0.537501,0.4875577,0.46671268,0.5750079,0.46619415,0.5794792,0.4296572,0.48655087,0.4929897,0.5358693,0.43835762,0.43959627,0.4417862,0.46117252,0.5400182,0.43979457,0.4320465,0.54947776,0.45588675,0.4856284,0.49241462,0.486368,0.5426195,0.4820391,0.5163295,0.5343309,0.475296,0.48050806,0.4692518,0.44600478,0.5037743,0.4777129,0.492873,0.5407306,0.43017682,0.4395473,0.4245694,0.43367717,0.42254966,0.48755154,0.48244926,0.4181761,0.51477873,0.50574434,0.44938806,0.46711475,0.49690047,0.52583104,0.46441472,0.4947765,0.5146727,0.56983244,0.4658787,0.4330247,0.49125254,0.47299415,0.5306521,0.4373699,0.48611474,0.43469858,0.3908571,0.51177216,0.45329022,0.5008721,0.44137272,0.38356745,0.42454734,0.5457718,0.52962965,0.5144218,0.43036127,0.5518739,0.50956076,0.43083888,0.48617634,0.40730965,0.4960459,0.5050979,0.51837426,0.48224372,0.53405607,0.5159174,0.5189395,0.48187384,0.52444345
DEPP1,0.43509585,0.5006649,0.4827164,0.47342253,0.47481802,0.5133128,0.51328856,0.42785233,0.50319225,0.49506703,0.45868462,0.5112224,0.41540587,0.46237028,0.45593962,0.3897391,0.48838782,0.4968721,0.52000403,0.4763537,0.4966032,0.2865511,0.52714944,0.5301588,0.49055958,0.42960122,0.4541444,0.4653583,0.5005807,0.4814934,0.47474545,0.4919239,0.48022354,0.4696807,0.50373435,0.50253624,0.49617088,0.50547224,0.48167482,0.49244827,0.47238106,0.45283332,0.50361335,0.53122044,0.48425645,0.46293437,0.53056496,0.49815455,0.5455627,0.47188792,0.4707448,0.47219896,0.5146435,0.47553205,0.45477983,0.44738212,0.44224745,0.51230305,0.4727358,0.44321436,0.5359824,0.44827175,0.46711582,0.47920904,0.46135923,0.5363547,0.4806572,0.48988461,0.5176131,0.45497042,0.4632302,0.46233562,0.47712192,0.5115785,0.5122337,0.4682426,0.48125237,0.43417227,0.44858655,0.4599125,0.43775883,0.45138124,0.5134449,0.47967932,0.44809595,0.49438325,0.5161978,0.4844736,0.45015696,0.50725085,0.5055733,0.48653293,0.46967137,0.4695449,0.5328441,0.4905674,0.48162472,0.51045585,0.44131875,0.47813353,0.4239108,0.44678575,0.46390867,0.37065986,0.48320517,0.46928802,0.48492238,0.4522458,0.36503842,0.42838904,0.49587485,0.520974,0.48773018,0.4655916,0.53501755,0.5210853,0.4904207,0.5041723,0.44335714,0.49609253,0.49070305,0.51654553,0.49231094,0.48529255,0.4733184,0.5143255,0.49788952,0.52246773
UBA7,0.5674366,0.52592057,0.4592068,0.45696405,0.50726134,0.4363003,0.5591625,0.37166554,0.5615319,0.483171,0.46974877,0.65971553,0.39429456,0.5477515,0.33670697,0.38459376,0.5574388,0.5435346,0.48351845,0.52349097,0.48618665,0.18296444,0.57542,0.5937891,0.51993924,0.47757643,0.34617904,0.3676757,0.484949,0.4791614,0.41683042,0.5540085,0.43432954,0.4458075,0.42541912,0.45343995,0.54063106,0.41267702,0.4902104,0.5601224,0.5648634,0.41197821,0.5397846,0.61311626,0.4996239,0.48772258,0.6464317,0.45303994,0.6236637,0.3582941,0.5481257,0.545595,0.55679876,0.40737647,0.44642833,0.37080467,0.46611658,0.6328477,0.4047853,0.37821946,0.6067462,0.41755968,0.5551054,0.53995377,0.51708186,0.5930043,0.50420934,0.58633524,0.58474964,0.5423855,0.5010085,0.47938508,0.408564,0.5260478,0.44407627,0.5304921,0.64813215,0.3618438,0.39710304,0.35424572,0.43047687,0.3832791,0.48899963,0.5036253,0.38264644,0.56831264,0.5251445,0.41940933,0.505805,0.50484437,0.6015942,0.34893057,0.52508765,0.535834,0.6160532,0.42747262,0.38501304,0.48742798,0.50780374,0.6135164,0.4238528,0.5406614,0.37837106,0.4179924,0.5710399,0.43469813,0.5198949,0.43724617,0.3626216,0.44816732,0.6154644,0.58489895,0.54782736,0.32229498,0.62103075,0.4874904,0.38385642,0.48305368,0.3481994,0.525996,0.55713075,0.57437444,0.48235485,0.5989288,0.5406362,0.5551465,0.4907774,0.603727
GP9,0.43920785,0.50719035,0.5014065,0.47196364,0.48459953,0.52137434,0.5068821,0.41321856,0.51079094,0.50305146,0.45015645,0.5104469,0.39856482,0.4697557,0.44896406,0.3691085,0.4864274,0.49878287,0.5326232,0.464387,0.4968267,0.25092068,0.53215957,0.5326821,0.5090118,0.41556367,0.45036325,0.4598841,0.5071848,0.4886666,0.47418728,0.5044622,0.48645645,0.47792706,0.48680776,0.51372105,0.5107883,0.51749176,0.48461455,0.47596645,0.47621587,0.44741595,0.5127699,0.5476165,0.48205316,0.4643701,0.5315107,0.50662845,0.5502015,0.47983906,0.47665155,0.48152232,0.5160043,0.4886794,0.46668506,0.4312038,0.4424835,0.53076524,0.4744733,0.4317187,0.55204093,0.4253373,0.4727616,0.4811074,0.46156698,0.55187273,0.50090706,0.5007406,0.5252545,0.4624406,0.45663333,0.45575178,0.48494086,0.51406974,0.5154768,0.44515228,0.48557764,0.4116579,0.4379368,0.46437386,0.43058735,0.456067,0.52594084,0.4880094,0.45173666,0.49537683,0.51623076,0.48635635,0.43904528,0.5223426,0.5058662,0.46615934,0.46128094,0.4587801,0.53245384,0.48630896,0.49409705,0.5159106,0.44413093,0.47759855,0.4089303,0.43948776,0.46712166,0.36280125,0.48859173,0.46907252,0.47297704,0.45102972,0.34950095,0.4369448,0.48758152,0.51678026,0.48305848,0.45569542,0.54116213,0.51339537,0.4995943,0.5105045,0.43901223,0.50057566,0.49988,0.53468084,0.48481968,0.4833383,0.46254465,0.5269487,0.4979501,0.5399436
MTUS1,0.44141406,0.498699,0.47627085,0.47454897,0.4695286,0.50542825,0.51709145,0.43394768,0.5060312,0.49773923,0.4671241,0.52116805,0.41861647,0.46583274,0.45365337,0.3941392,0.4874053,0.49836665,0.5165365,0.482309,0.4906524,0.285515,0.5298472,0.5424894,0.4914262,0.43579495,0.44452906,0.4638724,0.5014223,0.47633532,0.47170064,0.49688092,0.470047,0.46123976,0.4997395,0.49514425,0.50026286,0.4999739,0.4868069,0.4968752,0.47416782,0.45061454,0.5048697,0.531862,0.48403293,0.46151036,0.53910565,0.48935604,0.55509657,0.46577066,0.47662643,0.47813016,0.5202927,0.4687954,0.45172086,0.4445281,0.44720852,0.51825154,0.4704491,0.44204003,0.5340784,0.44970956,0.47242135,0.483817,0.46748766,0.53562015,0.48161128,0.49483025,0.51873,0.4632566,0.4639015,0.46371356,0.4721244,0.5068823,0.50409997,0.4716871,0.49680546,0.43604156,0.44858944,0.4533891,0.43942,0.44498822,0.505071,0.4794218,0.44238487,0.49819916,0.51477605,0.48206002,0.4534884,0.5021942,0.5077974,0.4806789,0.47976652,0.47908074,0.5391465,0.487999,0.47653687,0.5082181,0.44951248,0.49002382,0.43173832,0.45633295,0.4584535,0.3753401,0.48594883,0.46474585,0.49167565,0.45210648,0.36899173,0.42847255,0.51011163,0.52433735,0.48678347,0.45845908,0.5361142,0.5176749,0.48171094,0.49978158,0.44035354,0.49638402,0.4965444,0.5182437,0.48864934,0.49281353,0.47934625,0.5175981,0.49355832,0.5267324
RAG2,0.5618839,0.60289896,0.4083429,0.6200833,0.3966518,0.42857283,0.48454714,0.4617749,0.3462194,0.5998194,0.6152192,0.5540019,0.48273534,0.52996296,0.30712438,0.31201604,0.41689777,0.7178448,0.48630384,0.5175746,0.43539178,0.070313714,0.5041992,0.69336057,0.54519755,0.48349103,0.37432957,0.34423232,0.46572185,0.4377319,0.29907674,0.5063566,0.4906806,0.4079536,0.31070232,0.45595136,0.42561492,0.41020104,0.45324492,0.61853147,0.6840554,0.44033015,0.6921795,0.5356243,0.5988574,0.3708381,0.6634599,0.23533653,0.5213361,0.3791793,0.48138013,0.48166433,0.4566555,0.2519156,0.2542474,0.5630355,0.46023017,0.5341186,0.36937314,0.5855105,0.520304,0.3533079,0.38505358,0.50994486,0.4335033,0.5616667,0.5538766,0.75320387,0.68878764,0.34166038,0.5099007,0.57937384,0.50065863,0.47518575,0.4197973,0.43437624,0.7229937,0.29008576,0.25356314,0.39909837,0.4391384,0.5239938,0.40123364,0.55750877,0.39622328,0.5682702,0.26186743,0.60783666,0.43317384,0.53667426,0.52623177,0.32581064,0.54818577,0.6965914,0.6931632,0.45424667,0.23447648,0.47019204,0.6607935,0.7048651,0.40453658,0.4516942,0.49753964,0.39127904,0.56132334,0.47100917,0.65241945,0.3039502,0.3535717,0.35113245,0.6869768,0.5179318,0.5768064,0.600158,0.75082874,0.40343413,0.41869316,0.4848193,0.45846328,0.5803649,0.5846986,0.47278163,0.5463836,0.6348124,0.421568,0.41845882,0.35811704,0.46354055
SSH2,0.5601419,0.522584,0.45603982,0.45481098,0.50238395,0.43857673,0.5528702,0.36927015,0.548623,0.48424143,0.46353137,0.65714115,0.3958099,0.54323304,0.34418043,0.3853021,0.55668527,0.5406994,0.48464942,0.5230494,0.48170575,0.19299848,0.56911474,0.589096,0.5145305,0.47510037,0.35078007,0.3699039,0.4840366,0.47888064,0.4190788,0.5479166,0.43094826,0.44626218,0.4315378,0.45192498,0.53711444,0.41249746,0.48856327,0.55736583,0.55533797,0.4179266,0.5431016,0.6130764,0.4994432,0.4886786,0.63769114,0.44973603,0.62120414,0.36419258,0.5393591,0.5413027,0.55507207,0.4010456,0.4463893,0.3778593,0.4620787,0.6206237,0.41089803,0.38271606,0.60107446,0.41946924,0.55061805,0.54061264,0.52157617,0.58624446,0.4897764,0.58034575,0.58383596,0.5355106,0.5020639,0.48187527,0.41122586,0.52120745,0.44896585,0.5318825,0.63841933,0.36951384,0.4024396,0.36022335,0.4344684,0.38302165,0.4854151,0.5019858,0.3867531,0.5547902,0.5221038,0.42719775,0.51062083,0.5028769,0.60254204,0.3600941,0.52121776,0.5362012,0.6141112,0.4321089,0.39509112,0.48543185,0.5063822,0.6092045,0.42552942,0.5342427,0.37413007,0.4168587,0.55664307,0.43400446,0.5209599,0.43586096,0.36218852,0.44515398,0.61007106,0.5821856,0.54269016,0.33633563,0.61683923,0.4922403,0.3880883,0.4834961,0.35619947,0.5218069,0.55814135,0.5645979,0.48893723,0.5970266,0.53713816,0.5534111,0.4975023,0.58756274
GM45837,0.4561036,0.5364444,0.5491256,0.4741491,0.5242363,0.53955686,0.47923696,0.36768737,0.52614707,0.51718223,0.41336843,0.49338013,0.34116018,0.49909392,0.44423583,0.30976978,0.49182117,0.5041459,0.56975484,0.4218811,0.50273675,0.15374592,0.5567352,0.49089023,0.5390775,0.3702059,0.4530166,0.44504252,0.51879835,0.49683535,0.4643431,0.52414197,0.51788205,0.5063287,0.4523594,0.5412196,0.52179766,0.5451791,0.46644995,0.4327366,0.4961474,0.44538665,0.5420322,0.58652294,0.48011634,0.4789794,0.5267359,0.50525236,0.560022,0.52261734,0.5015897,0.5018518,0.505433,0.51476693,0.48946717,0.40698162,0.41881764,0.5608333,0.5186478,0.39913747,0.6069243,0.37005135,0.48929018,0.45687118,0.4411098,0.6089097,0.51957566,0.5033201,0.5732337,0.45588517,0.43281415,0.4556045,0.47751147,0.5398876,0.54689676,0.40467584,0.49117258,0.3496008,0.41290444,0.47609186,0.38931587,0.48687708,0.562822,0.514024,0.44694456,0.48876932,0.5305325,0.5088973,0.4305847,0.5614399,0.51820403,0.4228758,0.42553565,0.40868825,0.5285991,0.49132368,0.5211719,0.5488322,0.4466313,0.47091138,0.35261306,0.39416978,0.47138414,0.30981618,0.50102884,0.47143793,0.44718894,0.41758493,0.290964,0.4387596,0.4536469,0.4968144,0.49891815,0.47931385,0.5840441,0.5109475,0.54813236,0.5533455,0.43465632,0.51263344,0.5005785,0.596215,0.51352614,0.46419203,0.41897398,0.56096065,0.5201634,0.56530046
