,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
NAV1,0.082169525,0.0,0.0,0.0,0.03201942,0.07105797,0.0,0.4166643,0.0,0.16602232,0.26470283,0.0,0.10631916,0.0,0.0,0.0,0.2365404,0.035751987,0.0,0.0,0.0,0.0,0.0,0.29758894,0.0,0.21239951,0.0,0.39885157,0.0,0.12707269,0.0,0.0,0.0,0.0,0.2302391,0.0,0.27787927,0.0,0.6697645,0.0,0.15228996,0.0,0.0,0.0,0.0,0.037316315,0.30579418,0.0,0.0,0.0,0.19018327,0.15877575,0.2868051,0.2117693,0.0,0.0,0.21745248,0.0,0.0,0.0,0.44994333,0.0,0.0,0.0,0.0,0.0,0.0,0.15068983,0.043975517,0.0,0.0,0.0,0.7681738,0.0,0.0,0.0,0.4637971,0.0,0.0,0.0,0.00877966,0.03257308,0.0,0.012153763,0.0,0.0,0.0,0.0,0.12812117,0.0,0.36271837,0.05631363,0.0,0.20416537,0.0,0.0,0.0,0.0,0.0,0.3961041,0.0,0.04944691,0.0,0.03599265,0.03698449,0.0,0.0,0.3812372,0.0,0.29737508,0.21656668,0.0,0.0,0.0,0.2888725,0.0,0.0,0.0,0.0,0.0,0.1562819,0.0,0.0,0.026383668,0.0,0.0,0.0,0.0
CD63,0.0,0.0,0.0,0.0,0.16375549,0.29529738,0.0,0.7166611,0.0,0.76196,0.62061846,0.0,0.059212804,0.0,0.0,0.0,0.51212204,0.148296,0.021736562,0.0,0.0,0.0,0.0,0.39482808,0.0,0.2840777,0.0,0.8538846,0.0,0.071737885,0.0,0.0,0.0,0.0,0.49787998,0.0,0.52748716,0.0,1.4424288,0.0,0.24204007,0.0,0.0,0.0,0.0,0.19830343,0.8378246,0.0,0.0,0.0,0.4307406,0.29804885,0.8162576,0.5064465,0.0,0.0,0.47410682,0.013438843,0.0,0.0,0.8845449,0.0,0.0,0.0,0.0,0.0,0.0,0.2786824,0.051635593,0.0,0.0,0.0,1.465485,0.0,0.0,0.0,0.8263006,0.0,0.0,0.0,0.0,0.06889261,0.0,0.0,0.0,0.0,0.0,0.0,0.4129457,0.0,0.6249371,0.0,0.0,0.6988506,0.0,0.0,0.0,0.0,0.0,0.8255867,0.0,0.0,0.0,0.0,0.1100422,0.0,0.0,0.876682,0.0,0.6375712,0.54841936,0.0,0.11572325,0.0,0.6232232,0.0,0.0,0.0,0.0,0.0,0.30433652,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APP,0.23976716,0.17061579,0.0,0.0,0.11706519,0.01986105,0.0,0.09275457,0.0,0.02175223,0.08099285,0.14770712,0.0,0.18505563,0.0,0.21085802,0.38889402,0.30804366,0.0,0.0,0.037614822,0.0,0.0,0.063172854,0.012481123,0.05960755,0.0,0.10917087,0.0,0.0,0.0,0.08567607,0.0,0.0,0.13238788,0.0,0.02455917,0.0,0.2938384,0.0,0.2755555,0.0,0.0,0.0,0.0,0.0,0.057164297,0.0,0.08594252,0.0,0.30823117,0.30802345,0.1260878,0.18706667,0.0,0.0,0.24087419,0.0,0.0,0.0,0.46679828,0.0,0.24144247,0.19257215,0.0,0.0,0.0,0.31115085,0.2614912,0.0,0.0,0.07954724,0.28578654,0.0,0.0,0.0,0.7164156,0.0,0.0,0.0,0.0,0.0,0.0,0.17742711,0.0,0.0,0.0,0.0,0.5042589,0.0,0.59791625,0.0,0.0,0.0029327888,0.0,0.0,0.0,0.0,0.3519012,0.6223912,0.0,0.0,0.0,0.0,0.21689026,0.0,0.0,0.09838353,0.06903587,0.03613674,0.20716725,0.0,0.24814436,0.20028765,0.3005389,0.0,0.0,0.0,0.0,0.0,0.30947953,0.0,0.09799461,0.15673389,0.0,0.0,0.024537474,0.0
DEPP1,0.07080992,0.0404155,0.0,0.0,0.0,0.0,0.01834594,0.17703038,0.0,0.0,0.06972915,0.0,0.11026029,0.0,0.0,0.0,0.035126925,0.0,0.0,0.0,0.0,0.011286449,0.0,0.1637044,0.0,0.040304348,0.0,0.08144274,0.0,0.099752635,0.002203714,0.0,0.0,0.0,0.09461332,0.0,0.030940749,0.0,0.24297401,0.0,0.081074,0.0,0.0,0.0,0.0,0.048006237,0.09696977,0.0,0.0,0.0,0.033271566,0.0575852,0.1177878,0.06941796,0.0,0.0,0.076798394,0.0,0.0,0.040303066,0.073934436,0.0,0.015197404,0.04216665,0.0,0.0,0.0,0.09345357,0.03295008,0.0,0.0,0.0,0.28889632,0.0,0.0,0.0,0.1685845,0.0,0.0,0.0,0.0368743,0.0,0.0,0.064555235,0.0,0.0,0.0,0.0,0.058759112,0.0,0.10660681,0.04570837,0.0,0.06793008,0.0,0.0,0.0,0.0,0.0,0.11849456,0.0,0.13859484,0.013289583,0.08513049,0.014539543,0.0,0.0,0.14004841,0.0,0.15984552,0.031820882,0.0,0.0,0.0,0.0828067,0.0,0.0,0.0,0.0,0.0,0.028498258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBA7,0.4751554,0.27172112,0.0,0.0,0.490695,0.04929371,0.0,0.34205413,0.0,0.44449255,0.4369125,0.26973313,0.0,0.13229299,0.0,0.1254122,1.0202733,0.67866725,0.0,0.0,0.0,0.0,0.0,0.17704636,0.019818366,0.20744911,0.0,0.44974175,0.0,0.0,0.0,0.0,0.0,0.0,0.34571356,0.0,0.3814214,0.0,1.0770006,0.0,0.51228064,0.0,0.0,0.0,0.0,0.0,0.43951648,0.0,0.1726068,0.0,0.8880894,0.7563138,0.4945391,0.59773004,0.0,0.0,0.6079709,0.0,0.0,0.0,1.4590647,0.0,0.20360795,0.20834501,0.0,0.0,0.0,0.6347286,0.47615635,0.0,0.0,0.0,0.9949795,0.0,0.0,0.0,2.0076017,0.0,0.0,0.0,0.0,0.0,0.0,0.138902,0.0,0.0,0.0,0.0,1.0696057,0.0,1.4115635,0.0,0.0,0.17998606,0.0,0.0,0.0,0.0,0.63694507,1.5175087,0.0,0.0,0.0,0.0,0.44152182,0.0,0.0,0.33965957,0.0,0.2320132,0.83804154,0.0,0.60112464,0.3465726,0.7631249,0.0,0.0,0.0,0.0,0.0,0.76987004,0.0,0.106932044,0.33833218,0.0,0.0,0.0,0.0
GP9,0.0,0.0,0.0,0.0,0.0,0.054533686,0.14142177,0.34261551,0.0,0.11662602,0.30902782,0.0,0.12100327,0.0,0.0,0.0,0.05024312,0.0140386745,0.16061789,0.0,0.0,0.030214503,0.0,0.15626493,0.0,0.11652474,0.07813434,0.28037742,0.0,0.019647956,0.013057992,0.0,0.0,0.0,0.17175715,0.0,0.078095615,0.0,0.49629605,0.0,0.05234194,0.0,0.0,0.0,0.0,0.25218478,0.19819017,0.0,0.0,0.0,0.0,0.13199563,0.23848438,0.06907862,0.0,0.0,0.0076593757,0.015799211,0.0,0.0,0.0557385,0.0,0.026222952,0.0,0.0,0.0,0.0,0.006434674,0.0,0.0,0.0,0.0,0.4444065,0.0,0.0,0.0,0.11709524,0.0,0.0,0.0,0.06011069,0.08535309,0.0,0.0,0.0,0.0,0.0,0.0,0.06863861,0.0,0.08335642,0.1967899,0.0,0.21361558,0.0,0.0,0.0,0.0,0.0,0.13182616,0.0,0.10846676,0.0,0.14990504,0.0,0.0,0.0,0.31553954,0.0,0.3024306,0.10906182,0.0,0.0,0.092654854,0.14917359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTUS1,0.08521481,0.104397476,0.0,0.0,0.0,0.129255,0.0,0.139187,0.0,0.0033070445,0.052673478,0.0,0.05242498,0.0,0.0,0.027319066,0.12162316,0.05059253,0.0,0.0,0.012384966,0.0,0.0,0.1050459,0.0,0.0688321,0.0,0.18149137,0.0,0.046557292,0.0,0.0,0.0,0.0,0.14862423,0.0,0.0,0.0,0.26518273,0.0,0.1398189,0.0,0.0,0.0,0.0,0.0,0.16185927,0.0,0.0,0.0,0.0,0.09982495,0.14789489,0.075790584,0.0,0.0,0.14024729,0.0,0.0,0.0,0.18353003,0.0,0.0020499378,0.10967952,0.0,0.0,0.0,0.13706152,0.10011026,0.0,0.0,0.002037935,0.28065026,0.0,0.0,0.0,0.21997708,0.0,0.0,0.0,0.020669684,0.0069946256,0.0,0.10759634,0.0,0.0,0.0,0.0,0.11636421,0.0,0.18765728,0.0,0.0,0.10591224,0.0,0.0,0.0,0.0,0.018382635,0.18088539,0.0,0.021547494,0.0,0.063815616,0.0662216,0.0,0.0,0.14349268,0.0,0.11919829,0.035189286,0.0,0.022621766,0.018011117,0.15258026,0.0,0.0,0.0,0.0,0.0,0.055423222,0.0,0.05621993,0.021882191,0.0,0.0,0.003570728,0.0
RAG2,0.0,1.2806381,0.0,0.0,0.0,1.6318218,0.0,0.0,0.0,0.0,0.0,0.0,0.39698654,0.0,0.0,0.0,0.753351,0.7952712,0.0,0.0,1.57143,0.3197817,0.0,0.73848224,0.0,0.34394985,0.0,0.0,0.0,0.16556567,0.0,2.1973705,0.0,0.0,0.9203592,0.0,0.0,0.0,0.21199271,0.23123899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81154823,0.0,1.084788,0.31468302,0.0,2.4191427,0.0,1.1388111,0.0,0.0,0.0,1.4128506,0.0,0.0,1.1109886,0.8640465,0.8298155,0.0,0.78349864,2.0306575,0.0,0.0,0.6360521,0.0,0.0,0.9216424,0.0,1.7760538,0.0,1.1943829,0.8308378,0.0,0.0,2.2223463,0.0,0.0,0.0,0.0,0.8587184,0.0,2.1998613,0.0,0.0,0.0,0.29013306,1.5835415,0.0,1.7887084,0.0,0.43270892,0.3596718,0.0,0.0,0.0,0.0,0.15930305,0.0,0.03254366,0.29554528,0.0,1.017382,0.5315568,0.0,0.008080453,0.0,1.0435588,0.98403084,0.0,0.32951507,0.0,0.0,0.0,0.0,0.24113731,0.0,0.0,0.0,1.422985,0.0
SSH2,0.47780007,0.23367083,0.0,0.0,0.33073163,0.10135497,0.0,0.24460575,0.0,0.40649757,0.37526697,0.15622334,0.0,0.049829304,0.0,0.0878886,0.9259138,0.5794458,0.0,0.0,0.0,0.0,0.0,0.20580086,0.023336887,0.25633568,0.0,0.39398208,0.0,0.0,0.0,0.0,0.0,0.0,0.36450082,0.0,0.27930307,0.0,0.94255704,0.0,0.5023979,0.0,0.0,0.0,0.0,0.0,0.31297842,0.0,0.21832457,0.0,0.88412476,0.7497504,0.44522017,0.6194173,0.0,0.0,0.64568686,0.0,0.0,0.0,1.4150834,0.0,0.24051765,0.28525558,0.0,0.0,0.0,0.5728107,0.51286244,0.0,0.0,0.0941931,0.9708408,0.0,0.0,0.0,1.9360106,0.0,0.0,0.0,0.0,0.0,0.0,0.11558759,0.0,0.0,0.0,0.0,0.931936,0.0,1.3663496,0.0,0.0,0.14237611,0.0,0.0,0.0,0.0,0.64205074,1.4769372,0.0,0.0,0.0,0.0,0.4664451,0.0,0.0,0.34648508,0.0,0.17437421,0.6723851,0.0,0.5022323,0.20359784,0.7754015,0.0,0.0,0.0,0.0,0.0,0.7217872,0.0,0.17728728,0.39854002,0.0,0.0,0.0,0.0
GM45837,0.0,0.0,0.0,0.0,0.0,0.0075640753,0.3771469,0.7147583,0.0,0.16106656,0.53479975,0.0,0.57361424,0.0,0.066228434,0.0,0.0,0.0,0.5378405,0.0,0.0,0.109111756,0.0,0.41603932,0.0,0.26995388,0.25041088,0.6721114,0.0,0.23078124,0.18824266,0.0,0.0,0.0,0.4733181,0.0,0.31421953,0.0,0.7495119,0.0,0.0,0.0,0.0,0.041623384,0.0,0.54828423,0.39182115,0.0,0.0,0.0,0.0,0.0,0.4086921,0.0,0.14977296,0.0,0.0,0.26214105,0.0,0.15037084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8140714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46421158,0.24164316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34524143,0.0,0.65534717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3964157,0.21791032,0.5010944,0.0,0.0,0.0,0.6816946,0.0,0.68125856,0.0,0.0,0.0,0.0,0.0088042505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
