,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
NAV1,0.002433017,0.05821894,-0.06365317,-0.06017328,-0.05723825,0.035175238,0.07083581,0.058952264,0.053876616,-0.02565414,0.048465796,-0.08023007,-0.022495665,-0.049831882,0.06686016,-0.05101864,0.051346038,-0.03615296,-0.054765277,0.04592442,-0.06555481,0.0719777,-0.009969749,-0.062101945,-0.045550197,0.06613125,0.037458252,0.026740573,0.054549605,-0.0015324112,0.06896645,-0.053679798,0.004685411,0.039193336,-0.053549845,0.043322958,-0.028194316,-0.04471807,0.028993793,-0.043272726,-0.049962293,-0.0019665733,-0.03508949,-0.028435096,-0.08546781,-0.06744294,-0.05582293,-0.08448997,0.036174797,-0.065491244,0.040563624,-0.05063152,0.065656684,0.058621526,-0.024754865,-0.00862658,0.043124165,0.050635528,-0.018188639,-0.05603863,0.08703829,0.06006592,-0.07092629,0.005644708
CD63,0.015407413,0.088301204,-0.10847174,-0.08974988,-0.10585296,0.067886494,0.10256046,0.10247128,0.0969791,-0.069696546,0.094409734,-0.11448394,-0.027633846,-0.08660041,0.10333529,-0.12866789,0.0966236,-0.062514395,-0.10510245,0.052505743,-0.14475189,0.1211928,-0.0066773696,-0.10870446,-0.07938803,0.102979824,0.055689212,0.081959,0.06668729,0.04761829,0.0984033,-0.06597572,0.022014378,0.060217466,-0.09269874,0.059001595,-0.052314676,-0.08407985,0.0569432,-0.069571875,-0.08842921,0.00026623905,-0.05463923,-0.047454145,-0.12619644,-0.116676584,-0.07909762,-0.13431482,0.03263107,-0.103413254,0.071700364,-0.09906201,0.1030407,0.0943272,-0.029695278,-0.004474167,0.061639126,0.08998323,-0.039560977,-0.11915182,0.16139947,0.12603222,-0.14514267,0.017819274
APP,-0.048389107,-0.05424133,0.08944044,0.06394982,0.11671387,-0.068757266,-0.06271187,-0.07824586,-0.05796302,0.06967428,-0.04250291,0.081538394,0.032579068,0.08892141,-0.04603911,0.0799312,-0.093256265,0.06953671,0.07258061,-0.019136235,0.11777525,-0.088448085,0.047658302,0.08777413,0.074902,-0.10615878,-0.030373534,-0.12651224,-0.06090083,-0.015774999,-0.09726773,0.011705738,-0.0038147997,-0.04660187,0.048978046,-0.046288125,0.042184763,0.08268905,-0.06307757,0.06047334,0.06745036,0.0031927489,0.0664774,0.049526356,0.06484648,0.07847959,0.05920597,0.050613422,-0.03224072,0.0817902,-0.059780233,0.09004712,-0.06303115,-0.056102734,0.053569037,0.013366669,-0.061712243,-0.072332606,0.07182228,0.09139549,-0.08541203,-0.08718932,0.12899002,-0.0295915
DEPP1,0.002046166,0.06312613,-0.052424174,-0.05345566,-0.039815262,0.021561187,0.054076217,0.05176597,0.040636104,-0.021361437,0.027962781,-0.07738853,-0.040768288,-0.036207736,0.05450511,-0.028963633,0.050608475,-0.03292633,-0.039014325,0.04830596,-0.03895648,0.058186717,0.001010811,-0.048542082,-0.03860005,0.053529367,0.042583138,0.025723793,0.052305035,-0.01757916,0.052879773,-0.060280457,-0.00022143032,0.027729094,-0.042186577,0.043952428,-0.01972607,-0.041390717,0.024669446,-0.02773323,-0.03712364,-0.0047221296,-0.028921176,-0.027579619,-0.07929139,-0.05978184,-0.043522038,-0.06959616,0.043277778,-0.052972484,0.034659147,-0.041119363,0.053381227,0.060976353,-0.032498203,-0.0063262098,0.04465444,0.040863182,-0.024216255,-0.035128407,0.064774655,0.03742968,-0.05044932,0.001393103
UBA7,-0.072453916,-0.0998767,0.15098499,0.10499167,0.14485753,-0.07333228,-0.09892516,-0.117594615,-0.08497874,0.09943217,-0.031174198,0.13280857,0.10928342,0.12684977,-0.06423518,0.09956925,-0.18320554,0.07573632,0.09492046,-0.040718935,0.14384326,-0.13148579,0.070599675,0.1369047,0.12764466,-0.17005251,-0.04969325,-0.20899019,-0.11835752,-0.0018695556,-0.13754974,0.056822244,0.012411324,-0.07230269,0.066507906,-0.10444285,0.04887127,0.12336387,-0.09548448,0.07377571,0.09135644,-0.002196204,0.09321305,0.08392442,0.115853,0.12316221,0.08481543,0.0906508,-0.076716095,0.12027648,-0.10619577,0.15336917,-0.08965735,-0.10115574,0.1117216,0.02655497,-0.09900485,-0.10398238,0.13444775,0.10936969,-0.10230004,-0.12550807,0.16905546,-0.072713755
GP9,0.02208757,0.09218244,-0.09524728,-0.081282906,-0.088463604,0.055710237,0.093921185,0.102129236,0.06913654,-0.05692498,0.054798484,-0.11804751,-0.045543686,-0.066890836,0.087368816,-0.09284931,0.08818863,-0.0634203,-0.083697654,0.066934556,-0.09288944,0.1034427,-0.011363275,-0.10248919,-0.076709814,0.09757885,0.059752584,0.07486526,0.08673115,0.008486783,0.08829384,-0.07859998,0.014979331,0.06441814,-0.08729065,0.06816978,-0.04956402,-0.08196369,0.05631607,-0.058633998,-0.07166817,-0.002822645,-0.06689133,-0.06176399,-0.12520958,-0.099704504,-0.081198454,-0.11232874,0.05281602,-0.09234291,0.06168149,-0.08314353,0.09679877,0.10387102,-0.05998691,-0.009908266,0.059190664,0.0746154,-0.045996785,-0.08014666,0.1243019,0.093013,-0.13537815,0.035263583
MTUS1,-0.003017895,0.039245434,-0.030411895,-0.027426437,-0.005704686,-0.0029629283,0.029432477,0.030680722,0.017530402,-0.01033904,0.010389004,-0.047216456,-0.038008448,-0.013903692,0.037462734,-0.0073570684,0.03807542,-0.011433877,-0.016643584,0.031183392,-0.02159135,0.030973576,0.008925006,-0.022318885,-0.025285188,0.032168098,0.026319342,0.011659078,0.03002698,-0.008605489,0.021858819,-0.048733637,-0.0043986887,0.01543951,-0.023587938,0.034550786,-0.0075770114,-0.013321899,0.009190604,-0.011028498,-0.016272597,-0.0019322857,-0.0090556415,-0.016324814,-0.051453,-0.043850552,-0.02213977,-0.05527142,0.023711242,-0.026969217,0.02701218,-0.026655901,0.03310501,0.04324864,-0.015009796,-0.0003547594,0.023658711,0.022611983,-0.008960714,-0.015727988,0.036239453,0.019544896,-0.016266048,0.00016983505
RAG2,0.73725635,0.15291731,-0.13818693,0.51892745,-0.0005926043,-0.21183984,-0.12391473,-0.14363211,-0.40741077,-0.043858822,-0.4834367,0.071915254,-0.7697376,-0.17523952,-0.52071655,0.12877408,0.9393845,0.322272,0.22866495,-0.54230684,-0.13434316,-0.034932014,-0.29601073,-0.05258122,-0.64531887,0.1358829,-0.28734326,0.9718292,0.2138102,0.46488833,0.37642464,0.17270891,-0.38197285,-0.18860862,0.1407963,0.65148705,0.09890389,-0.043161303,-0.2686724,0.52285916,0.037035733,0.16728868,-0.12061784,-0.40696138,-0.15419811,-0.11981067,-0.11886835,0.13597873,-0.41744757,0.062451217,0.65955544,-0.73601663,-0.06721393,-0.000918448,-0.56110454,0.44114974,-0.1013308,-0.23898101,-0.51903296,-0.07759003,-0.43160835,0.07557036,0.08512299,0.32986322
SSH2,-0.058369298,-0.10866839,0.15027553,0.10618201,0.13293427,-0.070989326,-0.0959184,-0.1272826,-0.08202503,0.09954524,-0.046970285,0.13953929,0.09851623,0.11467784,-0.06897661,0.10734941,-0.15770996,0.07451701,0.09253759,-0.035106815,0.14170744,-0.11997598,0.06358129,0.1334069,0.11825475,-0.1697331,-0.048177987,-0.1881243,-0.110308535,-0.02096051,-0.1340751,0.0647077,0.0051972326,-0.072138764,0.06932355,-0.102028444,0.051455095,0.116440475,-0.09335991,0.06273687,0.104736805,-0.004325725,0.09341811,0.079673216,0.12555037,0.12459506,0.0804884,0.080384165,-0.06685291,0.11651763,-0.11326825,0.1397413,-0.10337462,-0.10191311,0.102504306,0.020674067,-0.09682216,-0.09957332,0.12142119,0.11018165,-0.112551734,-0.13225529,0.17500377,-0.06318645
GM45837,0.08346723,0.20240691,-0.25403976,-0.21453223,-0.28981176,0.18368676,0.23901603,0.23260386,0.20413643,-0.19263412,0.13900955,-0.2544865,-0.07032777,-0.21399875,0.21739592,-0.27212518,0.22374724,-0.21622118,-0.23253107,0.13054666,-0.26877356,0.25174558,-0.052773513,-0.27251276,-0.17656636,0.29090154,0.17659985,0.23065382,0.21317841,0.054383833,0.20284602,-0.15061925,0.07576539,0.18897602,-0.21176544,0.09634373,-0.15068015,-0.24538682,0.18322727,-0.21623597,-0.19987957,-0.041574787,-0.15160468,-0.15510371,-0.27364275,-0.22238775,-0.21368235,-0.23294836,0.10310363,-0.23436598,0.17027017,-0.2030226,0.25576004,0.21025194,-0.15941401,-0.06031446,0.18834929,0.223712,-0.16995242,-0.22932711,0.3216574,0.2518269,-0.36495182,0.059304982
